Wavelength_nm,Reactant_normalized,PSS_normalized_to_reactant,Reactant_reconstructed_M-1_cm-1,Reactant_lower_M-1_cm-1,Reactant_upper_M-1_cm-1,PSS_reconstructed_M-1_cm-1,Product_epsilon_M-1_cm-1,Product_epsilon_raw_M-1_cm-1,Product_lower_nonnegative_M-1_cm-1,Product_upper_nonnegative_M-1_cm-1,Product_error_lower_M-1_cm-1,Product_error_upper_M-1_cm-1
250.58412200000001,0.66254242699999999,0.99896359899999998,9955.3638800000008,9832.0759300000009,10078.6518,15010.429099999999,16520.383699999998,16520.383699999998,16232.669400000001,16812.424900000002,287.71422799999999,292.04123499999997
251.18440200000001,0.66382140000000001,1.0003071299999999,9974.5817399999996,9851.0557900000003,10098.1077,15030.617,16540.8613,16540.8613,16252.877500000001,16833.172900000001,287.98377499999998,292.31161300000002
251.78465299999999,0.66452467299999995,1.00092464,9985.1491100000003,9861.4922999999999,10108.805899999999,15039.8958,16549.7552,16549.7552,16261.6824,16842.154600000002,288.07272799999998,292.39946300000003
252.384872,0.66459622900000004,1.00052918,9986.2243199999994,9862.5541900000007,10109.8945,15033.953600000001,16541.716899999999,16541.716899999999,16253.8591,16833.895400000001,287.85778900000003,292.178517
252.98507699999999,0.66398005400000004,0.99883379100000003,9976.9656699999996,9853.4102000000003,10100.5211,15008.4786,16511.398099999999,16511.398099999999,16224.1824,16802.920600000001,287.21566000000001,291.52250700000002
253.585251,0.66261889399999996,0.99549895799999999,9956.5128700000005,9833.2106899999999,10079.8151,14958.3694,16452.430499999999,16452.430499999999,16166.432699999999,16742.709699999999,285.99773599999997,290.27919800000001
254.185394,0.66020418700000005,0.99031760999999996,9920.2294899999997,9797.3766400000004,10043.0823,14880.514499999999,16362.157999999999,16362.157999999999,16077.961799999999,16650.6001,284.19620099999997,288.44207799999998
254.78552199999999,0.657005226,0.98275647700000002,9872.1618999999992,9749.9043199999996,9994.4194700000007,14766.900900000001,16228.9658,16228.9658,15947.496800000001,16514.624400000001,281.46891099999999,285.658683
255.38561999999999,0.65330677800000003,0.972914155,9816.5889999999999,9695.0196500000002,9938.1583599999994,14619.0101,16053.4995,16053.4995,15775.7217,16335.388199999999,277.77786600000002,281.88861600000001
255.98568700000001,0.64945861599999999,0.96136236200000003,9758.7665199999992,9637.9132399999999,9879.6198000000004,14445.4329,15845.3462,15845.3462,15572.049499999999,16122.654500000001,273.296629,277.30829599999998
256.58575400000001,0.64607034100000005,0.94771541800000003,9707.8542799999996,9587.6314999999995,9828.0770599999996,14240.373799999999,15594.2433,15594.2433,15326.5911,15865.7752,267.65219100000002,271.53191199999998
257.18576000000002,0.64313653400000004,0.93157821900000004,9663.7708999999995,9544.0940599999994,9783.4477399999996,13997.8963,15292.5051,15292.5051,15031.852000000001,15556.8681,260.65308399999998,264.36298499999998
257.78576700000002,0.64110851300000005,0.91312591799999998,9633.2978399999993,9513.9983800000009,9752.5973099999992,13720.6319,14941.5239,14941.5239,14689.275600000001,15197.2709,252.24831599999999,255.74697
258.38574199999999,0.63985164500000002,0.89227168000000001,9614.4121500000001,9495.34656,9733.4777300000005,13407.276099999999,14540.209500000001,14540.209500000001,14297.773300000001,14785.8923,242.436195,245.68279000000001
258.985657,0.63948885,0.86964032099999999,9608.9607799999994,9489.9627099999998,9727.9588500000009,13067.2173,14100.203,14100.203,13868.7181,14334.6481,231.48489599999999,234.445075
259.58560199999999,0.64026826800000003,0.84612804500000005,9620.6723199999997,9501.5292100000006,9739.8154300000006,12713.9218,13637.8794,13637.8794,13418.122100000001,13860.2845,219.75733600000001,222.405079
260.18548600000003,0.64146488000000002,0.82131297700000006,9638.6526200000008,9519.2868400000007,9758.0184000000008,12341.050499999999,13148.2603,13148.2603,12940.9935,13357.840200000001,207.266763,209.579947
260.78533900000002,0.64190724200000004,0.79421947400000004,9645.2995499999997,9525.8514599999999,9764.7476399999996,11933.943499999999,12617.564399999999,12617.564399999999,12423.673500000001,12813.4143,193.89089000000001,195.84991099999999
261.38519300000002,0.64086055200000003,0.76431300999999996,9629.5719900000004,9510.3186600000008,9748.8253100000002,11484.5689,12038.6589,12038.6589,11859.067999999999,12219.837600000001,179.590868,181.178698
261.98501599999997,0.63784276100000004,0.73205963500000004,9584.2266600000003,9465.5348900000008,9702.91842,10999.929599999999,11422.8019,11422.8019,11258.0615,11588.7541,164.74037899999999,165.95218499999999
262.58477799999997,0.63298333799999995,0.69828844999999995,9511.2089599999999,9393.4214499999998,9628.9964600000003,10492.483700000001,10785.591700000001,10785.591700000001,10635.8863,10936.137199999999,149.70546200000001,150.54540900000001
263.18454000000003,0.62638556000000001,0.66403305899999998,9412.0707299999995,9295.5109499999999,9528.6304999999993,9977.7621199999994,10146.734899999999,10146.734899999999,10011.774799999999,10282.179099999999,134.96003400000001,135.44425100000001
263.78430200000003,0.61850049100000004,0.63055713099999999,9293.5896499999999,9178.4971600000008,9408.6821500000005,9474.7527599999994,9528.8664100000005,9528.8664100000005,9407.8812199999993,9650.0066700000007,120.985191,121.14026200000001
264.38400300000001,0.60996035400000004,0.59931378700000004,9165.2655400000003,9051.7622300000003,9278.7688600000001,9005.2902200000008,8957.5053800000005,8957.5053800000005,8843.8751400000001,9071.1323599999996,113.630233,113.62697799999999
264.98367300000001,0.60142540799999999,0.57152857800000001,9037.0194300000003,8925.1043200000004,9148.9345400000002,8587.7896000000001,8453.6040699999994,8453.6040699999994,8341.3325700000005,8565.8664399999998,112.271501,112.26236299999999
265.58334400000001,0.59394969500000006,0.54914306400000001,8924.6893500000006,8814.1653399999996,9035.21335,8251.4248299999999,8050.3198400000001,8050.3198400000001,7939.2617099999998,8161.3642799999998,111.058133,111.044438
