Wavelength_nm,Absorbance__2107362U1_0001A,Concentration_M__2107362U1_0001A,Path_length_cm__2107362U1_0001A,Epsilon_M-1_cm-1__2107362U1_0001A,Absorbance__2107362U1_0001B,Concentration_M__2107362U1_0001B,Path_length_cm__2107362U1_0001B,Epsilon_M-1_cm-1__2107362U1_0001B,Absorbance__2107362U1_0001C,Concentration_M__2107362U1_0001C,Path_length_cm__2107362U1_0001C,Epsilon_M-1_cm-1__2107362U1_0001C,Epsilon_mean_M-1_cm-1,Epsilon_SD_M-1_cm-1,Epsilon_SEM_M-1_cm-1,Epsilon_lower_nonnegative_M-1_cm-1,Epsilon_upper_nonnegative_M-1_cm-1
371.89099099999999,0.736846055,6.8200000000000004e-05,1,10804.1944,0.744962503,6.8700000000000003e-05,1,10843.704599999999,0.75231831500000002,6.7999999999999999e-05,1,11063.5046,10903.8012,139.710983,80.662173600000003,10764.090200000001,11043.512199999999
372.48568699999998,0.74764135499999995,6.8200000000000004e-05,1,10962.483200000001,0.75636376000000005,6.8700000000000003e-05,1,11009.661700000001,0.76378963200000005,6.7999999999999999e-05,1,11232.200500000001,11068.115100000001,144.04669999999999,83.165401099999997,10924.0684,11212.1618
373.08038299999998,0.75909895299999997,6.8200000000000004e-05,1,11130.483200000001,0.76787977799999996,6.8700000000000003e-05,1,11177.2894,0.77510478699999996,6.7999999999999999e-05,1,11398.5998,11235.457399999999,143.21060800000001,82.682683100000006,11092.246800000001,11378.668100000001
373.67501800000002,0.76926362199999998,6.8200000000000004e-05,1,11279.5252,0.77818394199999996,6.8700000000000003e-05,1,11327.2772,0.785286967,6.7999999999999999e-05,1,11548.3377,11385.046700000001,143.41558699999999,82.801027700000006,11241.631100000001,11528.462299999999
374.26965300000001,0.77881438999999997,6.8200000000000004e-05,1,11419.5658,0.78762062499999996,6.8700000000000003e-05,1,11464.6379,0.79494361700000005,6.7999999999999999e-05,1,11690.347299999999,11524.850399999999,145.085511,83.765158900000003,11379.764800000001,11669.9359
374.86422700000003,0.78823114100000002,6.8200000000000004e-05,1,11557.6414,0.79678907799999998,6.8700000000000003e-05,1,11598.094300000001,0.80448110799999994,6.7999999999999999e-05,1,11830.604499999999,11662.1134,147.31278499999999,85.051075800000007,11514.8006,11809.4262
375.45880099999999,0.79761066800000002,6.8200000000000004e-05,1,11695.1711,0.80625480599999999,6.8700000000000003e-05,1,11735.8778,0.813846344,6.7999999999999999e-05,1,11968.328600000001,11799.7925,147.368818,85.083426599999996,11652.423699999999,11947.1613
376.053314,0.80655557,6.8200000000000004e-05,1,11826.328,0.81553428400000005,6.8700000000000003e-05,1,11870.9503,0.82309341899999999,6.7999999999999999e-05,1,12104.315000000001,11933.8644,149.29110399999999,86.1932592,11784.5733,12083.155500000001
376.64782700000001,0.815741261,6.8200000000000004e-05,1,11961.015600000001,0.82513595699999998,6.8700000000000003e-05,1,12010.712600000001,0.83315850499999999,6.7999999999999999e-05,1,12252.331,12074.686400000001,155.838525,89.973414099999999,11918.847900000001,12230.5249
377.24230999999997,0.82391821300000001,6.8200000000000004e-05,1,12080.912200000001,0.83437661100000005,6.8700000000000003e-05,1,12145.219999999999,0.84191357499999997,6.7999999999999999e-05,1,12381.082,12202.404699999999,158.04443800000001,91.246998899999994,12044.3603,12360.449199999999
377.83676100000002,0.83311554399999999,6.8200000000000004e-05,1,12215.770399999999,0.84383657899999998,6.8700000000000003e-05,1,12282.919599999999,0.85125222499999997,6.7999999999999999e-05,1,12518.4151,12339.035,158.934415,91.760827500000005,12180.1006,12497.969499999999
378.431152,0.84177343100000002,6.8200000000000004e-05,1,12342.7189,0.85266113499999996,6.8700000000000003e-05,1,12411.370199999999,0.85961747799999999,6.7999999999999999e-05,1,12641.433499999999,12465.174199999999,156.456862,90.3304112,12308.7174,12621.631100000001
379.02554300000003,0.849943695,6.8200000000000004e-05,1,12462.5175,0.86122153599999995,6.8700000000000003e-05,1,12535.9758,0.868522185,6.7999999999999999e-05,1,12772.3851,12590.292799999999,161.917348,93.483024599999993,12428.375400000001,12752.2101
379.61990400000002,0.858869628,6.8200000000000004e-05,1,12593.3963,0.86995352100000001,6.8700000000000003e-05,1,12663.0789,0.87749233199999999,6.7999999999999999e-05,1,12904.299000000001,12720.258099999999,163.147831,94.193444400000004,12557.110199999999,12883.4059
380.21423299999998,0.86697459099999996,6.8200000000000004e-05,1,12712.2374,0.87757053799999996,6.8700000000000003e-05,1,12773.952499999999,0.88565280300000004,6.7999999999999999e-05,1,13024.305899999999,12836.831899999999,165.26360600000001,95.414987199999999,12671.568300000001,13002.095600000001
380.80853300000001,0.87435654600000001,6.8200000000000004e-05,1,12820.477199999999,0.88421834600000004,6.8700000000000003e-05,1,12870.7183,0.89291358099999996,6.7999999999999999e-05,1,13131.0821,12940.7592,166.72774799999999,96.260310200000006,12774.0314,13107.4869
381.40280200000001,0.88126366599999995,6.8200000000000004e-05,1,12921.7546,0.89071240699999998,6.8700000000000003e-05,1,12965.2461,0.89989291400000004,6.7999999999999999e-05,1,13233.719300000001,13040.24,168.96318099999999,97.5509378,12871.2768,13209.2032
381.99704000000003,0.88779528100000005,6.8200000000000004e-05,1,13017.526099999999,0.89772816700000002,6.8700000000000003e-05,1,13067.3678,0.90645251500000001,6.7999999999999999e-05,1,13330.183999999999,13138.3593,167.983912,96.985556599999995,12970.375400000001,13306.343199999999
382.59121699999997,0.89476523799999996,6.8200000000000004e-05,1,13119.724899999999,0.90465758500000004,6.8700000000000003e-05,1,13168.2327,0.91327057300000003,6.7999999999999999e-05,1,13430.4496,13239.4691,167.16287700000001,96.511532000000003,13072.306200000001,13406.6319
383.18539399999997,0.90129210800000004,6.8200000000000004e-05,1,13215.426799999999,0.91172974600000001,6.8700000000000003e-05,1,13271.175300000001,0.91974273500000003,6.7999999999999999e-05,1,13525.628500000001,13337.4102,165.367952,95.475231500000007,13172.0422,13502.778200000001
383.77954099999999,0.90908248000000003,6.8200000000000004e-05,1,13329.6551,0.91979166700000003,6.8700000000000003e-05,1,13388.525,0.92779884400000001,6.7999999999999999e-05,1,13644.1006,13454.0936,167.162871,96.511528499999997,13286.930700000001,13621.2565
384.37368800000002,0.91606771899999995,6.8200000000000004e-05,1,13432.078,0.92714864699999999,6.8700000000000003e-05,1,13495.613499999999,0.93485883700000005,6.7999999999999999e-05,1,13747.9241,13558.538500000001,167.06093300000001,96.452674900000005,13391.4776,13725.5995
384.96777300000002,0.92241087700000002,6.8200000000000004e-05,1,13525.0862,0.93347633799999996,6.8700000000000003e-05,1,13587.7196,0.94163940099999999,6.7999999999999999e-05,1,13847.638199999999,13653.481299999999,171.036295,98.747850799999995,13482.445,13824.517599999999
385.56182899999999,0.92920749999999996,6.8200000000000004e-05,1,13624.743399999999,0.94037864000000004,6.8700000000000003e-05,1,13688.1898,0.94818939400000002,6.7999999999999999e-05,1,13943.9617,13752.2983,168.98964100000001,97.566214799999997,13583.3087,13921.287899999999
386.15585299999998,0.93434784599999998,6.8200000000000004e-05,1,13700.115,0.94567556200000003,6.8700000000000003e-05,1,13765.291999999999,0.95361202899999997,6.7999999999999999e-05,1,14023.7063,13829.7045,171.14190099999999,98.808822599999999,13658.562599999999,14000.8464
386.74984699999999,0.94068072999999996,6.8200000000000004e-05,1,13792.972599999999,0.95209703899999998,6.8700000000000003e-05,1,13858.763300000001,0.96013705199999999,6.7999999999999999e-05,1,14119.6625,13923.799499999999,172.78268499999999,99.756129799999997,13751.016799999999,14096.582200000001
387.34381100000002,0.94657962900000003,6.8200000000000004e-05,1,13879.466700000001,0.95847769299999996,6.8700000000000003e-05,1,13951.6404,0.96682578699999999,6.7999999999999999e-05,1,14218.0263,14016.3778,178.32231400000001,102.954436,13838.0555,14194.7001
387.93774400000001,0.95266106900000003,6.8200000000000004e-05,1,13968.6374,0.96465562500000002,6.8700000000000003e-05,1,14041.5666,0.97322899699999998,6.7999999999999999e-05,1,14312.1911,14107.465,181.00897900000001,104.505583,13926.456099999999,14288.474
388.531677,0.95871602499999997,6.8200000000000004e-05,1,14057.4197,0.97037817000000004,6.8700000000000003e-05,1,14124.8642,0.97899092300000001,6.7999999999999999e-05,1,14396.925300000001,14193.0697,179.73595599999999,103.77060299999999,14013.3338,14372.805700000001
389.12554899999998,0.96462295799999997,6.8200000000000004e-05,1,14144.0316,0.97640271099999998,6.8700000000000003e-05,1,14212.557699999999,0.98493488699999998,6.7999999999999999e-05,1,14484.336600000001,14280.3086,179.98473999999999,103.914238,14100.323899999999,14460.2934
389.71939099999997,0.97123341900000004,6.8200000000000004e-05,1,14240.959199999999,0.98217728800000004,6.8700000000000003e-05,1,14296.6126,0.99100319299999995,6.7999999999999999e-05,1,14573.5764,14370.3827,178.157409,102.859228,14192.2253,14548.5401
