Cycle,ElapsedTime (s),Event
92,2744.016,LEDon
92,2772.578,LEDoff
92,2773.11,Measure
93,2774.157,LEDon
93,2802.719,LEDoff
93,2803.25,Measure
94,2804.297,LEDon
94,2832.86,LEDoff
94,2833.391,Measure
95,2834.438,LEDon
95,2863,LEDoff
95,2863.532,Measure
96,2864.578,LEDon
96,2893.141,LEDoff
96,2893.672,Measure
97,2894.719,LEDon
97,2923.282,LEDoff
97,2923.828,Measure
98,2924.875,LEDon
98,2953.438,LEDoff
98,2953.985,Measure
99,2955.032,LEDon
99,2983.594,LEDoff
99,2984.125,Measure
100,2985.172,LEDon
100,3013.735,LEDoff
100,3014.266,Measure
101,3015.313,LEDon
101,3043.875,LEDoff
101,3044.407,Measure
102,3045.453,LEDon
102,3074.016,LEDoff
102,3074.547,Measure
103,3075.594,LEDon
103,3104.157,LEDoff
103,3104.688,Measure
104,3105.735,LEDon
104,3134.297,LEDoff
104,3134.828,Measure
105,3135.891,LEDon
105,3164.453,LEDoff
105,3164.985,Measure
106,3166.032,LEDon
106,3194.594,LEDoff
106,3195.125,Measure
107,3196.172,LEDon
107,3224.735,LEDoff
107,3225.266,Measure
108,3226.313,LEDon
108,3254.875,LEDoff
108,3255.422,Measure
109,3256.469,LEDon
109,3285.032,LEDoff
109,3285.563,Measure
110,3286.61,LEDon
110,3315.172,LEDoff
110,3315.703,Measure
111,3316.75,LEDon
111,3345.313,LEDoff
111,3345.844,Measure
112,3346.891,LEDon
112,3375.453,LEDoff
112,3376,Measure
113,3377.047,LEDon
113,3405.61,LEDoff
113,3406.141,Measure
114,3407.188,LEDon
114,3435.75,LEDoff
114,3436.282,Measure
115,3437.328,LEDon
115,3465.891,LEDoff
115,3466.438,Measure
116,3467.485,LEDon
116,3496.047,LEDoff
116,3496.578,Measure
117,3497.625,LEDon
117,3526.188,LEDoff
117,3526.719,Measure
118,3527.766,LEDon
118,3556.328,LEDoff
118,3556.86,Measure
119,3557.907,LEDon
119,3586.469,LEDoff
119,3587,Measure
120,3588.047,LEDon
120,3616.61,LEDoff
120,3617.141,Measure
