Wavelength [nm]	Wavenumbers [1/cm]	cis_azobenzene_epsilons
362.200	27609.06	74.41
362.300	27601.44	75.11
362.400	27593.82	75.31
362.500	27586.21	76.13
362.600	27578.60	76.38
362.700	27571.00	77.19
362.800	27563.40	77.59
362.900	27555.80	77.71
363.000	27548.21	78.25
363.100	27540.62	78.8
363.200	27533.04	78.82
363.300	27525.46	79.14
363.400	27517.89	79.57
363.500	27510.32	80.56
363.600	27502.75	82.02
363.700	27495.19	81.97
363.800	27487.63	81.7
363.900	27480.08	82.9
364.000	27472.53	82.79
364.100	27464.98	83.67
364.200	27457.44	84.28
364.300	27449.90	85.13
364.400	27442.37	85.52
364.500	27434.84	85.98
364.600	27427.32	86.22
364.700	27419.80	86.43
364.800	27412.28	87.15
364.900	27404.77	88.53
365.000	27397.26	88.82
365.100	27389.76	88.92
365.200	27382.26	89.95
365.300	27374.76	89.8
365.400	27367.27	90.65
365.500	27359.78	91.37
365.600	27352.30	92.12
365.700	27344.82	92.25
365.800	27337.34	92.63
365.900	27329.87	93.76
366.000	27322.40	94.25
366.100	27314.94	94.89
366.200	27307.48	95.65
366.300	27300.03	96.93
366.400	27292.58	96.28
366.500	27285.13	97.74
366.600	27277.69	98.05
366.700	27270.25	98.46
366.800	27262.81	99.68
366.900	27255.38	100.3
367.000	27247.96	100.7
367.100	27240.53	101.7
367.200	27233.12	102.3
367.300	27225.70	102.7
367.400	27218.29	103.8
367.500	27210.88	104.9
367.600	27203.48	105.6
367.700	27196.08	106.1
367.800	27188.69	107.2
367.900	27181.30	107.9
368.000	27173.91	108.4
368.100	27166.53	109.1
368.200	27159.15	110.1
368.300	27151.78	111
368.400	27144.41	111.2
368.500	27137.04	111.8
368.600	27129.68	113.2
368.700	27122.32	113.3
368.800	27114.97	114.8
368.900	27107.62	115
369.000	27100.27	115.8
369.100	27092.93	116.9
369.200	27085.59	117.2
369.300	27078.26	117.8
369.400	27070.93	118.5
369.500	27063.60	119.4
369.600	27056.28	121.1
369.700	27048.96	121.5
369.800	27041.64	122.3
369.900	27034.33	123.8
370.000	27027.03	124
370.100	27019.72	124.8
370.200	27012.43	125.8
370.300	27005.13	127
370.400	26997.84	127.3
370.500	26990.55	128
370.600	26983.27	129.5
370.700	26975.99	130.4
370.800	26968.72	131.9
370.900	26961.45	132.3
371.000	26954.18	133.6
371.100	26946.91	134.5
371.200	26939.66	135.3
371.300	26932.40	136.4
371.400	26925.15	136.4
371.500	26917.90	138.3
371.600	26910.66	140
371.700	26903.42	139.8
371.800	26896.18	140.9
371.900	26888.95	142.5
372.000	26881.72	143.2
372.100	26874.50	144.3
372.200	26867.28	144.9
372.300	26860.06	146
372.400	26852.85	146.7
372.500	26845.64	148.4
372.600	26838.43	149.5
372.700	26831.23	150
372.800	26824.03	151.5
372.900	26816.84	152.9
373.000	26809.65	154.4
373.100	26802.47	155
373.200	26795.28	155.9
373.300	26788.11	157.4
373.400	26780.93	158.5
373.500	26773.76	159.8
373.600	26766.60	160.9
373.700	26759.43	161.4
373.800	26752.27	163
373.900	26745.12	164.1
374.000	26737.97	165.5
374.100	26730.82	166.7
374.200	26723.68	167.7
374.300	26716.54	169.1
374.400	26709.40	170.1
374.500	26702.27	171.4
374.600	26695.14	172.3
374.700	26688.02	173.5
374.800	26680.90	174.8
374.900	26673.78	176.3
375.000	26666.67	177.5
375.100	26659.56	178
375.200	26652.45	180.1
375.300	26645.35	181.4
375.400	26638.25	183
375.500	26631.16	184.2
375.600	26624.07	185.4
375.700	26616.98	186
375.800	26609.90	188.1
375.900	26602.82	189.4
376.000	26595.74	190.4
376.100	26588.67	192.3
376.200	26581.61	193.3
376.300	26574.54	193.9
376.400	26567.48	195.9
376.500	26560.42	198.1
376.600	26553.37	198.7
376.700	26546.32	200
376.800	26539.28	201.4
376.900	26532.24	202.7
377.000	26525.20	204.3
377.100	26518.16	206.5
377.200	26511.13	207
377.300	26504.11	208.9
377.400	26497.09	210.7
377.500	26490.07	211.4
377.600	26483.05	213.1
377.700	26476.04	214.5
377.800	26469.03	216.4
377.900	26462.03	218.3
378.000	26455.03	219.9
378.100	26448.03	221.2
378.200	26441.04	222.2
378.300	26434.05	224.2
378.400	26427.06	225.5
378.500	26420.08	227
378.600	26413.10	228.7
378.700	26406.13	230.4
378.800	26399.16	232
378.900	26392.19	233.4
379.000	26385.22	235.1
379.100	26378.26	236.9
379.200	26371.31	238.5
379.300	26364.36	239.9
379.400	26357.41	241.1
379.500	26350.46	243
379.600	26343.52	245.3
379.700	26336.58	246.3
379.800	26329.65	248.2
379.900	26322.72	249.5
380.000	26315.79	251.6
380.100	26308.87	253.5
380.200	26301.95	255.4
380.300	26295.03	257.3
380.400	26288.12	258.5
380.500	26281.21	260.2
380.600	26274.30	262
380.700	26267.40	263.5
380.800	26260.50	265.5
380.900	26253.61	267.2
381.000	26246.72	269.4
381.100	26239.83	271.1
381.200	26232.95	273
381.300	26226.07	274.8
381.400	26219.19	276.3
381.500	26212.32	278.6
381.600	26205.45	280.6
381.700	26198.59	282.5
381.800	26191.72	284
381.900	26184.87	286.3
382.000	26178.01	287.6
382.100	26171.16	289.9
382.200	26164.31	292.2
382.300	26157.47	294.1
382.400	26150.63	295.5
382.500	26143.79	297.7
382.600	26136.96	299.6
382.700	26130.13	301.4
382.800	26123.30	303.2
382.900	26116.48	305.3
383.000	26109.66	307.6
383.100	26102.85	309.4
383.200	26096.03	311.9
383.300	26089.23	313.7
383.400	26082.42	315.7
383.500	26075.62	318
383.600	26068.82	320.5
383.700	26062.03	321.2
383.800	26055.24	323.9
383.900	26048.45	326.2
384.000	26041.67	328.2
384.100	26034.89	329.5
384.200	26028.11	331.9
384.300	26021.34	334.5
384.400	26014.57	336.7
384.500	26007.80	338.7
384.600	26001.04	341
384.700	25994.28	342.8
384.800	25987.53	344.9
384.900	25980.77	347.4
385.000	25974.03	349.4
385.100	25967.28	351.1
385.200	25960.54	354.1
385.300	25953.80	356.1
385.400	25947.07	358.3
385.500	25940.34	360.7
385.600	25933.61	362.7
385.700	25926.89	364.6
385.800	25920.17	367.7
385.900	25913.45	370.1
386.000	25906.74	371.9
386.100	25900.03	374.2
386.200	25893.32	377.4
386.300	25886.62	379.3
386.400	25879.92	381.4
386.500	25873.22	383.6
386.600	25866.53	385.9
386.700	25859.84	388.8
386.800	25853.15	390.2
386.900	25846.47	393.3
387.000	25839.79	395.6
387.100	25833.12	398
387.200	25826.45	400.4
387.300	25819.78	403.3
387.400	25813.11	405
387.500	25806.45	407.8
387.600	25799.79	409.7
387.700	25793.14	412.7
387.800	25786.49	415
387.900	25779.84	418.1
388.000	25773.20	420.4
388.100	25766.56	422.2
388.200	25759.92	425.8
388.300	25753.28	428
388.400	25746.65	430.4
388.500	25740.03	432.7
388.600	25733.40	435.7
388.700	25726.78	438.1
388.800	25720.16	441.1
388.900	25713.55	443.7
389.000	25706.94	445.6
389.100	25700.33	448.4
389.200	25693.73	450.7
389.300	25687.13	453.5
389.400	25680.53	456
389.500	25673.94	458.9
389.600	25667.35	461.3
389.700	25660.76	463.6
389.800	25654.18	466.7
389.900	25647.60	469.4
390.000	25641.03	472.1
390.100	25634.45	475
390.200	25627.88	478.1
390.300	25621.32	480.3
390.400	25614.75	482.6
390.500	25608.19	485.9
390.600	25601.64	488.3
390.700	25595.09	491
390.800	25588.54	493.6
390.900	25581.99	496.3
391.000	25575.45	498.5
391.100	25568.91	502.3
391.200	25562.37	505.1
391.300	25555.84	507.8
391.400	25549.31	510.6
391.500	25542.78	513.7
391.600	25536.26	516.9
391.700	25529.74	519.4
391.800	25523.23	522.3
391.900	25516.71	524.6
392.000	25510.20	527.3
392.100	25503.70	530.4
392.200	25497.20	533
392.300	25490.70	536
392.400	25484.20	538.5
392.500	25477.71	542.2
392.600	25471.22	544.9
392.700	25464.73	547.6
392.800	25458.25	550.8
392.900	25451.77	553.5
393.000	25445.29	556.4
393.100	25438.82	559.7
393.200	25432.35	562.3
393.300	25425.88	565.3
393.400	25419.42	568
393.500	25412.96	571.2
393.600	25406.50	574.8
393.700	25400.05	577
393.800	25393.60	580.5
393.900	25387.15	582.8
394.000	25380.71	586.3
394.100	25374.27	589.5
394.200	25367.83	592.7
394.300	25361.40	595.1
394.400	25354.97	598.8
394.500	25348.54	601.1
394.600	25342.12	604.3
394.700	25335.70	607.5
394.800	25329.28	610.5
394.900	25322.87	613.6
395.000	25316.46	616.8
395.100	25310.05	619.9
395.200	25303.64	622.6
395.300	25297.24	625.7
395.400	25290.84	628.4
395.500	25284.45	632.4
395.600	25278.06	635.7
395.700	25271.67	638.2
395.800	25265.29	641.4
395.900	25258.90	644.5
396.000	25252.53	648.4
396.100	25246.15	650.9
396.200	25239.78	654.1
396.300	25233.41	657.3
396.400	25227.04	660.2
396.500	25220.68	663.6
396.600	25214.32	666.7
396.700	25207.97	669.6
396.800	25201.61	673.3
396.900	25195.26	676.7
397.000	25188.92	679.7
397.100	25182.57	682.7
397.200	25176.23	686.1
397.300	25169.90	689.2
397.400	25163.56	692.3
397.500	25157.23	695.3
397.600	25150.91	698.8
397.700	25144.58	702.4
397.800	25138.26	705.6
397.900	25131.94	708.4
398.000	25125.63	711.2
398.100	25119.32	714.4
398.200	25113.01	717.8
398.300	25106.70	721.8
398.400	25100.40	724.4
398.500	25094.10	727.6
398.600	25087.81	730.8
398.700	25081.51	733.8
398.800	25075.23	737.9
398.900	25068.94	740.9
399.000	25062.66	744.1
399.100	25056.38	747
399.200	25050.10	750.9
399.300	25043.83	753.8
399.400	25037.56	757.2
399.500	25031.29	760.4
399.600	25025.03	763.8
399.700	25018.76	766.4
399.800	25012.51	770.4
399.900	25006.25	774
400.000	25000.00	776.6
400.100	24993.75	779.9
400.200	24987.51	783.3
400.300	24981.26	786.9
400.400	24975.02	789.5
400.500	24968.79	793.5
400.600	24962.56	796.4
400.700	24956.33	800.1
400.800	24950.10	803.1
400.900	24943.88	806.4
401.000	24937.66	809.6
401.100	24931.44	813
401.200	24925.22	816.3
401.300	24919.01	819.6
401.400	24912.81	822.5
401.500	24906.60	826.1
401.600	24900.40	829.8
401.700	24894.20	832.7
401.800	24888.00	836.5
401.900	24881.81	839.4
402.000	24875.62	842.8
402.100	24869.44	846.3
402.200	24863.25	850
402.300	24857.07	853.1
402.400	24850.89	856.3
402.500	24844.72	859.6
402.600	24838.55	863
402.700	24832.38	865.7
402.800	24826.22	869.5
402.900	24820.05	872.9
403.000	24813.90	875.6
403.100	24807.74	879.7
403.200	24801.59	882.6
403.300	24795.44	885.9
403.400	24789.29	888.9
403.500	24783.15	893.1
403.600	24777.01	896.2
403.700	24770.87	899.7
403.800	24764.74	902.5
403.900	24758.60	905.9
404.000	24752.48	909.2
404.100	24746.35	912
404.200	24740.23	915.8
404.300	24734.11	919
404.400	24727.99	922.4
404.500	24721.88	926
404.600	24715.77	929.5
404.700	24709.66	932
404.800	24703.56	935.5
404.900	24697.46	939.1
405.000	24691.36	942.1
405.100	24685.26	945.4
405.200	24679.17	949.2
405.300	24673.08	951.6
405.400	24667.00	954.7
405.500	24660.91	958.4
405.600	24654.83	961.4
405.700	24648.76	964.7
405.800	24642.68	968.1
405.900	24636.61	971.7
406.000	24630.54	974.6
406.100	24624.48	978.1
406.200	24618.41	980.9
406.300	24612.36	984.4
406.400	24606.30	987.3
406.500	24600.25	990.5
406.600	24594.20	994.1
406.700	24588.15	996.6
406.800	24582.10	1001
406.900	24576.06	1003
407.000	24570.02	1007
407.100	24563.99	1009
407.200	24557.96	1013
407.300	24551.93	1016
407.400	24545.90	1020
407.500	24539.88	1022
407.600	24533.86	1026
407.700	24527.84	1029
407.800	24521.82	1032
407.900	24515.81	1036
408.000	24509.80	1038
408.100	24503.80	1042
408.200	24497.80	1045
408.300	24491.80	1048
408.400	24485.80	1051
408.500	24479.80	1054
408.600	24473.81	1057
408.700	24467.82	1060
408.800	24461.84	1063
408.900	24455.86	1067
409.000	24449.88	1070
409.100	24443.90	1073
409.200	24437.93	1076
409.300	24431.96	1079
409.400	24425.99	1082
409.500	24420.02	1085
409.600	24414.06	1088
409.700	24408.10	1091
409.800	24402.15	1094
409.900	24396.19	1097
410.000	24390.24	1100
410.100	24384.30	1103
410.200	24378.35	1106
410.300	24372.41	1109
410.400	24366.47	1112
410.500	24360.54	1115
410.600	24354.60	1118
410.700	24348.67	1121
410.800	24342.75	1124
410.900	24336.82	1127
411.000	24330.90	1129
411.100	24324.98	1132
411.200	24319.07	1135
411.300	24313.15	1138
411.400	24307.24	1141
411.500	24301.34	1144
411.600	24295.43	1147
411.700	24289.53	1150
411.800	24283.63	1153
411.900	24277.74	1155
412.000	24271.84	1158
412.100	24265.95	1161
412.200	24260.07	1164
412.300	24254.18	1166
412.400	24248.30	1169
412.500	24242.42	1173
412.600	24236.55	1175
412.700	24230.68	1178
412.800	24224.81	1180
412.900	24218.94	1183
413.000	24213.08	1185
413.100	24207.21	1189
413.200	24201.36	1191
413.300	24195.50	1194
413.400	24189.65	1196
413.500	24183.80	1199
413.600	24177.95	1202
413.700	24172.11	1204
413.800	24166.26	1207
413.900	24160.43	1210
414.000	24154.59	1212
414.100	24148.76	1214
414.200	24142.93	1217
414.300	24137.10	1220
414.400	24131.27	1222
414.500	24125.45	1225
414.600	24119.63	1227
414.700	24113.82	1230
414.800	24108.00	1233
414.900	24102.19	1235
415.000	24096.39	1238
415.100	24090.58	1240
415.200	24084.78	1243
415.300	24078.98	1245
415.400	24073.18	1248
415.500	24067.39	1249
415.600	24061.60	1252
415.700	24055.81	1255
415.800	24050.02	1257
415.900	24044.24	1260
416.000	24038.46	1262
416.100	24032.68	1264
416.200	24026.91	1266
416.300	24021.14	1268
416.400	24015.37	1271
416.500	24009.60	1273
416.600	24003.84	1275
416.700	23998.08	1278
416.800	23992.32	1280
416.900	23986.57	1282
417.000	23980.82	1284
417.100	23975.07	1287
417.200	23969.32	1289
417.300	23963.58	1291
417.400	23957.83	1293
417.500	23952.10	1295
417.600	23946.36	1297
417.700	23940.63	1299
417.800	23934.90	1301
417.900	23929.17	1303
418.000	23923.44	1305
418.100	23917.72	1307
418.200	23912.00	1309
418.300	23906.29	1311
418.400	23900.57	1313
418.500	23894.86	1315
418.600	23889.15	1317
418.700	23883.45	1319
418.800	23877.75	1321
418.900	23872.05	1323
419.000	23866.35	1325
419.100	23860.65	1327
419.200	23854.96	1329
419.300	23849.27	1331
419.400	23843.59	1332
419.500	23837.90	1334
419.600	23832.22	1336
419.700	23826.54	1338
419.800	23820.87	1340
419.900	23815.19	1341
420.000	23809.52	1343
420.100	23803.86	1345
420.200	23798.19	1347
420.300	23792.53	1348
420.400	23786.87	1350
420.500	23781.21	1351
420.600	23775.56	1353
420.700	23769.91	1355
420.800	23764.26	1356
420.900	23758.61	1358
421.000	23752.97	1359
421.100	23747.33	1361
421.200	23741.69	1363
421.300	23736.06	1364
421.400	23730.42	1365
421.500	23724.79	1367
421.600	23719.17	1368
421.700	23713.54	1370
421.800	23707.92	1371
421.900	23702.30	1373
422.000	23696.68	1374
422.100	23691.07	1376
422.200	23685.46	1377
422.300	23679.85	1378
422.400	23674.24	1379
422.500	23668.64	1381
422.600	23663.04	1382
422.700	23657.44	1383
422.800	23651.84	1385
422.900	23646.25	1386
423.000	23640.66	1387
423.100	23635.07	1388
423.200	23629.49	1390
423.300	23623.91	1391
423.400	23618.33	1392
423.500	23612.75	1393
423.600	23607.18	1394
423.700	23601.60	1395
423.800	23596.04	1396
423.900	23590.47	1398
424.000	23584.91	1399
424.100	23579.34	1400
424.200	23573.79	1401
424.300	23568.23	1402
424.400	23562.68	1402
424.500	23557.13	1404
424.600	23551.58	1405
424.700	23546.03	1405
424.800	23540.49	1406
424.900	23534.95	1408
425.000	23529.41	1408
425.100	23523.88	1409
425.200	23518.34	1410
425.300	23512.81	1411
425.400	23507.29	1412
425.500	23501.76	1413
425.600	23496.24	1413
425.700	23490.72	1414
425.800	23485.20	1415
425.900	23479.69	1415
426.000	23474.18	1416
426.100	23468.67	1417
426.200	23463.16	1418
426.300	23457.66	1418
426.400	23452.16	1419
426.500	23446.66	1420
426.600	23441.16	1420
426.700	23435.67	1420
426.800	23430.18	1421
426.900	23424.69	1422
427.000	23419.20	1422
427.100	23413.72	1423
427.200	23408.24	1424
427.300	23402.76	1424
427.400	23397.29	1425
427.500	23391.81	1425
427.600	23386.34	1425
427.700	23380.87	1426
427.800	23375.41	1426
427.900	23369.95	1427
428.000	23364.49	1427
428.100	23359.03	1427
428.200	23353.57	1428
428.300	23348.12	1428
428.400	23342.67	1428
428.500	23337.22	1429
428.600	23331.78	1428
428.700	23326.34	1429
428.800	23320.90	1429
428.900	23315.46	1429
429.000	23310.02	1430
429.100	23304.59	1430
429.200	23299.16	1430
429.300	23293.73	1430
429.400	23288.31	1430
429.500	23282.89	1430
429.600	23277.47	1431
429.700	23272.05	1431
429.800	23266.64	1431
429.900	23261.22	1431
430.000	23255.81	1431
430.100	23250.41	1431
430.200	23245.00	1431
430.300	23239.60	1431
430.400	23234.20	1431
430.500	23228.80	1431
430.600	23223.41	1430
430.700	23218.02	1431
430.800	23212.63	1431
430.900	23207.24	1430
431.000	23201.86	1430
431.100	23196.47	1430
431.200	23191.09	1430
431.300	23185.72	1430
431.400	23180.34	1429
431.500	23174.97	1429
431.600	23169.60	1429
431.700	23164.23	1429
431.800	23158.87	1428
431.900	23153.51	1428
432.000	23148.15	1428
432.100	23142.79	1427
432.200	23137.44	1427
432.300	23132.08	1427
432.400	23126.73	1426
432.500	23121.39	1426
432.600	23116.04	1426
432.700	23110.70	1425
432.800	23105.36	1424
432.900	23100.02	1424
433.000	23094.69	1424
433.100	23089.36	1423
433.200	23084.03	1423
433.300	23078.70	1423
433.400	23073.37	1422
433.500	23068.05	1421
433.600	23062.73	1421
433.700	23057.41	1420
433.800	23052.10	1420
433.900	23046.78	1419
434.000	23041.47	1418
434.100	23036.17	1418
434.200	23030.86	1417
434.300	23025.56	1416
434.400	23020.26	1416
434.500	23014.96	1415
434.600	23009.66	1414
434.700	23004.37	1413
434.800	22999.08	1413
434.900	22993.79	1412
435.000	22988.51	1411
435.100	22983.22	1410
435.200	22977.94	1410
435.300	22972.66	1409
435.400	22967.39	1408
435.500	22962.11	1407
435.600	22956.84	1406
435.700	22951.57	1405
435.800	22946.31	1404
435.900	22941.04	1404
436.000	22935.78	1403
436.100	22930.52	1402
436.200	22925.26	1401
436.300	22920.01	1400
436.400	22914.76	1399
436.500	22909.51	1398
436.600	22904.26	1397
436.700	22899.02	1396
436.800	22893.77	1395
436.900	22888.53	1394
437.000	22883.30	1393
437.100	22878.06	1392
437.200	22872.83	1391
437.300	22867.60	1390
437.400	22862.37	1388
437.500	22857.14	1388
437.600	22851.92	1387
437.700	22846.70	1385
437.800	22841.48	1384
437.900	22836.26	1383
438.000	22831.05	1382
438.100	22825.84	1380
438.200	22820.63	1379
438.300	22815.42	1378
438.400	22810.22	1377
438.500	22805.02	1375
438.600	22799.82	1374
438.700	22794.62	1373
438.800	22789.43	1371
438.900	22784.23	1370
439.000	22779.04	1369
439.100	22773.86	1368
439.200	22768.67	1367
439.300	22763.49	1365
439.400	22758.31	1363
439.500	22753.13	1362
439.600	22747.95	1361
439.700	22742.78	1359
439.800	22737.61	1358
439.900	22732.44	1357
440.000	22727.27	1355
440.100	22722.11	1354
440.200	22716.95	1352
440.300	22711.79	1351
440.400	22706.63	1349
440.500	22701.48	1348
440.600	22696.32	1346
440.700	22691.17	1345
440.800	22686.03	1343
440.900	22680.88	1342
441.000	22675.74	1340
441.100	22670.60	1338
441.200	22665.46	1337
441.300	22660.32	1336
441.400	22655.19	1333
441.500	22650.06	1332
441.600	22644.93	1330
441.700	22639.80	1329
441.800	22634.68	1327
441.900	22629.55	1326
442.000	22624.43	1324
442.100	22619.32	1322
442.200	22614.20	1321
442.300	22609.09	1319
442.400	22603.98	1317
442.500	22598.87	1316
442.600	22593.76	1314
442.700	22588.66	1312
442.800	22583.56	1310
442.900	22578.46	1308
443.000	22573.36	1307
443.100	22568.27	1305
443.200	22563.18	1303
443.300	22558.09	1301
443.400	22553.00	1299
443.500	22547.91	1298
443.600	22542.83	1296
443.700	22537.75	1294
443.800	22532.67	1292
443.900	22527.60	1290
444.000	22522.52	1288
444.100	22517.45	1287
444.200	22512.38	1285
444.300	22507.31	1283
444.400	22502.25	1281
444.500	22497.19	1279
444.600	22492.13	1277
444.700	22487.07	1275
444.800	22482.01	1273
444.900	22476.96	1271
445.000	22471.91	1269
445.100	22466.86	1267
445.200	22461.81	1265
445.300	22456.77	1263
445.400	22451.73	1261
445.500	22446.69	1259
445.600	22441.65	1257
445.700	22436.62	1255
445.800	22431.58	1253
445.900	22426.55	1251
446.000	22421.52	1249
446.100	22416.50	1247
446.200	22411.47	1245
446.300	22406.45	1243
446.400	22401.43	1241
446.500	22396.42	1239
446.600	22391.40	1237
446.700	22386.39	1235
446.800	22381.38	1233
446.900	22376.37	1230
447.000	22371.36	1228
447.100	22366.36	1226
447.200	22361.36	1224
447.300	22356.36	1222
447.400	22351.36	1220
447.500	22346.37	1218
447.600	22341.38	1216
447.700	22336.39	1213
447.800	22331.40	1211
447.900	22326.41	1209
448.000	22321.43	1207
448.100	22316.45	1205
448.200	22311.47	1203
448.300	22306.49	1200
448.400	22301.52	1198
448.500	22296.54	1196
448.600	22291.57	1194
448.700	22286.61	1192
448.800	22281.64	1190
448.900	22276.68	1187
449.000	22271.71	1185
449.100	22266.76	1183
449.200	22261.80	1180
449.300	22256.84	1178
449.400	22251.89	1176
449.500	22246.94	1174
449.600	22241.99	1172
449.700	22237.05	1169
449.800	22232.10	1167
449.900	22227.16	1165
450.000	22222.22	1163
450.100	22217.29	1160
450.200	22212.35	1158
450.300	22207.42	1155
450.400	22202.49	1153
450.500	22197.56	1150
450.600	22192.63	1149
450.700	22187.71	1146
450.800	22182.79	1143
450.900	22177.87	1141
451.000	22172.95	1139
451.100	22168.03	1136
451.200	22163.12	1134
451.300	22158.21	1132
451.400	22153.30	1130
451.500	22148.39	1127
451.600	22143.49	1125
451.700	22138.59	1123
451.800	22133.69	1120
451.900	22128.79	1118
452.000	22123.89	1115
452.100	22119.00	1113
452.200	22114.11	1111
452.300	22109.22	1108
452.400	22104.33	1106
452.500	22099.45	1103
452.600	22094.56	1101
452.700	22089.68	1098
452.800	22084.81	1096
452.900	22079.93	1094
453.000	22075.06	1092
453.100	22070.18	1089
453.200	22065.31	1087
453.300	22060.45	1084
453.400	22055.58	1081
453.500	22050.72	1079
453.600	22045.86	1077
453.700	22041.00	1074
453.800	22036.14	1072
453.900	22031.28	1069
454.000	22026.43	1067
454.100	22021.58	1064
454.200	22016.73	1062
454.300	22011.89	1060
454.400	22007.04	1057
454.500	22002.20	1054
454.600	21997.36	1052
454.700	21992.52	1050
454.800	21987.69	1047
454.900	21982.85	1045
455.000	21978.02	1042
455.100	21973.19	1040
455.200	21968.37	1038
455.300	21963.54	1035
455.400	21958.72	1033
455.500	21953.90	1030
455.600	21949.08	1028
455.700	21944.26	1025
455.800	21939.45	1023
455.900	21934.63	1020
456.000	21929.82	1018
456.100	21925.02	1015
456.200	21920.21	1013
456.300	21915.41	1010
456.400	21910.60	1008
456.500	21905.81	1005
456.600	21901.01	1003
456.700	21896.21	1000
456.800	21891.42	997.8
456.900	21886.63	995.5
457.000	21881.84	992.5
457.100	21877.05	990.2
457.200	21872.27	987.8
457.300	21867.48	985.1
457.400	21862.70	982.4
457.500	21857.92	980.3
457.600	21853.15	977.6
457.700	21848.37	975.2
457.800	21843.60	972.5
457.900	21838.83	969.9
458.000	21834.06	967.5
458.100	21829.29	965.1
458.200	21824.53	962.9
458.300	21819.77	959.9
458.400	21815.01	957.2
458.500	21810.25	955.2
458.600	21805.49	952.8
458.700	21800.74	950
458.800	21795.99	947.6
458.900	21791.24	944.9
459.000	21786.49	942.5
459.100	21781.75	940.1
459.200	21777.00	937.4
459.300	21772.26	935
459.400	21767.52	932.4
459.500	21762.79	929.8
459.600	21758.05	927.4
459.700	21753.32	925
459.800	21748.59	922.2
459.900	21743.86	919.8
460.000	21739.13	917.2
460.100	21734.41	914.8
460.200	21729.68	912
460.300	21724.96	909.8
460.400	21720.24	907.2
460.500	21715.53	904.8
460.600	21710.81	902.2
460.700	21706.10	899.8
460.800	21701.39	897.3
460.900	21696.68	894.9
461.000	21691.97	892.3
461.100	21687.27	889.8
461.200	21682.57	887.2
461.300	21677.87	884.6
461.400	21673.17	882.3
461.500	21668.47	879.7
461.600	21663.78	877.3
461.700	21659.09	874.6
461.800	21654.40	872.1
461.900	21649.71	869.8
462.000	21645.02	867.3
462.100	21640.34	865.1
462.200	21635.66	862
462.300	21630.98	860.1
462.400	21626.30	857.5
462.500	21621.62	855
462.600	21616.95	852.3
462.700	21612.28	849.9
462.800	21607.61	847.4
462.900	21602.94	845
463.000	21598.27	842.7
463.100	21593.61	840.1
463.200	21588.95	837.7
463.300	21584.29	835.6
463.400	21579.63	833
463.500	21574.97	830.3
463.600	21570.32	828
463.700	21565.67	825.4
463.800	21561.02	823
463.900	21556.37	820.4
464.000	21551.72	818.5
464.100	21547.08	815.3
464.200	21542.44	813.3
464.300	21537.80	811.1
464.400	21533.16	808.2
464.500	21528.53	806
464.600	21523.89	803.6
464.700	21519.26	801.1
464.800	21514.63	798.2
464.900	21510.00	796.2
465.000	21505.38	793.9
465.100	21500.75	791.2
465.200	21496.13	788.9
465.300	21491.51	786.6
465.400	21486.89	784.4
465.500	21482.28	781.4
465.600	21477.66	779.3
465.700	21473.05	776.8
465.800	21468.44	774.2
465.900	21463.83	771.9
466.000	21459.23	769.8
466.100	21454.62	767
466.200	21450.02	764.5
466.300	21445.42	762.5
466.400	21440.82	760
466.500	21436.23	757.1
466.600	21431.63	755.1
466.700	21427.04	752.7
466.800	21422.45	750.1
466.900	21417.86	747.8
467.000	21413.28	746
467.100	21408.69	743.3
467.200	21404.11	741.1
467.300	21399.53	738.8
467.400	21394.95	736
467.500	21390.37	733.5
467.600	21385.80	731.5
467.700	21381.23	729.1
467.800	21376.66	726.6
467.900	21372.09	724.4
468.000	21367.52	721.9
468.100	21362.96	719.7
468.200	21358.39	717.3
468.300	21353.83	715.6
468.400	21349.27	712.8
468.500	21344.72	710.2
468.600	21340.16	708.4
468.700	21335.61	705.9
468.800	21331.06	703.3
468.900	21326.51	701.3
469.000	21321.96	699.2
469.100	21317.42	696.8
469.200	21312.87	694.3
469.300	21308.33	691.8
469.400	21303.79	689.8
469.500	21299.25	687.3
469.600	21294.72	685.2
469.700	21290.19	682.7
469.800	21285.65	680.6
469.900	21281.12	678.4
470.000	21276.60	675.8
470.100	21272.07	673.6
470.200	21267.55	671.3
470.300	21263.02	669.3
470.400	21258.50	666.7
470.500	21253.99	664.9
470.600	21249.47	662.7
470.700	21244.95	660.2
470.800	21240.44	657.6
470.900	21235.93	656.4
471.000	21231.42	653.6
471.100	21226.92	651.1
471.200	21222.41	649.1
471.300	21217.91	647
471.400	21213.41	644.3
471.500	21208.91	642.2
471.600	21204.41	640.2
471.700	21199.92	637.5
471.800	21195.42	635.5
471.900	21190.93	633.3
472.000	21186.44	631.2
472.100	21181.95	628.9
472.200	21177.47	627
472.300	21172.98	624.6
472.400	21168.50	622.5
472.500	21164.02	620.3
472.600	21159.54	618.4
472.700	21155.07	616.4
472.800	21150.59	613.8
472.900	21146.12	612.1
473.000	21141.65	609.4
473.100	21137.18	607.2
473.200	21132.71	605.4
473.300	21128.25	603.4
473.400	21123.79	600.9
473.500	21119.32	598.8
473.600	21114.86	596.9
473.700	21110.41	594.8
473.800	21105.95	592.5
473.900	21101.50	590.4
474.000	21097.05	588.3
474.100	21092.60	585.7
474.200	21088.15	584.1
