Wavelength [nm]	Wavenumbers [1/cm]	cis_azobenzene_epsilons
276.300	36192.54	4902
276.400	36179.45	4906
276.500	36166.37	4909
276.600	36153.29	4912
276.700	36140.22	4915
276.800	36127.17	4918
276.900	36114.12	4921
277.000	36101.08	4924
277.100	36088.05	4926
277.200	36075.04	4929
277.300	36062.03	4932
277.400	36049.03	4935
277.500	36036.04	4937
277.600	36023.05	4940
277.700	36010.08	4943
277.800	35997.12	4945
277.900	35984.17	4947
278.000	35971.22	4950
278.100	35958.29	4952
278.200	35945.36	4953
278.300	35932.45	4956
278.400	35919.54	4957
278.500	35906.64	4959
278.600	35893.75	4961
278.700	35880.88	4963
278.800	35868.01	4964
278.900	35855.15	4966
279.000	35842.29	4967
279.100	35829.45	4968
279.200	35816.62	4969
279.300	35803.80	4970
279.400	35790.98	4970
279.500	35778.18	4972
279.600	35765.38	4973
279.700	35752.59	4975
279.800	35739.81	4975
279.900	35727.05	4976
280.000	35714.29	4976
280.100	35701.54	4978
280.200	35688.79	4978
280.300	35676.06	4977
280.400	35663.34	4977
280.500	35650.62	4978
280.600	35637.92	4978
280.700	35625.22	4979
280.800	35612.54	4978
280.900	35599.86	4977
281.000	35587.19	4977
281.100	35574.53	4978
281.200	35561.88	4977
281.300	35549.24	4977
281.400	35536.60	4976
281.500	35523.98	4975
281.600	35511.36	4975
281.700	35498.76	4974
281.800	35486.16	4972
281.900	35473.57	4973
282.000	35460.99	4971
282.100	35448.42	4970
282.200	35435.86	4968
282.300	35423.31	4967
282.400	35410.76	4966
282.500	35398.23	4965
282.600	35385.70	4963
282.700	35373.19	4962
282.800	35360.68	4960
282.900	35348.18	4958
283.000	35335.69	4956
283.100	35323.21	4955
283.200	35310.73	4953
283.300	35298.27	4950
283.400	35285.82	4949
283.500	35273.37	4946
283.600	35260.93	4944
283.700	35248.50	4942
283.800	35236.08	4939
283.900	35223.67	4936
284.000	35211.27	4934
284.100	35198.87	4930
284.200	35186.49	4929
284.300	35174.11	4926
284.400	35161.74	4922
284.500	35149.38	4919
284.600	35137.03	4917
284.700	35124.69	4913
284.800	35112.36	4910
284.900	35100.04	4907
285.000	35087.72	4904
285.100	35075.41	4900
285.200	35063.11	4896
285.300	35050.82	4892
285.400	35038.54	4889
285.500	35026.27	4885
285.600	35014.01	4881
285.700	35001.75	4877
285.800	34989.50	4873
285.900	34977.26	4869
286.000	34965.03	4866
286.100	34952.81	4861
286.200	34940.60	4857
286.300	34928.40	4852
286.400	34916.20	4848
286.500	34904.01	4843
286.600	34891.84	4838
286.700	34879.67	4834
286.800	34867.50	4830
286.900	34855.35	4826
287.000	34843.21	4820
287.100	34831.07	4814
287.200	34818.94	4810
287.300	34806.82	4804
287.400	34794.71	4801
287.500	34782.61	4794
287.600	34770.51	4789
287.700	34758.43	4784
287.800	34746.35	4777
287.900	34734.28	4772
288.000	34722.22	4766
288.100	34710.17	4761
288.200	34698.13	4755
288.300	34686.09	4749
288.400	34674.06	4743
288.500	34662.05	4737
288.600	34650.03	4730
288.700	34638.03	4725
288.800	34626.04	4718
288.900	34614.05	4713
289.000	34602.08	4706
289.100	34590.11	4699
289.200	34578.15	4693
289.300	34566.19	4686
289.400	34554.25	4679
289.500	34542.31	4673
289.600	34530.39	4666
289.700	34518.47	4659
289.800	34506.56	4653
289.900	34494.65	4644
290.000	34482.76	4638
290.100	34470.87	4631
290.200	34458.99	4624
290.300	34447.12	4617
290.400	34435.26	4609
290.500	34423.41	4602
290.600	34411.56	4595
290.700	34399.72	4587
290.800	34387.90	4580
290.900	34376.07	4571
291.000	34364.26	4564
291.100	34352.46	4555
291.200	34340.66	4548
291.300	34328.87	4540
291.400	34317.09	4532
291.500	34305.32	4524
291.600	34293.55	4516
291.700	34281.80	4508
291.800	34270.05	4500
291.900	34258.31	4490
292.000	34246.58	4483
292.100	34234.85	4473
292.200	34223.13	4465
292.300	34211.43	4456
292.400	34199.73	4448
292.500	34188.03	4438
292.600	34176.35	4431
292.700	34164.67	4421
292.800	34153.01	4413
292.900	34141.35	4404
293.000	34129.69	4394
293.100	34118.05	4386
293.200	34106.41	4377
293.300	34094.78	4367
293.400	34083.16	4357
293.500	34071.55	4348
293.600	34059.95	4338
293.700	34048.35	4330
293.800	34036.76	4320
293.900	34025.18	4309
294.000	34013.61	4300
294.100	34002.04	4290
294.200	33990.48	4280
294.300	33978.93	4271
294.400	33967.39	4262
294.500	33955.86	4252
294.600	33944.33	4242
294.700	33932.81	4231
294.800	33921.30	4222
294.900	33909.80	4211
295.000	33898.31	4202
295.100	33886.82	4191
295.200	33875.34	4180
295.300	33863.87	4169
295.400	33852.40	4160
295.500	33840.95	4150
295.600	33829.50	4138
295.700	33818.06	4129
295.800	33806.63	4117
295.900	33795.20	4108
296.000	33783.78	4096
296.100	33772.37	4086
296.200	33760.97	4075
296.300	33749.58	4065
296.400	33738.19	4053
296.500	33726.81	4042
296.600	33715.44	4032
296.700	33704.08	4021
296.800	33692.72	4009
296.900	33681.37	3998
297.000	33670.03	3986
297.100	33658.70	3976
297.200	33647.38	3965
297.300	33636.06	3955
297.400	33624.75	3943
297.500	33613.45	3931
297.600	33602.15	3920
297.700	33590.86	3908
297.800	33579.58	3896
297.900	33568.31	3884
298.000	33557.05	3873
298.100	33545.79	3862
298.200	33534.54	3850
298.300	33523.30	3839
298.400	33512.06	3826
298.500	33500.84	3816
298.600	33489.62	3803
298.700	33478.41	3792
298.800	33467.20	3779
298.900	33456.01	3768
299.000	33444.82	3756
299.100	33433.63	3744
