Wavelength [nm]	Wavenumbers [1/cm]	365nm_0002_30us_baselined
483.894	20665.68	-8.025
484.471	20641.08	-18.12
485.048	20616.54	-11.01
485.624	20592.05	5.382
486.201	20567.63	15.88
486.778	20543.26	-17.39
487.354	20518.95	8.071
487.931	20494.70	-1.823
488.508	20470.50	-4.922
489.085	20446.36	-21.42
489.661	20422.28	-12.91
490.238	20398.26	13.67
490.815	20374.29	2.038
491.391	20350.38	-33.32
491.968	20326.52	-35.02
492.545	20302.72	12.36
493.121	20278.98	-12.81
493.698	20255.29	-1.227
494.275	20231.66	-14.92
494.852	20208.08	-16.21
495.428	20184.55	-5.525
496.005	20161.09	-9.322
496.582	20137.67	0.3727
497.158	20114.31	-12.92
497.735	20091.01	-15.72
498.312	20067.75	2.973
498.889	20044.56	1.069
499.465	20021.41	-7.223
500.042	19998.32	-7.123
500.619	19975.28	-26.01
501.195	19952.30	-23.43
501.772	19929.37	-27.52
502.349	19906.49	-16.83
502.926	19883.66	-7.025
503.502	19860.89	-9.921
504.079	19838.16	-5.723
504.656	19815.49	-20.74
505.232	19792.87	-39.52
505.809	19770.31	-41.72
506.386	19747.79	-30.63
506.962	19725.33	-10.22
507.539	19702.91	-7.322
508.116	19680.55	-6.023
508.693	19658.24	-1.438
509.269	19635.98	-16.22
509.846	19613.76	-18.32
510.423	19591.60	-2.63
510.999	19569.49	4.26
511.576	19547.43	-17.42
512.153	19525.42	-20.82
512.730	19503.46	-23.22
513.306	19481.55	-23.12
513.883	19459.68	-18.62
514.460	19437.87	-22.72
515.036	19416.10	-1.529
515.613	19394.39	-10.42
516.190	19372.72	-4.525
516.767	19351.10	2.97
517.343	19329.53	-4.827
517.920	19308.00	-15.42
518.497	19286.53	-18.6
519.073	19265.10	5.573
519.650	19243.72	-1.523
520.227	19222.39	-2.023
520.803	19201.10	-5.399
521.380	19179.86	22.86
521.957	19158.67	-13.62
522.534	19137.52	-3.237
523.110	19116.43	-16.22
523.687	19095.37	-14.72
524.264	19074.37	-1.529
524.840	19053.41	21.86
525.417	19032.50	5.272
525.994	19011.63	-13.92
526.571	18990.81	-19.63
527.147	18970.03	-23.61
527.724	18949.30	-3.623
528.301	18928.61	9.67
528.877	18907.97	9.865
529.454	18887.38	-6.723
530.031	18866.83	-6.723
530.608	18846.32	4.667
531.184	18825.86	-6.617
531.761	18805.44	6.676
532.338	18785.07	-9.513
532.914	18764.74	-1.917
533.491	18744.46	7.678
534.068	18724.21	10.48
534.645	18704.02	20.66
535.221	18683.86	0.5787
535.798	18663.75	4.577
536.375	18643.69	17.25
536.951	18623.66	-6.921
537.528	18603.68	-3.421
538.105	18583.74	13.97
538.681	18563.85	19.88
539.258	18543.99	28.88
539.835	18524.18	37.18
540.412	18504.41	14.87
540.988	18484.69	5.388
541.565	18465.00	26.88
542.142	18445.36	22.78
542.718	18425.76	16.18
543.295	18406.20	20.98
543.872	18386.68	16.88
544.449	18367.21	16.08
545.025	18347.77	21.57
545.602	18328.38	7.978
546.179	18309.03	19.47
546.755	18289.71	28.37
547.332	18270.44	21.68
547.909	18251.21	13.98
548.486	18232.02	12.28
549.062	18212.87	11.98
549.639	18193.76	13.58
550.216	18174.69	15.3
550.792	18155.66	37.27
551.369	18136.67	21.68
551.946	18117.72	22.68
552.522	18098.81	37.45
553.099	18079.94	8.68
553.676	18061.11	16.88
554.253	18042.32	43.36
554.829	18023.56	28.67
555.406	18004.85	19.48
555.983	17986.17	25.17
556.559	17967.53	45.47
557.136	17948.93	29.58
557.713	17930.37	37.18
558.290	17911.85	24.09
558.866	17893.37	38.38
559.443	17874.92	42.08
560.020	17856.52	61.17
560.596	17838.15	34.26
561.173	17819.81	16.08
561.750	17801.52	43.27
562.327	17783.26	8.8
562.903	17765.04	33.87
563.480	17746.86	16.78
564.057	17728.72	22.97
564.633	17710.61	19.17
