Wavelength [nm]	Wavenumbers [1/cm]	from clipboard (1)
175.355	57027.17	1090
175.932	56840.24	-46.42
176.508	56654.52	-108.3
177.085	56470.02	1223
177.662	56286.71	-894.8
178.239	56104.59	578.1
178.815	55923.64	1402
179.392	55743.86	1025
179.969	55565.23	599.4
180.545	55387.74	-218.3
181.122	55211.38	394.9
181.699	55036.14	561.5
182.276	54862.01	-273.7
182.852	54688.97	-104.6
183.429	54517.03	-223.8
184.006	54346.16	-875.4
184.582	54176.36	1.957E4
185.159	54007.62	6.599E4
185.736	53839.93	6.599E4
186.312	53673.27	6.599E4
186.889	53507.65	6.599E4
187.466	53343.04	6.599E4
188.043	53179.44	6.599E4
188.619	53016.84	6.599E4
189.196	52855.24	6.599E4
189.773	52694.61	6.594E4
190.349	52534.96	2.344E4
190.926	52376.28	5.72E4
191.503	52218.54	6.599E4
192.080	52061.76	6.599E4
192.656	51905.92	6.599E4
193.233	51751.00	6.599E4
193.810	51597.01	6.599E4
194.386	51443.93	6.599E4
194.963	51291.76	6.599E4
195.540	51140.48	6.599E4
196.117	50990.10	6.599E4
196.693	50840.59	6.599E4
197.270	50691.96	6.599E4
197.847	50544.20	6.598E4
198.423	50397.29	5.609E4
199.000	50251.24	3.095E4
199.577	50106.03	4.455E4
200.153	49961.66	6.599E4
200.730	49818.12	6.599E4
201.307	49675.40	6.599E4
201.884	49533.49	6.599E4
202.460	49392.40	6.599E4
203.037	49252.10	6.599E4
203.614	49112.60	6.599E4
204.190	48973.89	6.599E4
204.767	48835.96	6.599E4
205.344	48698.80	6.599E4
205.921	48562.41	6.599E4
206.497	48426.79	6.599E4
207.074	48291.92	6.599E4
207.651	48157.80	6.599E4
208.227	48024.42	6.599E4
208.804	47891.78	6.599E4
209.381	47759.87	6.599E4
209.958	47628.68	6.598E4
210.534	47498.21	5.69E4
211.111	47368.46	4.981E4
211.688	47239.41	5.942E4
212.264	47111.06	4.035E4
212.841	46983.41	3.226E4
213.418	46856.45	3.678E4
213.994	46730.17	3.847E4
214.571	46604.58	6.599E4
215.148	46479.65	6.473E4
215.725	46355.40	3.588E4
216.301	46231.80	6.468E4
216.878	46108.86	3.407E4
217.455	45986.58	6.157E4
218.031	45864.94	3.867E4
218.608	45743.95	3.081E4
219.185	45623.59	3.141E4
219.762	45503.86	3.016E4
220.338	45384.76	2.854E4
220.915	45266.28	2.818E4
221.492	45148.42	2.749E4
222.068	45031.17	2.687E4
222.645	44914.52	2.684E4
223.222	44798.48	2.688E4
223.799	44683.04	2.686E4
224.375	44568.19	2.662E4
224.952	44453.94	2.637E4
