Spectrum,Fraction_Reactant,Fraction_Product
1,0.9640313871902905,0.03596861280970946
2,0.9403754646276316,0.05962453537236843
3,0.9210106491462827,0.07898935085371735
4,0.9046870551425537,0.09531294485744637
5,0.8899436284582747,0.11005637154172535
6,0.8767047489794528,0.12329525102054717
7,0.8652237550718358,0.13477624492816423
8,0.8548098198211683,0.1451901801788317
9,0.8460545224160715,0.15394547758392857
10,0.8378590235593559,0.16214097644064412
11,0.8310621979805173,0.16893780201948272
12,0.8249409905968811,0.17505900940311894
13,0.8193199498927111,0.1806800501072889
14,0.8148787067430391,0.18512129325696097
15,0.8102618153855391,0.18973818461446096
16,0.8067462648249558,0.19325373517504416
17,0.8026029971400994,0.19739700285990058
18,0.7997660774454648,0.2002339225545352
19,0.796770263010328,0.2032297369896719
20,0.7945081182183514,0.20549188178164868
21,0.7922219003931509,0.20777809960684904
22,0.7899132138272543,0.21008678617274576
23,0.78860342444376,0.21139657555624006
24,0.7866717352477712,0.21332826475222877
25,0.7854697977036745,0.2145302022963255
26,0.784463780472937,0.2155362195270631
27,0.7831355549093116,0.2168644450906883
28,0.7821609712384082,0.21783902876159186
29,0.7816210177103046,0.21837898228969546
30,0.7805826869064103,0.21941731309358964
31,0.7802728854467803,0.21972711455321975
32,0.7794910421880548,0.2205089578119453
33,0.779070842690851,0.22092915730914892
34,0.7787915819138337,0.2212084180861663
35,0.7780477811692605,0.2219522188307395
36,0.7776922350049805,0.22230776499501945
37,0.777404537707011,0.22259546229298902
38,0.7769571326926545,0.22304286730734535
39,0.7768541418287607,0.22314585817123928
40,0.7769635837789838,0.22303641622101622
