Wavelength [nm]	Wavenumbers [1/cm]	Intensity
292.098	34235.04	-11.44
292.671	34168.01	9.818
293.245	34101.24	1.73
293.818	34034.72	2.787
294.391	33968.47	-33.33
294.964	33902.47	5.918
295.537	33836.73	-6.745
296.110	33771.25	-11.04
296.683	33706.01	-7.63
297.256	33641.03	5.212
297.829	33576.30	3.105
298.402	33511.82	7.297
298.975	33447.58	-14.75
299.548	33383.59	-11.63
300.121	33319.85	8.703
300.694	33256.35	28.61
301.268	33193.09	10.32
301.841	33130.06	-11.3
302.414	33067.28	-4.186
302.987	33004.74	5.112
303.560	32942.43	4.884
304.133	32880.36	5.863
304.706	32818.52	7.045
305.279	32756.91	10.31
305.852	32695.53	11.25
306.425	32634.39	6.891
306.998	32573.47	23.85
307.571	32512.78	26.73
308.144	32452.31	24.15
308.718	32392.07	28.49
309.291	32332.05	36.14
309.864	32272.25	10.63
310.437	32212.68	69.88
311.010	32153.32	38.35
311.583	32094.18	41.79
312.156	32035.26	37.93
312.729	31976.56	56.63
313.302	31918.07	45.75
313.875	31859.79	48.7
314.448	31801.73	43.38
315.021	31743.88	68.67
315.594	31686.23	57.08
316.168	31628.80	75.46
316.741	31571.58	77.81
317.314	31514.56	62.93
317.887	31457.74	65.3
318.460	31401.13	79.71
319.033	31344.73	87.72
319.606	31288.53	97.71
320.179	31232.52	115.1
320.752	31176.72	127.3
321.325	31121.12	143.1
321.898	31065.71	121.4
322.471	31010.51	143.4
323.044	30955.49	201
323.618	30900.68	209.4
324.191	30846.05	211.3
324.764	30791.62	235.2
325.337	30737.38	229.2
325.910	30683.33	270.9
326.483	30629.48	309.3
327.056	30575.81	366.8
327.629	30522.32	438.5
328.202	30469.03	566.3
328.775	30415.92	719.3
329.348	30363.00	948.7
329.921	30310.25	1265
330.494	30257.70	1681
331.067	30205.32	2206
331.641	30153.13	2850
332.214	30101.11	3694
332.787	30049.28	4831
333.360	29997.62	6235
333.933	29946.14	7824
334.506	29894.83	9572
335.079	29843.71	1.153E4
335.652	29792.75	1.396E4
336.225	29741.97	1.7E4
336.798	29691.37	2.044E4
337.371	29640.93	2.388E4
337.944	29590.67	2.678E4
338.517	29540.57	2.938E4
339.091	29490.65	3.222E4
339.664	29440.89	3.548E4
340.237	29391.30	3.9E4
340.810	29341.88	4.132E4
341.383	29292.62	4.211E4
341.956	29243.53	4.108E4
342.529	29194.61	3.895E4
343.102	29145.84	3.632E4
343.675	29097.24	3.37E4
344.248	29048.81	3.041E4
344.821	29000.53	2.664E4
345.394	28952.41	2.254E4
345.967	28904.45	1.868E4
346.541	28856.65	1.536E4
347.114	28809.01	1.276E4
347.687	28761.53	1.083E4
348.260	28714.20	9394
348.833	28667.03	8222
349.406	28620.01	7123
349.979	28573.14	6098
350.552	28526.43	5174
351.125	28479.87	4406
351.698	28433.47	3802
352.271	28387.21	3263
352.844	28341.11	2791
353.417	28295.15	2400
353.991	28249.34	2027
354.564	28203.68	1695
355.137	28158.17	1430
355.710	28112.81	1219
356.283	28067.59	1088
356.856	28022.52	956.2
357.429	27977.59	846.5
358.002	27932.80	775.8
358.575	27888.16	706.3
359.148	27843.66	663.9
359.721	27799.30	608.3
360.294	27755.08	562.5
360.867	27711.01	565.3
361.441	27667.07	531
362.014	27623.27	465.6
362.587	27579.61	436.5
363.160	27536.09	415
363.733	27492.71	402
364.306	27449.46	382.4
364.879	27406.35	388.7
365.452	27363.37	385.8
366.025	27320.53	367.5
366.598	27277.82	330.9
367.171	27235.25	311.1
367.744	27192.80	300.3
368.317	27150.49	275.9
368.890	27108.32	267.6
369.464	27066.27	267.7
370.037	27024.35	247.9
370.610	26982.56	240.7
371.183	26940.90	237.8
371.756	26899.37	213
372.329	26857.97	211.8
372.902	26816.70	176.5
373.475	26775.55	191.2
374.048	26734.52	189
374.621	26693.63	176.5
375.194	26652.86	159.6
375.767	26612.21	149.4
376.340	26571.68	150.1
376.914	26531.28	135.8
377.487	26491.00	128.7
378.060	26450.85	136.4
378.633	26410.81	104.1
379.206	26370.90	110.7
379.779	26331.11	108.2
380.352	26291.44	107.3
380.925	26251.88	94.46
381.498	26212.45	93.19
382.071	26173.13	77.43
382.644	26133.93	84.36
383.217	26094.85	85.19
383.790	26055.89	85.93
384.364	26017.04	75.21
384.937	25978.30	57.78
385.510	25939.69	51.43
386.083	25901.18	44.64
386.656	25862.79	42.39
387.229	25824.52	52.73
387.802	25786.36	59.96
388.375	25748.31	56.8
388.948	25710.37	44.69
389.521	25672.54	35.63
390.094	25634.83	37.96
390.667	25597.22	41.01
391.240	25559.73	46.31
391.814	25522.35	49.2
392.387	25485.07	55.1
392.960	25447.90	40.66
393.533	25410.85	38.38
394.106	25373.90	16.72
394.679	25337.05	8.313
395.252	25300.32	62.11
395.825	25263.69	25.73
396.398	25227.16	13.92
396.971	25190.74	30.19
397.544	25154.43	21.36
398.117	25118.22	2.912
398.690	25082.12	33.87
399.263	25046.12	25.46
399.837	25010.22	22.58
400.410	24974.42	39.87
400.983	24938.73	10.77
401.556	24903.14	5.346
402.129	24867.65	-5.741
402.702	24832.26	-6.653
403.275	24796.97	5.153
