Wavelength [nm],Intensity,
356.856,1174.8855,
357.429,1065.0963,
358.002,994.43143,
358.575,924.91291,
359.148,882.56342,
359.721,826.98907,
360.294,781.13185,
360.867,783.89829,
361.441,749.64042,
362.014,684.19556,
362.587,655.10374,
363.160,633.6687,
363.733,620.64117,
364.306,601.06089,
364.879,607.29807,
365.452,604.46375,
366.025,586.11888,
366.598,549.57025,
367.171,529.74532,
367.744,518.96494,
368.317,494.49191,
368.890,486.21245,
369.464,486.32946,
370.037,466.51991,
370.610,459.29484,
371.183,456.4486,
371.756,431.59954,
372.329,430.40231,
372.902,395.0955,
373.475,409.80268,
374.048,407.65157,
374.621,395.13252,
375.194,378.20091,
375.767,368.05397,
376.340,368.70212,
376.914,354.44642,
377.487,347.31365,
378.060,354.99421,
378.633,322.73283,
379.206,329.29857,
379.779,326.83736,
380.352,325.89127,
380.925,313.09934,
381.498,311.82616,
382.071,296.07051,
382.644,302.99935,
383.217,303.83596,
383.790,304.57022,
384.364,293.84885,
384.937,276.41823,
385.510,270.07377,
386.083,263.28049,
386.656,261.03289,
387.229,271.37409,
387.802,278.59709,
388.375,275.43942,
388.948,263.32674,
389.521,254.26793,
390.094,256.60048,
390.667,259.64706,
391.240,264.95592,
391.814,267.83757,
392.387,273.74253,
392.960,259.29819,
393.533,257.02067,
394.106,235.36529,
394.679,226.95409,
395.252,280.75029,
395.825,244.37108,
396.398,232.56482,
396.971,248.83347,
397.544,240.00146,
398.117,221.55302,
398.690,252.51336,
399.263,244.09863,
399.837,241.22138,
400.410,258.5065,
400.983,229.40683,
401.556,223.9873,
402.129,212.89959,
402.702,211.98762,
403.275,223.79411,
403.848,216.47951,
404.421,203.87678,
404.994,206.07558,
405.567,222.29445,
406.140,232.68581,
406.713,226.30359,
407.287,221.72144,
407.860,231.1617,
408.433,235.38974,
409.006,218.76649,
409.579,215.7497,
410.152,228.83407,
410.725,232.66369,
411.298,228.8663,
411.871,222.43871,
412.444,227.38378,
413.017,213.62341,
413.590,204.01959,
414.163,230.16505,
414.737,229.08823,
415.310,220.09837,
415.883,220.73708,
416.456,218.93163,
417.029,224.74203,
417.602,214.79496,
418.175,238.08177,
418.748,229.58727,
419.321,206.15508,
419.894,220.85034,
420.467,212.66395,
421.040,219.97111,
421.613,216.75276,
422.187,221.70534,
422.760,228.13273,
423.333,216.87002,
423.906,211.15247,
424.479,223.24961,
425.052,217.82896,
425.625,213.32381,
426.198,227.59804,
426.771,222.3124,
427.344,210.56974,
427.917,215.56636,
428.490,211.42273,
429.063,216.08022,
429.637,230.96598,
430.210,222.90655,
430.783,234.66324,
431.356,245.09172,
431.929,238.54657,
432.502,235.09521,
433.075,216.82324,
433.648,220.0948,
434.221,232.74551,
434.794,239.39968,
435.367,228.9273,
435.940,239.48528,
436.513,212.22213,
437.086,204.07393,
437.660,225.73646,
438.233,243.4276,
438.806,234.37885,
439.379,218.72804,
439.952,218.24496,
440.525,240.79471,
441.098,223.72955,
441.671,209.54021,
442.244,215.733,
442.817,217.42202,
443.390,215.8938,
443.963,209.99663,
444.536,216.20266,
445.110,237.63054,
445.683,250.25478,
446.256,229.01311,
446.829,218.2212,
447.402,220.19851,
447.975,219.42389,
448.548,226.42524,
449.121,223.79219,
449.694,225.91377,
450.267,231.09009,
450.840,215.99587,
451.413,221.46651,
451.986,221.98023,
452.560,210.90501,
453.133,224.65622,
453.706,230.90752,
454.279,234.98388,
454.852,233.31514,
455.425,230.32096,
455.998,233.97716,
456.571,243.43323,
457.144,240.21134,
457.717,221.55774,
458.290,252.61002,
458.863,238.9681,
459.436,246.62071,
460.010,220.57169,
460.583,227.70267,
461.156,237.61904,
461.729,232.67486,
462.302,229.38385,
462.875,238.60884,
463.448,243.65948,
464.021,237.38949,
464.594,227.97769,
465.167,233.03703,
465.740,217.82482,
466.313,222.52861,
466.886,235.70146,
467.459,226.15147,
468.033,228.02372,
468.606,232.13856,
469.179,230.59602,
469.752,217.80427,
470.325,230.32789,
470.898,238.33794,
471.471,235.97864,
472.044,237.55328,
472.617,248.26444,
473.190,260.24196,
473.763,257.15668,
474.336,235.29297,
474.909,214.67126,
475.483,232.94698,
476.056,248.52917,
476.629,237.88761,
477.202,243.39331,
477.775,243.51743,
478.348,230.2701,
478.921,226.42694,
479.494,230.75202,
480.067,233.63014,
480.640,234.68424,
481.213,218.01223,
481.786,241.87152,
482.359,255.83823,
482.933,233.69219,
483.506,227.81613,
484.079,245.15166,
484.652,250.09821,
485.225,253.43992,
485.798,232.2427,
486.371,245.19693,
486.944,229.37358,
487.517,219.62061,
488.090,225.36485,
488.663,227.68759,
489.236,266.34442,
489.809,231.63173,
490.383,232.72228,
490.956,231.27791,
491.529,239.09199,
492.102,236.69702,
492.675,247.39828,
493.248,240.63927,
493.821,236.99523,
494.394,243.46028,
494.967,245.69496,
495.540,248.84355,
496.113,245.61153,
496.686,237.11271,
497.259,239.72869,
497.833,250.36241,
498.406,238.72965,
498.979,232.16489,
499.552,232.67123,
500.125,232.16637,
500.698,238.20799,
501.271,232.80837,
501.844,233.08993,
502.417,236.52029,
502.990,227.78243,
503.563,235.33498,
504.136,245.58447,
504.709,241.75355,
505.282,238.80429,
505.856,233.96835,
506.429,232.36269,
507.002,227.85244,
507.575,233.59205,
508.148,234.70215,
508.721,223.23219,
509.294,235.8483,
509.867,232.38339,
510.440,224.08324,
511.013,247.3767,
511.586,234.79162,
512.159,226.66563,
512.732,247.26714,
513.306,238.96671,
513.879,234.67902,
514.452,225.53419,
515.025,229.67114,
515.598,214.48082,
516.171,232.7601,
516.744,217.93655,
517.317,225.81006,
517.890,222.79259,
518.463,201.80768,
519.036,239.85042,
519.609,227.47886,
520.182,226.76429,
520.756,234.21763,
521.329,240.97001,
521.902,239.21405,
522.475,238.45888,
523.048,235.60314,
523.621,227.49963,
524.194,228.87137,
524.767,218.01571,
525.340,226.98329,
525.913,225.84958,
526.486,245.45692,
527.059,233.15167,
527.632,225.66272,
528.206,239.21202,
528.779,225.80774,
529.352,234.49552,
529.925,254.03406,
