Wavelength [nm]	Wavenumbers [1/cm]	LED340nm_normalisedarea
789.528	12665.80	207
790.101	12656.61	196.9
790.674	12647.43	213.6
791.247	12638.27	193.1
791.820	12629.13	243.1
792.393	12619.99	215.1
792.966	12610.87	217.1
793.540	12601.77	205.6
794.113	12592.67	215.3
794.686	12583.59	215.4
795.259	12574.52	201.3
795.832	12565.47	220.6
796.405	12556.43	218.3
796.978	12547.40	218.5
797.551	12538.38	209.9
798.124	12529.38	215.5
798.697	12520.39	224.5
799.270	12511.41	211.9
799.843	12502.45	196.5
800.416	12493.50	221.5
800.990	12484.56	215.7
801.563	12475.63	219.7
802.136	12466.72	225.7
802.709	12457.82	229.3
803.282	12448.93	230.5
803.855	12440.06	236
804.428	12431.19	221.4
805.001	12422.34	227
805.574	12413.51	239.1
806.147	12404.68	223.1
806.720	12395.87	212.9
807.293	12387.07	231.4
807.866	12378.28	226.1
808.440	12369.51	230.3
809.013	12360.75	233.4
809.586	12352.00	229.3
810.159	12343.26	223
810.732	12334.54	216.2
811.305	12325.82	230.4
811.878	12317.12	235.9
812.451	12308.43	232.1
813.024	12299.76	229.7
813.597	12291.09	231.3
814.170	12282.44	236.6
814.743	12273.80	229.7
815.316	12265.18	229.7
815.889	12256.56	240.6
816.463	12247.96	235.3
817.036	12239.37	228.7
817.609	12230.79	231
818.182	12222.22	232.2
818.755	12213.67	213.8
819.328	12205.13	226.9
819.901	12196.59	251.3
820.474	12188.08	237.7
821.047	12179.57	230.1
821.620	12171.07	244.5
822.193	12162.59	228.8
822.766	12154.12	242
823.339	12145.66	244.1
823.913	12137.21	236.4
824.486	12128.77	227.2
825.059	12120.35	235.5
825.632	12111.94	256.7
826.205	12103.54	209
826.778	12095.15	243.8
827.351	12086.77	237.5
827.924	12078.40	235.7
828.497	12070.05	240.3
829.070	12061.70	211.3
829.643	12053.37	237.4
830.216	12045.05	229.8
830.789	12036.74	229.7
831.363	12028.45	223.4
831.936	12020.16	205
832.509	12011.89	245.5
833.082	12003.62	233.6
833.655	11995.37	223
834.228	11987.13	219.6
834.801	11978.90	223.8
835.374	11970.69	219.9
835.947	11962.48	209.2
836.520	11954.28	215.9
837.093	11946.10	222
837.666	11937.93	237.1
838.239	11929.77	237.2
838.813	11921.62	230
839.386	11913.48	214.1
839.959	11905.35	217.7
840.532	11897.23	226.4
841.105	11889.12	207.7
841.678	11881.03	196.7
842.251	11872.95	212
842.824	11864.87	212.7
843.397	11856.81	204.4
843.970	11848.76	221.5
844.543	11840.72	229.9
845.116	11832.69	225.5
845.689	11824.67	205.2
846.262	11816.66	193.6
846.836	11808.67	212.1
847.409	11800.68	218.8
847.982	11792.71	199.8
848.555	11784.74	196.6
849.128	11776.79	226.5
849.701	11768.85	231.1
850.274	11760.91	207.4
850.847	11752.99	213.1
851.420	11745.08	240.9
851.993	11737.18	229.8
852.566	11729.29	236
853.139	11721.41	212
853.712	11713.55	225.6
854.286	11705.69	230.4
854.859	11697.84	199.6
855.432	11690.00	229.9
856.005	11682.18	231.6
856.578	11674.36	233.5
857.151	11666.56	214.3
857.724	11658.76	222.2
858.297	11650.98	219.4
858.870	11643.20	235.6
859.443	11635.44	219.1
860.016	11627.69	225
860.589	11619.94	218.7
861.162	11612.21	225.8
861.736	11604.49	222.6
862.309	11596.78	231.6
862.882	11589.07	230
863.455	11581.38	231.7
864.028	11573.70	230.1
864.601	11566.03	220.4
865.174	11558.37	223.9
865.747	11550.72	231.3
866.320	11543.08	236.5
866.893	11535.45	237.8
867.466	11527.83	229.7
868.039	11520.21	215.6
868.612	11512.61	214
869.186	11505.02	232
869.759	11497.44	217.2
870.332	11489.87	223.1
870.905	11482.31	223.8
871.478	11474.76	214.9
872.051	11467.22	241.9
872.624	11459.69	223.8
873.197	11452.17	212.9
873.770	11444.66	230
874.343	11437.16	208.9
874.916	11429.67	227
875.489	11422.18	211
876.062	11414.71	213
876.636	11407.25	240.4
877.209	11399.80	218.3
877.782	11392.35	231
878.355	11384.92	229.7
878.928	11377.50	233.6
879.501	11370.09	218.5
880.074	11362.68	229.1
880.647	11355.29	229.4
881.220	11347.90	225.9
881.793	11340.53	215.7
882.366	11333.16	223.7
882.939	11325.81	214.4
883.512	11318.46	234.2
884.085	11311.12	235.7
884.659	11303.80	220.9
885.232	11296.48	225.6
885.805	11289.17	226.7
886.378	11281.87	211
886.951	11274.58	223.3
887.524	11267.30	221.4
888.097	11260.03	211.4
888.670	11252.77	219.7
889.243	11245.52	223
889.816	11238.28	209
890.389	11231.04	227.9
890.962	11223.82	225.9
891.535	11216.60	231
892.109	11209.40	208.7
892.682	11202.20	219.5
893.255	11195.02	224.4
893.828	11187.84	219.2
894.401	11180.67	210
894.974	11173.51	235.6
895.547	11166.36	217.2
896.120	11159.22	218.2
896.693	11152.09	223
897.266	11144.96	231.6
897.839	11137.85	212.3
898.412	11130.75	229.2
898.985	11123.65	218.4
899.559	11116.56	231.9
900.132	11109.49	224.2
900.705	11102.42	211.7
901.278	11095.36	202.9
901.851	11088.31	219.9
902.424	11081.27	233.7
902.997	11074.23	225.4
903.570	11067.21	215.7
904.143	11060.20	217.3
904.716	11053.19	221
905.289	11046.19	223.2
905.862	11039.20	209.2
906.435	11032.23	213.8
907.009	11025.25	209.3
907.582	11018.29	202.8
908.155	11011.34	203.3
908.728	11004.40	206.9
909.301	10997.46	225
909.874	10990.53	235.9
910.447	10983.62	224.4
911.020	10976.71	224.1
911.593	10969.81	241.1
912.166	10962.91	211
912.739	10956.03	227.3
913.312	10949.16	226.5
913.885	10942.29	219.4
914.458	10935.43	209.1
915.032	10928.58	238.1
915.605	10921.74	216.9
916.178	10914.91	209.3
916.751	10908.09	213.3
917.324	10901.28	221
917.897	10894.47	237.6
918.470	10887.67	214.2
919.043	10880.88	221.2
919.616	10874.10	221.6
920.189	10867.33	231.4
920.762	10860.57	242.2
921.335	10853.81	246.5
921.908	10847.06	235.1
922.482	10840.33	223.7
923.055	10833.59	238.4
923.628	10826.87	224.9
924.201	10820.16	231.7
924.774	10813.45	242.5
925.347	10806.76	236.7
925.920	10800.07	195.9
926.493	10793.39	213
927.066	10786.72	222.1
927.639	10780.05	233.1
928.212	10773.40	223
928.785	10766.75	243
929.358	10760.11	231.4
929.932	10753.48	221.3
930.505	10746.86	243.7
931.078	10740.24	217.5
931.651	10733.64	214.3
932.224	10727.04	234.8
932.797	10720.45	219.6
933.370	10713.86	206.2
933.943	10707.29	230.7
934.516	10700.72	230.6
935.089	10694.17	216.6
935.662	10687.62	218.4
936.235	10681.07	217.3
936.808	10674.54	229.7
937.382	10668.01	221.6
937.955	10661.50	223.5
938.528	10654.99	225.6
939.101	10648.48	245.3
939.674	10641.99	238.8
940.247	10635.50	238.9
940.820	10629.03	221.6
941.393	10622.56	227.8
941.966	10616.09	204.2
942.539	10609.64	229.5
943.112	10603.19	216.6
943.685	10596.75	225.9
944.258	10590.32	215.9
944.832	10583.90	255.6
945.405	10577.48	225.1
945.978	10571.07	227.7
946.551	10564.67	226.6
947.124	10558.28	224.7
947.697	10551.90	237.2
948.270	10545.52	220.9
948.843	10539.15	221.9
949.416	10532.79	221.2
949.989	10526.44	218.6
950.562	10520.09	220.4
951.135	10513.75	220.8
951.708	10507.42	209.3
952.281	10501.10	208.8
952.855	10494.78	203.1
953.428	10488.47	216.7
954.001	10482.17	215.7
954.574	10475.88	212.6
955.147	10469.59	222.3
955.720	10463.32	225.1
956.293	10457.05	233.4
956.866	10450.78	218.9
957.439	10444.53	207.5
958.012	10438.28	225.7
958.585	10432.04	245.6
959.158	10425.81	191.9
959.731	10419.58	206.3
960.305	10413.36	249.3
960.878	10407.15	235.7
961.451	10400.95	211.3
962.024	10394.75	209.6
962.597	10388.57	235.9
963.170	10382.38	224.5
963.743	10376.21	221.7
964.316	10370.04	225.9
964.889	10363.88	220.1
965.462	10357.73	230
966.035	10351.59	233.2
966.608	10345.45	228.3
967.181	10339.32	224.7
967.755	10333.20	225.6
968.328	10327.08	231.5
968.901	10320.98	238.7
969.474	10314.87	209.1
970.047	10308.78	216
970.620	10302.69	221.9
971.193	10296.61	211.4
971.766	10290.54	213.6
972.339	10284.48	212.2
972.912	10278.42	230
973.485	10272.37	202.6
974.058	10266.33	229.4
974.631	10260.29	211.7
975.205	10254.26	241.7
975.778	10248.24	230.9
976.351	10242.22	227.2
976.924	10236.21	220.6
977.497	10230.21	230.4
978.070	10224.22	241.1
978.643	10218.23	227.6
979.216	10212.25	223.8
979.789	10206.28	229.6
980.362	10200.31	231.5
980.935	10194.35	232.3
981.508	10188.40	239.9
982.081	10182.46	235
982.654	10176.52	226.7
983.228	10170.59	218.1
983.801	10164.66	232.8
984.374	10158.74	234.4
984.947	10152.83	227.8
985.520	10146.93	216
986.093	10141.03	233.8
986.666	10135.14	224.9
987.239	10129.26	245.8
987.812	10123.38	224.6
988.385	10117.51	248.5
988.958	10111.65	233.7
989.531	10105.79	246.7
990.104	10099.94	239.4
990.678	10094.10	251.2
991.251	10088.27	259.7
991.824	10082.44	249
992.397	10076.61	232.2
992.970	10070.80	216.3
993.543	10064.99	222.8
994.116	10059.19	251.1
994.689	10053.39	253.8
995.262	10047.60	241.6
995.835	10041.82	244.1
996.408	10036.05	256
996.981	10030.28	243.5
997.554	10024.52	252.7
998.128	10018.76	258.9
998.701	10013.01	224.4
999.274	10007.27	251.9
999.847	10001.53	261.1
1000.420	9995.80	236.2
1000.993	9990.08	244.3
1001.566	9984.36	251.3
1002.139	9978.65	260.4
1002.712	9972.95	260.9
1003.285	9967.26	270.7
1003.858	9961.57	263.5
1004.431	9955.88	250
1005.004	9950.20	247.7
1005.578	9944.53	240.5
1006.151	9938.87	246.2
1006.724	9933.21	236.1
1007.297	9927.56	246.2
1007.870	9921.92	241.2
1008.443	9916.28	236.9
1009.016	9910.65	230.7
1009.589	9905.02	237.1
1010.162	9899.40	251.1
1010.735	9893.79	240.7
1011.308	9888.18	259.2
1011.881	9882.58	218.9
1012.454	9876.99	244
1013.028	9871.40	250.1
1013.601	9865.82	228.2
1014.174	9860.24	233.6
1014.747	9854.68	238.7
1015.320	9849.11	254.2
1015.893	9843.56	243.6
1016.466	9838.01	244
1017.039	9832.46	248
1017.612	9826.93	254.2
1018.185	9821.40	233.8
1018.758	9815.87	232.2
1019.331	9810.35	244.9
1019.904	9804.84	244.4
1020.477	9799.33	236.9
1021.051	9793.83	250.3
1021.624	9788.34	260.2
1022.197	9782.85	235.1
1022.770	9777.37	230.9
1023.343	9771.90	237.8
1023.916	9766.43	238.3
1024.489	9760.96	252.3
1025.062	9755.51	234.2
1025.635	9750.06	225
1026.208	9744.61	231.8
1026.781	9739.17	242.2
1027.354	9733.74	245.3
1027.927	9728.31	255.8
1028.501	9722.89	248.1
1029.074	9717.48	235.9
1029.647	9712.07	240.9
1030.220	9706.67	237.6
1030.793	9701.27	253.5
1031.366	9695.88	241.4
1031.939	9690.50	234.6
1032.512	9685.12	269.6
1033.085	9679.74	237.5
1033.658	9674.38	243.6
1034.231	9669.02	239.9
1034.804	9663.66	236
1035.377	9658.31	235.7
1035.951	9652.97	231.3
1036.524	9647.63	234.7
1037.097	9642.30	243.1
1037.670	9636.98	227.1
1038.243	9631.66	243.9
1038.816	9626.34	244
1039.389	9621.04	235.2
1039.962	9615.74	220.7
1040.535	9610.44	216.8
1041.108	9605.15	247.8
1041.681	9599.87	227
1042.254	9594.59	236.9
1042.827	9589.31	222.2
1043.401	9584.05	237.6
1043.974	9578.79	229.3
1044.547	9573.53	218.4
1045.120	9568.28	225.7
1045.693	9563.04	228.9
1046.266	9557.80	231.2
1046.839	9552.57	217.8
1047.412	9547.34	213.8
1047.985	9542.12	223.6
1048.558	9536.91	230.2
1049.131	9531.70	232.3
1049.704	9526.49	237.2
1050.277	9521.29	240.5
1050.850	9516.10	230.5
1051.424	9510.91	236.7
1051.997	9505.73	242.6
1052.570	9500.56	218.4
1053.143	9495.39	220.4
1053.716	9490.22	206.5
1054.289	9485.07	246.3
1054.862	9479.91	222.3
1055.435	9474.77	226.8
1056.008	9469.62	245.9
1056.581	9464.49	243.8
1057.154	9459.36	236.1
1057.727	9454.23	235.1
1058.300	9449.11	229.2
1058.874	9444.00	226.1
1059.447	9438.89	229.8
1060.020	9433.79	240.3
1060.593	9428.69	244.3
1061.166	9423.60	232.1
1061.739	9418.51	235.3
1062.312	9413.43	242.8
1062.885	9408.35	239.2
1063.458	9403.28	225.1
1064.031	9398.22	238.1
1064.604	9393.16	270.6
1065.177	9388.11	236.2
1065.750	9383.06	243.1
1066.324	9378.02	236.4
1066.897	9372.98	235.9
1067.470	9367.95	248.9
1068.043	9362.92	240.4
1068.616	9357.90	237.1
1069.189	9352.88	239.8
1069.762	9347.87	236.7
1070.335	9342.87	227.1
1070.908	9337.87	235.4
1071.481	9332.87	230.3
1072.054	9327.89	225.2
1072.627	9322.90	235.8
1073.200	9317.92	244.8
1073.774	9312.95	261
1074.347	9307.98	252.4
1074.920	9303.02	249.2
1075.493	9298.06	245.1
1076.066	9293.11	243.3
1076.639	9288.17	257.4
1077.212	9283.22	246.7
1077.785	9278.29	243.7
1078.358	9273.36	250.3
1078.931	9268.43	241.6
1079.504	9263.51	243.5
1080.077	9258.60	247.6
1080.650	9253.69	247.8
1081.224	9248.78	270.8
1081.797	9243.88	236.1
1082.370	9238.99	225.1
1082.943	9234.10	238.9
1083.516	9229.21	257.2
1084.089	9224.34	244.4
1084.662	9219.46	239.6
1085.235	9214.59	238.7
1085.808	9209.73	244.5
1086.381	9204.87	247.7
1086.954	9200.02	257.4
1087.527	9195.17	250.1
1088.100	9190.33	256.5
1088.673	9185.49	249.8
1089.247	9180.66	248.2
1089.820	9175.83	218.7
1090.393	9171.01	251.8
1090.966	9166.19	259.9
1091.539	9161.38	236.4
1092.112	9156.57	235.5
1092.685	9151.77	252.3
1093.258	9146.97	231.1
1093.831	9142.18	229.3
1094.404	9137.39	235.9
1094.977	9132.61	243.2
1095.550	9127.83	238
1096.123	9123.06	231.5
1096.697	9118.29	237.8
1097.270	9113.53	245.4
1097.843	9108.77	242.7
1098.416	9104.02	230.1
1098.989	9099.27	232.5
1099.562	9094.53	244.6
