Wavelength [nm]	Wavenumbers [1/cm]	LED340nm_normalisedarea
298.975	33447.58	203.9
299.548	33383.59	207
300.121	33319.85	227.3
300.694	33256.35	247.3
301.268	33193.09	229
301.841	33130.06	207.3
302.414	33067.28	214.5
302.987	33004.74	223.8
303.560	32942.43	223.5
304.133	32880.36	224.5
304.706	32818.52	225.7
305.279	32756.91	229
305.852	32695.53	229.9
306.425	32634.39	225.5
306.998	32573.47	242.5
307.571	32512.78	245.4
308.144	32452.31	242.8
308.718	32392.07	247.1
309.291	32332.05	254.8
309.864	32272.25	229.3
310.437	32212.68	288.5
311.010	32153.32	257
311.583	32094.18	260.4
312.156	32035.26	256.6
312.729	31976.56	275.3
313.302	31918.07	264.4
313.875	31859.79	267.3
314.448	31801.73	262
315.021	31743.88	287.3
315.594	31686.23	275.7
316.168	31628.80	294.1
316.741	31571.58	296.4
317.314	31514.56	281.6
317.887	31457.74	283.9
318.460	31401.13	298.4
319.033	31344.73	306.4
319.606	31288.53	316.3
320.179	31232.52	333.8
320.752	31176.72	345.9
321.325	31121.12	361.7
321.898	31065.71	340.1
322.471	31010.51	362
323.044	30955.49	419.6
323.618	30900.68	428
324.191	30846.05	429.9
324.764	30791.62	453.8
325.337	30737.38	447.9
325.910	30683.33	489.6
326.483	30629.48	528
327.056	30575.81	585.4
327.629	30522.32	657.2
328.202	30469.03	785
328.775	30415.92	938
329.348	30363.00	1167
329.921	30310.25	1483
330.494	30257.70	1899
331.067	30205.32	2425
331.641	30153.13	3068
332.214	30101.11	3913
332.787	30049.28	5049
333.360	29997.62	6454
333.933	29946.14	8043
334.506	29894.83	9790
335.079	29843.71	1.175E4
335.652	29792.75	1.418E4
336.225	29741.97	1.722E4
336.798	29691.37	2.066E4
337.371	29640.93	2.41E4
337.944	29590.67	2.699E4
338.517	29540.57	2.96E4
339.091	29490.65	3.244E4
339.664	29440.89	3.57E4
340.237	29391.30	3.922E4
340.810	29341.88	4.154E4
341.383	29292.62	4.233E4
341.956	29243.53	4.13E4
342.529	29194.61	3.917E4
343.102	29145.84	3.654E4
343.675	29097.24	3.392E4
344.248	29048.81	3.063E4
344.821	29000.53	2.686E4
345.394	28952.41	2.276E4
345.967	28904.45	1.89E4
346.541	28856.65	1.557E4
347.114	28809.01	1.298E4
347.687	28761.53	1.105E4
348.260	28714.20	9613
348.833	28667.03	8441
349.406	28620.01	7341
349.979	28573.14	6317
350.552	28526.43	5392
351.125	28479.87	4625
351.698	28433.47	4021
352.271	28387.21	3481
352.844	28341.11	3009
353.417	28295.15	2619
353.991	28249.34	2246
354.564	28203.68	1914
355.137	28158.17	1649
355.710	28112.81	1437
356.283	28067.59	1307
356.856	28022.52	1175
357.429	27977.59	1065
358.002	27932.80	994.4
358.575	27888.16	924.9
359.148	27843.66	882.6
359.721	27799.30	827
360.294	27755.08	781.1
360.867	27711.01	783.9
361.441	27667.07	749.6
362.014	27623.27	684.2
362.587	27579.61	655.1
363.160	27536.09	633.7
363.733	27492.71	620.6
364.306	27449.46	601.1
364.879	27406.35	607.3
365.452	27363.37	604.5
366.025	27320.53	586.1
366.598	27277.82	549.6
367.171	27235.25	529.7
367.744	27192.80	519
368.317	27150.49	494.5
368.890	27108.32	486.2
369.464	27066.27	486.3
370.037	27024.35	466.5
370.610	26982.56	459.3
371.183	26940.90	456.4
371.756	26899.37	431.6
372.329	26857.97	430.4
372.902	26816.70	395.1
373.475	26775.55	409.8
374.048	26734.52	407.7
374.621	26693.63	395.1
375.194	26652.86	378.2
375.767	26612.21	368.1
376.340	26571.68	368.7
376.914	26531.28	354.4
377.487	26491.00	347.3
378.060	26450.85	355
378.633	26410.81	322.7
379.206	26370.90	329.3
379.779	26331.11	326.8
380.352	26291.44	325.9
380.925	26251.88	313.1
381.498	26212.45	311.8
382.071	26173.13	296.1
382.644	26133.93	303
383.217	26094.85	303.8
383.790	26055.89	304.6
384.364	26017.04	293.8
384.937	25978.30	276.4
385.510	25939.69	270.1
386.083	25901.18	263.3
386.656	25862.79	261
387.229	25824.52	271.4
387.802	25786.36	278.6
388.375	25748.31	275.4
388.948	25710.37	263.3
389.521	25672.54	254.3
390.094	25634.83	256.6
390.667	25597.22	259.6
391.240	25559.73	265
391.814	25522.35	267.8
392.387	25485.07	273.7
392.960	25447.90	259.3
393.533	25410.85	257
394.106	25373.90	235.4
394.679	25337.05	227
395.252	25300.32	280.8
395.825	25263.69	244.4
396.398	25227.16	232.6
396.971	25190.74	248.8
397.544	25154.43	240
398.117	25118.22	221.6
398.690	25082.12	252.5
399.263	25046.12	244.1
399.837	25010.22	241.2
400.410	24974.42	258.5
400.983	24938.73	229.4
401.556	24903.14	224
402.129	24867.65	212.9
402.702	24832.26	212
403.275	24796.97	223.8
403.848	24761.79	216.5
404.421	24726.70	203.9
404.994	24691.71	206.1
405.567	24656.82	222.3
406.140	24622.03	232.7
406.713	24587.33	226.3
407.287	24552.74	221.7
407.860	24518.24	231.2
408.433	24483.84	235.4
409.006	24449.53	218.8
409.579	24415.32	215.7
410.152	24381.21	228.8
410.725	24347.19	232.7
411.298	24313.27	228.9
411.871	24279.44	222.4
412.444	24245.70	227.4
413.017	24212.06	213.6
413.590	24178.51	204
414.163	24145.06	230.2
414.737	24111.69	229.1
415.310	24078.42	220.1
415.883	24045.24	220.7
416.456	24012.15	218.9
417.029	23979.16	224.7
417.602	23946.25	214.8
418.175	23913.43	238.1
418.748	23880.71	229.6
419.321	23848.07	206.2
419.894	23815.52	220.9
420.467	23783.06	212.7
421.040	23750.69	220
421.613	23718.41	216.8
422.187	23686.21	221.7
422.760	23654.11	228.1
423.333	23622.08	216.9
423.906	23590.15	211.2
424.479	23558.30	223.2
425.052	23526.54	217.8
425.625	23494.86	213.3
426.198	23463.27	227.6
426.771	23431.76	222.3
427.344	23400.34	210.6
427.917	23369.00	215.6
428.490	23337.75	211.4
429.063	23306.58	216.1
429.637	23275.49	231
430.210	23244.48	222.9
430.783	23213.56	234.7
431.356	23182.72	245.1
431.929	23151.96	238.5
432.502	23121.29	235.1
433.075	23090.69	216.8
433.648	23060.18	220.1
434.221	23029.74	232.7
434.794	22999.39	239.4
435.367	22969.11	228.9
435.940	22938.92	239.5
436.513	22908.80	212.2
437.086	22878.77	204.1
437.660	22848.81	225.7
438.233	22818.93	243.4
438.806	22789.13	234.4
439.379	22759.41	218.7
439.952	22729.76	218.2
440.525	22700.19	240.8
441.098	22670.70	223.7
441.671	22641.28	209.5
442.244	22611.94	215.7
442.817	22582.68	217.4
443.390	22553.49	215.9
443.963	22524.38	210
444.536	22495.34	216.2
445.110	22466.38	237.6
445.683	22437.49	250.3
446.256	22408.68	229
446.829	22379.94	218.2
447.402	22351.27	220.2
447.975	22322.68	219.4
448.548	22294.16	226.4
449.121	22265.71	223.8
449.694	22237.34	225.9
450.267	22209.03	231.1
450.840	22180.80	216
451.413	22152.64	221.5
451.986	22124.56	222
452.560	22096.54	210.9
453.133	22068.60	224.7
453.706	22040.72	230.9
454.279	22012.92	235
454.852	21985.18	233.3
455.425	21957.52	230.3
455.998	21929.92	234
456.571	21902.40	243.4
457.144	21874.94	240.2
457.717	21847.55	221.6
458.290	21820.23	252.6
458.863	21792.98	239
459.436	21765.80	246.6
460.010	21738.68	220.6
460.583	21711.63	227.7
461.156	21684.65	237.6
461.729	21657.74	232.7
462.302	21630.89	229.4
462.875	21604.11	238.6
463.448	21577.40	243.7
464.021	21550.75	237.4
464.594	21524.16	228
465.167	21497.65	233
465.740	21471.19	217.8
466.313	21444.81	222.5
466.886	21418.49	235.7
467.459	21392.23	226.2
468.033	21366.03	228
468.606	21339.90	232.1
469.179	21313.84	230.6
469.752	21287.84	217.8
470.325	21261.90	230.3
470.898	21236.02	238.3
471.471	21210.21	236
472.044	21184.46	237.6
472.617	21158.77	248.3
473.190	21133.15	260.2
473.763	21107.59	257.2
474.336	21082.08	235.3
474.909	21056.64	214.7
475.483	21031.27	232.9
476.056	21005.95	248.5
