Spectrum,Fraction_Reactant,Fraction_Product
1,1.0,0.0
2,0.9512499091181178,0.04875009088188229
3,0.8897462918253585,0.11025370817464145
4,0.8380859262504262,0.1619140737495738
5,0.7867422297548639,0.21325777024513623
6,0.7347594587319649,0.26524054126803503
7,0.6863477905539005,0.3136522094460995
8,0.6416564908284834,0.3583435091715165
9,0.6014800059049332,0.39851999409506683
10,0.5607808509228694,0.4392191490771305
11,0.523972235855653,0.47602776414434694
12,0.4878159495941004,0.5121840504058996
13,0.45470058346800957,0.5452994165319903
14,0.42315000517817536,0.5768499948218246
15,0.39289844603620067,0.6071015539637993
16,0.36426257751154195,0.635737422488458
17,0.34015798998111446,0.6598420100188855
18,0.3170850199710079,0.6829149800289921
19,0.29428269513968847,0.7057173048603115
20,0.27388786796913955,0.7261121320308603
21,0.2539681405958397,0.7460318594041603
22,0.2362890729365078,0.7637109270634921
23,0.21964297494202487,0.7803570250579752
24,0.20457587546807376,0.7954241245319262
25,0.19006891251733077,0.8099310874826693
26,0.17722712354289438,0.8227728764571056
27,0.1654273816657039,0.8345726183342962
28,0.1543079431966276,0.8456920568033724
29,0.14412400663987243,0.8558759933601275
30,0.13492486482263977,0.8650751351773603
31,0.12639210768767267,0.8736078923123274
32,0.118388151197876,0.881611848802124
33,0.11166205299743805,0.8883379470025619
34,0.10486238148234238,0.8951376185176577
35,0.09915623632420675,0.9008437636757932
36,0.09388721380920818,0.9061127861907918
37,0.08854415605468263,0.9114558439453174
38,0.08397566836892005,0.9160243316310799
39,0.08010540548967333,0.9198945945103267
40,0.07596137373161906,0.924038626268381
41,0.07286323850141538,0.9271367614985846
42,0.06981720579341977,0.9301827942065803
43,0.06672473560502555,0.9332752643949744
44,0.06444372102423915,0.9355562789757609
45,0.06187744043733122,0.9381225595626688
46,0.05970854104507613,0.9402914589549239
47,0.05790743355784942,0.9420925664421506
48,0.05612336808965347,0.9438766319103465
49,0.054468247774219394,0.9455317522257807
50,0.0529156405590483,0.9470843594409517
51,0.051663256138734855,0.9483367438612652
52,0.05025466491250405,0.9497453350874959
53,0.04926186079227956,0.9507381392077204
54,0.048433686519206855,0.9515663134807932
55,0.047195785129754975,0.9528042148702449
56,0.04651859440810188,0.9534814055918982
57,0.04566317744040778,0.9543368225595923
58,0.04533720761888894,0.9546627923811111
59,0.04439540240892133,0.9556045975910786
60,0.04378387473550636,0.9562161252644937
61,0.043336462308425104,0.956663537691575
62,0.04309364071245612,0.9569063592875439
63,0.04255114544854591,0.957448854551454
64,0.042068900473733885,0.9579310995262661
65,0.04175297930283527,0.9582470206971647
66,0.04142829692718413,0.9585717030728159
67,0.04121306999410522,0.9587869300058949
68,0.040942711736092464,0.9590572882639076
69,0.04082065814823743,0.9591793418517626
70,0.04040882347946187,0.9595911765205382
71,0.04032499107115396,0.9596750089288459
72,0.040182064575052724,0.9598179354249473
73,0.03984448173515124,0.9601555182648488
74,0.03976955188675086,0.9602304481132491
75,0.03964527226369763,0.9603547277363025
76,0.039482672471822126,0.9605173275281779
77,0.03932701221000626,0.9606729877899937
78,0.039408353673978505,0.9605916463260215
79,0.039381951500189125,0.9606180484998109
80,0.039199783789111146,0.9608002162108888
81,0.039077068259963973,0.9609229317400361
82,0.038936728966148686,0.9610632710338514
83,0.03876820375839804,0.961231796241602
84,0.03893863445230076,0.9610613655476993
85,0.03885738376419854,0.9611426162358014
86,0.03885158245012493,0.961148417549875
87,0.038849454151145886,0.9611505458488542
88,0.03876701201079798,0.9612329879892021
89,0.03871885293774852,0.9612811470622514
90,0.03861775646953491,0.9613822435304651
91,0.03866298255052539,0.9613370174494746
92,0.03850771650398648,0.9614922834960136
93,0.03875061458960431,0.9612493854103957
94,0.03859538476217084,0.961404615237829
95,0.03854000946632553,0.9614599905336745
96,0.03850654282452371,0.9614934571754762
97,0.03854140131761993,0.9614585986823802
98,0.03847471248370973,0.9615252875162902
99,0.038543524077435734,0.9614564759225642
100,0.03849619959311391,0.9615038004068861
101,0.03848748890497455,0.9615125110950256
102,0.03857740725912014,0.9614225927408798
103,0.03839514349995644,0.9616048565000436
104,0.03836522100659475,0.9616347789934052
105,0.03840837868743203,0.9615916213125679
106,0.03842895799413999,0.96157104200586
107,0.03857117898104746,0.9614288210189526
108,0.03854066335582981,0.9614593366441702
109,0.03852583124828076,0.9614741687517193
110,0.03836353971681526,0.9616364602831847
111,0.03861314801846916,0.9613868519815308
112,0.03841826902605988,0.9615817309739401
113,0.03851191203701742,0.9614880879629825
114,0.038602155159751336,0.9613978448402487
115,0.03840347126954817,0.9615965287304519
116,0.03849074311151505,0.961509256888485
117,0.03848419154830987,0.96151580845169
118,0.038664363441300136,0.9613356365586999
119,0.038430099177965374,0.9615699008220346
120,0.03842070413398436,0.9615792958660158
121,0.03864945342750989,0.9613505465724902
