Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0035
261.284	38272.5	0.6528	0.785
261.861	38188.21	0.6496	0.752
262.438	38104.29	0.6431	0.715
263.014	38020.74	0.6358	0.6801
263.591	37937.55	0.6299	0.6498
264.168	37854.73	0.6237	0.6219
264.744	37772.27	0.615	0.5921
265.321	37690.17	0.6051	0.5642
265.898	37608.42	0.5963	0.5416
266.475	37527.03	0.5912	0.5282
267.051	37445.99	0.5904	0.5251
267.628	37365.29	0.5898	0.5229
268.205	37284.95	0.5834	0.5091
268.781	37204.95	0.5692	0.4817
269.358	37125.29	0.5512	0.4491
269.935	37045.97	0.5332	0.4185
270.512	36967	0.5158	0.3929
271.088	36888.35	0.4979	0.3718
271.665	36810.04	0.4812	0.3545
272.242	36732.07	0.4631	0.3398
272.818	36654.42	0.4428	0.3251
273.395	36577.1	0.4232	0.3129
273.972	36500.1	0.4035	0.3014
274.549	36423.43	0.3849	0.2912
275.125	36347.08	0.3668	0.2807
275.702	36271.05	0.3507	0.2728
276.279	36195.34	0.3372	0.2649
276.855	36119.94	0.3257	0.2588
277.432	36044.86	0.3156	0.2532
278.009	35970.09	0.3075	0.2491
278.586	35895.62	0.3013	0.2451
279.162	35821.47	0.2971	0.2424
279.739	35747.62	0.2941	0.2405
280.316	35674.07	0.2926	0.2396
280.892	35600.83	0.2916	0.2386
281.469	35527.89	0.291	0.2376
282.046	35455.24	0.2912	0.2369
282.622	35382.89	0.2913	0.236
283.199	35310.84	0.291	0.2351
283.776	35239.08	0.2905	0.2338
284.353	35167.61	0.2897	0.2325
284.929	35096.43	0.2888	0.2311
285.506	35025.53	0.2879	0.2304
286.083	34954.92	0.2868	0.2296
286.659	34884.6	0.2846	0.2281
287.236	34814.56	0.2819	0.2269
287.813	34744.8	0.2786	0.2251
288.39	34675.32	0.276	0.2242
288.966	34606.12	0.2735	0.2229
289.543	34537.19	0.2713	0.2219
290.12	34468.53	0.2688	0.2212
290.696	34400.15	0.2655	0.2189
291.273	34332.04	0.2615	0.2156
291.85	34264.2	0.2585	0.213
292.427	34196.62	0.2563	0.2108
293.003	34129.32	0.2535	0.208
293.58	34062.27	0.2517	0.2055
294.157	33995.49	0.2488	0.2024
294.733	33928.97	0.2458	0.1997
295.31	33862.71	0.2413	0.1964
295.887	33796.71	0.2355	0.1926
296.463	33730.97	0.2297	0.1886
297.04	33665.48	0.223	0.1843
297.617	33600.24	0.2158	0.18
298.194	33535.26	0.2087	0.176
298.77	33470.53	0.2012	0.1718
299.347	33406.04	0.1939	0.1674
299.924	33341.81	0.187	0.1634
300.5	33277.82	0.1807	0.1595
301.077	33214.08	0.1748	0.1555
301.654	33150.58	0.1701	0.1521
302.231	33087.32	0.1664	0.1492
302.807	33024.3	0.1623	0.1453
303.384	32961.53	0.1592	0.1423
303.961	32898.99	0.1569	0.139
304.537	32836.69	0.1547	0.1349
305.114	32774.62	0.1533	0.1313
305.691	32712.79	0.1512	0.1274
306.268	32651.19	0.1497	0.1243
306.844	32589.82	0.1477	0.1212
307.421	32528.69	0.1448	0.1185
307.998	32467.78	0.1409	0.1141
308.574	32407.1	0.1365	0.1106
309.151	32346.64	0.1318	0.1072
309.728	32286.41	0.1265	0.1035
310.305	32226.41	0.1207	0.09961
310.881	32166.63	0.115	0.09602
311.458	32107.07	0.1101	0.09226
312.035	32047.72	0.1056	0.08883
312.611	31988.6	0.1015	0.08575
313.188	31929.7	0.09799	0.08287
313.765	31871.01	0.09516	0.08021
314.341	31812.54	0.09318	0.07756
314.918	31754.28	0.0917	0.0754
315.495	31696.23	0.09037	0.07355
316.072	31638.4	0.0893	0.07121
316.648	31580.78	0.08877	0.06939
317.225	31523.37	0.08842	0.06789
317.802	31466.16	0.08812	0.06577
318.378	31409.16	0.08839	0.06425
318.955	31352.37	0.08886	0.06304
319.532	31295.78	0.08894	0.06176
320.109	31239.4	0.08968	0.06016
320.685	31183.22	0.09093	0.05952
321.262	31127.24	0.0911	0.05818
321.839	31071.47	0.09179	0.05713
322.415	31015.89	0.093	0.0566
322.992	30960.51	0.09384	0.05605
323.569	30905.33	0.09524	0.05604
324.146	30850.34	0.09558	0.05518
324.722	30795.55	0.09682	0.055
325.299	30740.95	0.09799	0.05466
325.876	30686.55	0.09923	0.05513
326.452	30632.34	0.1006	0.05502
327.029	30578.32	0.1024	0.05532
327.606	30524.49	0.1034	0.05541
328.182	30470.85	0.1048	0.05577
328.759	30417.4	0.1065	0.05617
329.336	30364.14	0.1086	0.05676
329.913	30311.06	0.1107	0.0577
330.489	30258.16	0.1127	0.05855
331.066	30205.45	0.1147	0.05935
331.643	30152.93	0.1172	0.06034
332.219	30100.59	0.1198	0.06152
332.796	30048.42	0.1222	0.06282
333.373	29996.44	0.1254	0.06421
333.95	29944.64	0.129	0.06601
334.526	29893.02	0.1324	0.06786
335.103	29841.57	0.136	0.06933
335.68	29790.3	0.1403	0.07179
336.256	29739.21	0.1447	0.07433
336.833	29688.29	0.1488	0.07611
337.41	29637.55	0.154	0.07832
337.987	29586.98	0.1589	0.08084
338.563	29536.58	0.1637	0.08393
339.14	29486.35	0.169	0.08634
339.717	29436.29	0.1748	0.08877
340.293	29386.41	0.1805	0.09181
340.87	29336.69	0.1865	0.09528
341.447	29287.14	0.1928	0.09809
342.024	29237.76	0.199	0.1013
342.6	29188.54	0.2057	0.1043
343.177	29139.49	0.2128	0.108
343.754	29090.6	0.2201	0.1117
344.33	29041.88	0.2273	0.1153
344.907	28993.32	0.2354	0.1193
345.484	28944.92	0.2435	0.1234
346.06	28896.68	0.2516	0.1275
346.637	28848.61	0.26	0.1312
347.214	28800.69	0.2686	0.1353
347.791	28752.93	0.277	0.1395
348.367	28705.33	0.286	0.1438
