Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0035
590.585	16932.36	-0.0001655	0.0001427
591.162	16915.84	-6.90E-05	8.15E-05
591.739	16899.36	5.61E-06	0.0001754
592.315	16882.9	-0.000116	0.0001161
592.892	16866.48	-0.0002138	3.74E-05
593.469	16850.09	0.000107	0.0001912
594.045	16833.73	0.0002004	0.0003984
594.622	16817.4	6.84E-05	0.0002808
595.199	16801.11	-0.0001323	-0.0001612
595.776	16784.85	-0.0003038	-4.86E-05
596.352	16768.61	0.0001491	0.0003644
596.929	16752.41	0.0002266	0.000236
597.506	16736.24	1.11E-05	-9.17E-05
598.082	16720.11	-0.0001263	-0.0001668
598.659	16704	-0.0002694	-0.0001398
599.236	16687.92	-2.73E-06	1.15E-05
599.812	16671.88	-0.000339	-3.31E-05
600.389	16655.86	-0.0004026	-0.0002875
600.966	16639.88	-6.60E-05	4.96E-05
601.543	16623.93	-9.44E-05	2.17E-05
602.119	16608	-0.0003049	-0.0004138
602.696	16592.11	-0.0002937	-6.74E-05
603.273	16576.25	-0.0002623	-4.46E-05
603.849	16560.42	-0.0001872	-0.0003941
604.426	16544.62	0.000514	0.0002914
605.003	16528.85	2.04E-05	-0.0003643
605.58	16513.11	-0.0002055	-0.0004269
606.156	16497.4	0.0001409	-1.25E-05
606.733	16481.71	-0.0004392	-0.0002655
607.31	16466.06	-0.0004213	-0.0001165
607.886	16450.44	-0.0005179	-0.000309
608.463	16434.85	-0.0001853	-0.0003013
609.04	16419.29	-0.000623	-0.0004308
609.617	16403.75	-0.0006313	-0.000502
610.193	16388.25	-0.0001331	-0.0002374
610.77	16372.78	-2.80E-05	-6.68E-05
611.347	16357.33	8.11E-05	-0.0002041
611.923	16341.92	0.0001939	3.72E-05
612.5	16326.53	-0.0005672	-0.0005944
613.077	16311.17	1.60E-05	-0.000175
613.653	16295.84	-0.0002051	-0.0001367
614.23	16280.54	0.000538	0.0005717
614.807	16265.27	0.0002085	-7.93E-05
615.384	16250.03	0.0002624	9.99E-05
615.96	16234.81	0.0002806	0.0001692
616.537	16219.63	7.07E-05	0.0002674
617.114	16204.47	0.0001522	0.000247
617.69	16189.34	-7.36E-05	0.0002216
618.267	16174.24	4.02E-05	-7.35E-05
618.844	16159.16	-0.0004564	-0.000316
619.421	16144.12	-0.0006752	-0.0008727
619.997	16129.1	-0.0006233	-0.000973
620.574	16114.11	-0.0003038	-0.0003503
621.151	16099.15	-0.000524	-0.0004494
621.727	16084.22	-0.0006214	-0.0002713
622.304	16069.31	-0.0008806	-0.0007322
622.881	16054.43	-0.0005093	-0.000464
623.458	16039.58	-0.0004841	-0.0001759
624.034	16024.76	-0.0003185	-0.0002624
624.611	16009.97	-0.00037	-0.0003292
625.188	15995.2	-0.0006047	-0.0002272
625.764	15980.46	-0.0004865	-0.000264
626.341	15965.74	-0.000312	-0.0005201
626.918	15951.05	-0.0002261	-0.0001111
627.495	15936.39	7.39E-05	-9.90E-05
628.071	15921.76	-0.000248	-0.0003054
628.648	15907.15	-0.0002142	-0.0002012
629.225	15892.58	5.09E-06	0.0002261
629.801	15878.02	0.0001351	-0.0002698
630.378	15863.5	-0.000194	-0.0006328
630.955	15849	-0.0003957	-0.0005236
631.531	15834.52	-0.0002578	-0.0003526
632.108	15820.08	-0.0001883	-0.0003825
632.685	15805.66	-0.0001631	-0.0002255
633.262	15791.26	-0.000154	-0.0004197
633.838	15776.89	-6.87E-05	-0.0002165
634.415	15762.55	-0.0005531	-0.0007517
634.992	15748.24	-0.0003887	-0.0006917
635.568	15733.95	-1.10E-05	-0.0003569
636.145	15719.68	-0.000281	-0.0005509
636.722	15705.44	-0.0001136	-9.12E-05
637.299	15691.23	6.82E-05	8.16E-05
637.875	15677.05	-5.43E-05	8.87E-05
638.452	15662.88	-0.0002963	-0.0002204
639.029	15648.75	-0.000461	-0.0004443
639.605	15634.64	-0.0002944	-0.0003795
640.182	15620.56	-0.0005458	-0.0003572
640.759	15606.5	-0.0004204	-0.0003056
641.336	15592.46	-0.0002518	-2.72E-06
641.912	15578.45	-0.0003183	-0.00017
642.489	15564.47	-0.000238	-0.0003723
643.066	15550.51	-0.0001953	-0.0003793
643.642	15536.58	-0.0004303	-0.0007647
644.219	15522.67	-0.0004607	-0.0003954
644.796	15508.79	-0.0005528	-1.91E-05
645.373	15494.93	-0.0006223	-0.0003726
645.949	15481.09	-0.0006394	-0.0001152
646.526	15467.28	-0.0004958	-0.0002208
647.103	15453.5	-0.0006048	-0.0002114
647.679	15439.74	-0.0003572	-0.0003495
648.256	15426	-0.0003136	-0.0004216
648.833	15412.29	0.0002909	0.000174
649.409	15398.61	0.0002931	0.0002203
649.986	15384.94	-0.000127	-0.000202
650.563	15371.3	-0.0002014	-0.0002725
651.14	15357.69	-4.91E-05	-8.62E-05
651.716	15344.1	-0.000307	-2.56E-05
652.293	15330.53	-0.0006789	-0.0004012
652.87	15316.99	-0.001007	-0.0006978
653.446	15303.47	-0.0005477	-0.0007192
654.023	15289.98	7.65E-05	-0.0004628
654.6	15276.51	-0.0001744	-0.0003432
655.177	15263.06	-9.74E-05	-0.0001481
655.753	15249.64	0.0001411	5.20E-05
656.33	15236.24	-2.60E-05	-9.23E-05
656.907	15222.86	-0.0004971	-0.0001512
657.483	15209.51	-0.0005568	-0.0001958
658.06	15196.18	-0.0002679	5.18E-06
658.637	15182.87	0.0001564	3.68E-05
659.214	15169.59	0.0004165	0.0001306
659.79	15156.33	0.0001496	0.0003341
660.367	15143.1	-0.0001225	-1.20E-05
660.944	15129.88	-0.0003011	-0.0003765
661.52	15116.69	-0.0001968	-0.0002095
662.097	15103.53	-0.0001306	-0.0002621
662.674	15090.38	-7.38E-05	-0.000455
663.25	15077.26	-8.77E-05	-0.0003545
663.827	15064.16	-5.55E-05	-0.0001584
664.404	15051.09	-4.70E-05	-0.0002553
664.981	15038.03	-0.0002356	-0.0003124
665.557	15025	1.22E-06	-5.69E-05
666.134	15011.99	-2.16E-05	-7.36E-05
666.711	14999.01	4.34E-05	0.0001269
667.287	14986.05	1.64E-05	-0.0001413
667.864	14973.1	-0.0002549	-0.0002644
668.441	14960.19	-0.0002547	-0.0001371
669.018	14947.29	-0.0003956	-0.0003765
669.594	14934.42	-0.0004898	-0.000564
670.171	14921.56	-0.0002961	-0.0003259
670.748	14908.74	-0.0004042	-0.0005622
671.324	14895.93	-0.0003152	-0.0003738
671.901	14883.14	-0.0002682	-0.0001295
672.478	14870.38	-0.0002603	-0.0001674
673.055	14857.64	-0.0001877	-0.000395
673.631	14844.92	-0.0001011	-0.0003183
674.208	14832.22	7.38E-05	-0.0001293
674.785	14819.54	0.0002442	6.71E-06
675.361	14806.89	0.0003813	4.43E-05
675.938	14794.25	1.07E-06	4.19E-06
676.515	14781.64	3.74E-06	5.17E-05
677.092	14769.05	-0.0001806	-0.0001742
677.668	14756.48	0.0002105	-0.0001319
678.245	14743.94	-6.54E-05	-0.0003591
678.822	14731.41	-2.73E-05	-0.0002903
679.398	14718.91	6.58E-05	2.61E-05
679.975	14706.42	-4.54E-06	-7.04E-07
680.552	14693.96	-0.0001426	-0.0001021
681.128	14681.52	0.0001004	-5.57E-05
681.705	14669.1	-0.0001206	-0.0002574
682.282	14656.7	-0.0004912	-0.000259
682.859	14644.32	-0.0006413	-0.000566
683.435	14631.96	-0.0004582	-0.0005302
684.012	14619.63	-0.0002163	-0.0002349
684.589	14607.31	-0.0001804	-0.0003759
685.165	14595.02	-0.0003274	-0.0004641
685.742	14582.74	-0.0004151	-0.0004513
686.319	14570.49	-0.0006064	-0.0003417
686.896	14558.25	-0.0006099	-0.0004567
687.472	14546.04	-0.0003164	-0.0003433
688.049	14533.85	-0.0004173	-8.37E-05
688.626	14521.68	-0.0007673	-0.0004221
689.202	14509.53	-0.0007321	-0.0003763
689.779	14497.39	-0.0007097	-0.0003886
690.356	14485.28	-0.0004717	-0.0003327
690.933	14473.19	-0.0003888	-0.00043
691.509	14461.12	-0.0003782	-0.0006725
692.086	14449.07	-0.0001752	-0.0004134
692.663	14437.04	-0.0001374	-0.0002802
693.239	14425.03	-8.04E-05	-0.0003026
693.816	14413.04	7.21E-05	-0.0001119
694.393	14401.07	0.0001999	-5.22E-05
694.969	14389.12	0.0002306	-7.26E-05
695.546	14377.19	-0.0001262	-0.0001094
696.123	14365.28	-0.0003154	-0.0002721
696.7	14353.39	-0.0003573	-0.0002198
697.276	14341.52	-0.0001546	-6.93E-05
697.853	14329.66	0.0001863	1.96E-05
698.43	14317.83	-0.0002941	-0.0003133
699.006	14306.02	-0.0004549	-0.0003535
699.583	14294.23	-0.0002619	-0.0002513
700.16	14282.45	-0.0003508	-0.0004369
700.737	14270.7	-0.0005714	-0.0005214
701.313	14258.96	-0.0004499	-0.0006201
701.89	14247.25	-0.0001239	-0.0005112
702.467	14235.55	1.93E-05	-0.0001648
703.043	14223.87	0.0001816	-8.75E-05
703.62	14212.21	0.0001784	-8.34E-05
704.197	14200.58	-0.0002204	-0.0002959
704.774	14188.95	-0.0003801	-0.0002313
705.35	14177.35	-0.0004	-0.0004155
705.927	14165.77	-0.0006169	-0.0004675
706.504	14154.21	-0.0003741	-0.0001433
707.08	14142.66	-0.0003212	-0.0002087
707.657	14131.14	-0.0002446	-0.0003454
708.234	14119.63	-0.0003362	-0.0003698
708.811	14108.14	-0.0004087	-0.0002016
709.387	14096.67	-0.0005236	-0.0004749
709.964	14085.22	-0.000276	-0.0005266
710.541	14073.79	-0.0001306	-0.0003298
711.117	14062.38	-0.0001515	-0.0001327
711.694	14050.98	5.08E-05	8.17E-06
712.271	14039.6	-0.0001947	-0.0001577
712.847	14028.25	-6.08E-05	-0.0004929
713.424	14016.91	1.01E-05	-0.0002743
714.001	14005.58	7.05E-05	-9.94E-05
714.578	13994.28	2.57E-05	-0.0002012
715.154	13983	0.0001331	3.46E-05
715.731	13971.73	-0.0001406	0.0002777
716.308	13960.48	-0.0001399	-6.69E-05
716.884	13949.25	-0.0004757	-0.0003926
717.461	13938.04	-0.0004023	-0.0002278
718.038	13926.84	-0.0003684	-0.0003214
718.615	13915.67	-0.000683	-0.0005048
719.191	13904.51	-0.0006636	-0.0006891
719.768	13893.37	-0.0004297	-0.0003947
720.345	13882.24	-0.000218	-0.0001224
720.921	13871.14	-0.0003035	-0.0004845
721.498	13860.05	-0.0005086	-0.0006886
722.075	13848.98	-0.0007527	-0.0004402
722.652	13837.93	-0.0007549	-0.0006739
723.228	13826.89	-0.0007304	-0.0005126
723.805	13815.88	-0.0007774	-0.0004531
724.382	13804.88	-0.0007432	-0.0004293
724.958	13793.9	-0.0006843	-0.0003461
725.535	13782.93	-0.0002386	-0.0001246
726.112	13771.98	3.67E-05	-9.97E-05
726.688	13761.05	-0.0004564	-0.0003877
727.265	13750.14	-0.0006874	-0.0004533
727.842	13739.25	-0.0003933	-0.0002429
728.419	13728.37	-0.0001764	-0.0002038
728.995	13717.51	-0.0004195	-0.0001993
729.572	13706.67	-0.0005011	-0.000111
730.149	13695.84	-0.0003725	-0.0003919
730.725	13685.03	-0.0005814	-0.0001966
731.302	13674.24	-0.000789	-0.0001846
731.879	13663.46	-0.0004149	-0.000302
732.456	13652.71	-0.0003006	-5.94E-05
733.032	13641.96	-7.18E-05	-6.58E-05
733.609	13631.24	-0.0003941	-8.32E-05
734.186	13620.53	1.30E-06	-5.51E-05
734.762	13609.84	-0.0004721	-0.0004357
735.339	13599.17	-0.00016	-0.0001346
735.916	13588.51	0.0001481	-4.54E-05
736.493	13577.87	0.0004604	0.0003026
737.069	13567.25	0.0005827	0.0004132
737.646	13556.64	0.0001476	-0.0001128
738.223	13546.05	9.01E-05	5.98E-05
738.799	13535.47	-0.0004991	-0.0008223
739.376	13524.92	-0.000788	-0.0006359
739.953	13514.38	-0.0001185	-0.0001038
740.53	13503.85	0.0001643	6.49E-05
741.106	13493.34	-5.18E-05	9.65E-05
741.683	13482.85	-2.78E-05	-0.0002297
742.26	13472.37	-4.13E-06	-0.0001723
742.836	13461.92	9.56E-05	-0.0001345
743.413	13451.47	-0.0003094	-0.0003818
743.99	13441.05	-0.0005423	-0.0007895
744.566	13430.63	-0.000333	-0.0005476
745.143	13420.24	-0.0003718	-0.0003574
745.72	13409.86	-0.0005567	-0.0004867
746.297	13399.5	-0.0004138	-0.0006928
746.873	13389.15	-0.0002459	5.53E-06
747.45	13378.82	-0.0004083	-0.000127
748.027	13368.51	-0.0002366	-0.0002849
748.603	13358.21	0.0001393	0.0003112
749.18	13347.92	-2.95E-05	-0.0001303
749.757	13337.66	-0.0001495	-0.0001549
750.334	13327.41	-0.0004088	-0.0004482
750.91	13317.17	-0.0002295	-0.0002836
751.487	13306.95	-0.0001019	-0.0002826
752.064	13296.75	-0.0008198	-0.0006272
752.64	13286.56	-0.0005892	-0.0006723
753.217	13276.38	-0.0005979	-0.0004801
753.794	13266.23	-0.0005824	-0.0006498
754.371	13256.09	-0.0004755	-0.0005098
754.947	13245.96	-0.0004332	-0.0002565
755.524	13235.85	-0.0005676	-0.0005963
756.101	13225.75	-8.97E-05	-6.05E-05
756.677	13215.67	0.0001083	0.0001462
757.254	13205.61	-0.0001605	2.97E-05
757.831	13195.56	-0.0005143	-0.0003062
758.407	13185.52	-0.0002975	4.10E-05
758.984	13175.5	-0.0001053	3.65E-05
759.561	13165.5	-0.0001157	-0.0001486
760.138	13155.51	0.000238	-1.19E-05
760.714	13145.54	0.0002993	-0.0001215
761.291	13135.58	0.0002311	-5.75E-05
761.868	13125.64	0.0003514	0.0001435
762.444	13115.71	0.0001589	1.15E-05
763.021	13105.8	4.18E-05	-8.37E-05
763.598	13095.9	-3.67E-05	-9.82E-05
764.175	13086.01	-0.0001559	-0.0001714
764.751	13076.15	-0.0002164	-0.0002171
765.328	13066.29	-6.66E-05	0.0001494
765.905	13056.45	0.00032	0.0002759
766.481	13046.63	0.0002047	0.0002232
767.058	13036.82	0.0002133	0.0001236
767.635	13027.03	0.000542	0.0002146
768.212	13017.25	0.0005261	0.0005509
768.788	13007.48	7.02E-05	0.0001418
769.365	12997.73	-0.0001523	-8.81E-05
769.942	12988	-4.49E-05	-0.0001657
770.518	12978.28	-0.0001855	-0.0003863
771.095	12968.57	-0.0006613	-0.0003801
771.672	12958.88	-0.0006523	-0.0002596
772.249	12949.2	-0.0004814	-0.0001601
772.825	12939.54	-0.0003359	-0.0001499
773.402	12929.89	0.0001038	-8.96E-05
773.979	12920.25	0.000255	-2.16E-05
774.555	12910.63	0.0001559	0.0001762
775.132	12901.03	0.0001164	0.0003176
775.709	12891.44	-9.96E-05	7.72E-05
776.285	12881.86	-0.0002422	-9.39E-05
776.862	12872.3	-0.0001089	1.17E-05
777.439	12862.75	-0.0001145	-1.53E-05
778.016	12853.21	-0.0002944	3.33E-06
778.592	12843.69	-0.0002516	-0.0001968
779.169	12834.19	-0.0003508	-0.0003811
779.746	12824.69	-0.0001067	-3.10E-05
780.322	12815.22	-0.0002033	-0.00011
780.899	12805.75	-0.0001055	-2.82E-05
781.476	12796.3	-7.84E-05	-8.89E-05
782.053	12786.86	-0.0005391	-0.0003455
782.629	12777.44	-0.000336	-0.0001421
783.206	12768.03	-0.0001588	-0.0001487
783.783	12758.64	-0.0002999	-0.0001336
784.359	12749.26	-0.0006076	-0.0007492
784.936	12739.89	-0.000198	6.73E-05
785.513	12730.54	0.0003026	0.0003003
786.09	12721.2	0.0003296	0.000137
786.666	12711.87	-2.15E-05	0.0001377
787.243	12702.56	-0.0004082	-0.0006435
787.82	12693.26	-0.0005682	-0.0001089
788.396	12683.98	-0.0001642	-2.74E-05
788.973	12674.7	-0.0002026	-0.0003067
789.55	12665.45	4.34E-05	-0.0002899
790.126	12656.2	-0.000405	0.0002606
790.703	12646.97	-0.0006741	-0.000345
791.28	12637.75	-0.0006025	-0.0003595
791.857	12628.55	-0.0003299	-0.0001703
792.433	12619.36	-0.0005398	-0.0004485
793.01	12610.18	4.79E-05	-0.0001318
793.587	12601.02	-0.0005165	-0.0004752
794.163	12591.87	-6.71E-05	-1.47E-05
794.74	12582.73	-0.000311	3.69E-05
795.317	12573.6	-0.000327	-0.0002367
795.894	12564.49	-5.68E-05	-1.36E-05
796.47	12555.4	-0.0004577	-0.0005836
797.047	12546.31	-0.000224	6.31E-05
797.624	12537.24	0.0001828	4.49E-05
798.2	12528.18	-0.0003168	-7.50E-05
798.777	12519.14	0.0003203	0.000244
799.354	12510.1	0.0001456	8.16E-06
799.931	12501.09	-2.27E-07	-0.0002454
800.507	12492.08	-8.13E-06	-0.0001104
801.084	12483.09	-0.0002091	-0.0002387
801.661	12474.11	2.51E-06	-2.73E-05
802.237	12465.14	-6.75E-05	-0.0002746
802.814	12456.18	1.44E-05	-0.0001706
803.391	12447.24	-0.0002194	-0.0001757
803.968	12438.31	2.54E-05	-0.0001224
804.544	12429.4	0.0003433	0.0001923
805.121	12420.49	-6.77E-05	0.0001083
805.698	12411.6	-0.0002613	3.87E-05
806.274	12402.73	-0.0008411	-0.000533
806.851	12393.86	-0.0006783	-0.0003878
807.428	12385.01	-0.0002884	-0.0002193
808.004	12376.17	-0.0001487	0.0001668
808.581	12367.34	7.80E-05	0.0002146
809.158	12358.53	8.43E-05	0.0001311
809.735	12349.73	-0.0001106	5.67E-05
810.311	12340.94	-0.0003025	-7.80E-06
810.888	12332.16	-0.0003461	-0.000144
811.465	12323.39	-0.0001307	8.88E-05
812.041	12314.64	0.0001183	0.0002619
812.618	12305.9	0.0002212	0.0003033
813.195	12297.18	0.0001812	0.000211
813.772	12288.46	8.26E-05	0.0002732
814.348	12279.76	-0.0001168	0.0001512
814.925	12271.07	-9.57E-05	-8.75E-05
815.502	12262.39	0.0003894	5.75E-05
816.078	12253.72	0.0003765	4.35E-05
816.655	12245.07	-1.65E-05	-0.0002087
817.232	12236.43	-0.0002548	-0.0003134
817.809	12227.8	-0.0002493	-0.0003761
818.385	12219.18	-0.0001122	-0.0002571
818.962	12210.58	-3.74E-05	-0.0002651
819.539	12201.99	-8.18E-05	-0.0002972
820.115	12193.41	-0.000163	-0.0001912
820.692	12184.84	-0.0002586	-0.000285
821.269	12176.28	-0.0004052	-0.000444
821.845	12167.74	-0.000344	-0.0001861
822.422	12159.2	-0.0001924	-0.0001111
822.999	12150.68	-0.0004356	-0.0003493
823.576	12142.18	-0.0005292	-0.0005203
824.152	12133.68	-0.000491	-0.0001699
824.729	12125.19	-0.0004469	-0.000191
825.306	12116.72	0.0001715	0.0003137
825.882	12108.26	0.0004368	0.0003707
826.459	12099.81	0.0005507	0.0005537
827.036	12091.37	0.0007893	0.0005554
827.613	12082.95	0.0002409	0.0004135
828.189	12074.53	0.0006627	0.0002163
828.766	12066.13	-9.69E-05	0.000151
829.343	12057.74	0.0006388	0.0005651
829.919	12049.36	0.0002944	-1.52E-05
830.496	12041	0.0001483	0.0003569
831.073	12032.64	-0.0006445	-0.0007185
831.65	12024.3	-0.0006954	-0.0004864
832.226	12015.96	-0.0005342	-0.0003496
832.803	12007.64	-0.0005628	-0.0002436
833.38	11999.33	0.0003933	0.0003631
833.956	11991.03	0.000508	0.0005596
834.533	11982.75	0.0002037	6.54E-05
835.11	11974.47	5.70E-05	0.0001385
835.687	11966.21	-0.0004426	-0.0003114
836.263	11957.96	-0.0002958	-0.0003047
836.84	11949.72	5.01E-06	-0.0002688
837.417	11941.49	-8.79E-05	-9.07E-05
837.993	11933.27	-2.06E-05	0.0003539
838.57	11925.06	0.0002393	0.0004894
839.147	11916.87	0.0002116	0.0001835
839.723	11908.68	0.0004137	0.0001677
840.3	11900.51	0.0003563	1.15E-05
840.877	11892.35	0.000161	-9.45E-05
841.454	11884.2	-2.03E-05	0.0002275
842.03	11876.06	-3.55E-06	7.88E-05
842.607	11867.93	0.0002517	-0.0001723
843.184	11859.81	0.0002245	-8.07E-06
843.76	11851.71	3.64E-05	0.0001452
844.337	11843.61	0.0003099	0.0003888
844.914	11835.53	0.0006674	0.000611
845.491	11827.45	0.0009023	0.0006392
846.067	11819.39	0.0006062	0.0004563
846.644	11811.34	0.0002768	0.0002418
847.221	11803.3	0.0003896	7.30E-05
847.797	11795.27	0.0001803	-9.62E-05
848.374	11787.25	2.97E-05	-0.0002397
848.951	11779.25	0.0003549	0.0001152
849.528	11771.25	0.0006339	0.0001187
850.104	11763.26	0.0004996	0.0002554
850.681	11755.29	0.0007901	0.0007086
851.258	11747.32	0.0003856	0.0004009
851.834	11739.37	0.0003375	0.0003052
852.411	11731.43	0.000431	0.0001692
852.988	11723.5	8.15E-07	-0.0002303
853.564	11715.58	-0.0001478	-4.27E-05
854.141	11707.67	0.0003703	0.0002678
854.718	11699.77	0.0003814	0.0002277
855.295	11691.88	0.0009015	0.0004599
855.871	11684	0.001154	0.0006951
856.448	11676.13	3.66E-05	3.17E-05
857.025	11668.27	0.0004182	0.0005642
857.601	11660.43	0.0004126	0.0002851
858.178	11652.59	-0.000217	-3.49E-06
858.755	11644.77	-4.42E-05	4.22E-05
859.332	11636.95	0.0002406	0.000311
859.908	11629.15	7.10E-05	0.0001488
860.485	11621.35	-0.0003747	-2.68E-05
861.062	11613.57	-0.0001577	0.0001251
861.638	11605.8	0.0002111	8.15E-06
862.215	11598.03	0.0002745	-0.0001967
862.792	11590.28	0.0002626	0.0001114
863.369	11582.54	0.0003426	8.80E-05
863.945	11574.81	0.0002883	0.0001059
864.522	11567.09	0.0005315	-9.05E-06
865.099	11559.37	-9.95E-05	-0.0003585
865.675	11551.67	-0.0002887	-0.0005083
866.252	11543.98	4.96E-06	-0.0001416
866.829	11536.3	-0.0001846	-0.0003441
867.406	11528.63	0.0001867	3.91E-05
867.982	11520.97	0.000393	0.0004509
868.559	11513.32	0.0005726	0.0003241
869.136	11505.68	0.0003694	0.0003254
869.712	11498.05	0.0001194	0.0001512
870.289	11490.44	9.57E-05	6.28E-06
870.866	11482.83	6.88E-05	0.0001055
871.442	11475.23	-0.000238	-0.000308
872.019	11467.64	-0.0003518	-0.0004556
872.596	11460.06	-0.0002407	-0.0004502
873.173	11452.49	-0.0003614	-0.0002844
873.749	11444.93	-0.0004183	-0.0001025
874.326	11437.38	0.0004607	0.0001404
874.903	11429.84	-0.000131	-0.0002301
875.479	11422.31	-0.0003269	-0.0001905
876.056	11414.79	-0.000477	-0.0005233
876.633	11407.28	-3.30E-05	0.0002548
877.21	11399.78	0.0001709	-0.0002301
877.786	11392.29	0.0001618	9.41E-05
878.363	11384.81	-2.22E-05	2.27E-05
878.94	11377.34	-0.0003967	-0.000153
879.516	11369.88	0.0001562	0.000321
880.093	11362.43	0.0002553	0.0002753
880.67	11354.99	-0.0005636	6.46E-05
881.247	11347.56	3.10E-05	0.0003599
881.823	11340.14	0.0001867	0.0004763
882.4	11332.73	4.86E-05	0.0002171
882.977	11325.33	0.0006663	0.0005735
883.553	11317.94	0.0002193	0.0001274
884.13	11310.55	-0.0001991	-0.0003406
884.707	11303.18	0.000113	-0.0002643
885.283	11295.82	-0.0002757	-0.0002613
885.86	11288.46	0.0003998	0.0002518
886.437	11281.12	-0.0002462	-0.0001148
887.014	11273.78	-2.14E-05	-0.0004235
887.59	11266.46	0.0003357	6.80E-05
888.167	11259.14	0.0003526	0.0003773
888.744	11251.84	-0.0001265	-8.23E-05
889.32	11244.54	-0.0004458	-0.0005772
889.897	11237.25	-0.0003955	-0.0001849
890.474	11229.98	-0.0007478	-0.0003073
891.051	11222.71	-0.0007454	-0.0002914
891.627	11215.45	-0.0005873	-0.0003458
892.204	11208.2	-0.0005596	-0.0004349
892.781	11200.96	-0.0001585	0.0002614
893.357	11193.73	7.06E-05	9.80E-05
893.934	11186.51	0.0001869	0.0002292
894.511	11179.29	0.000515	0.0005223
895.088	11172.09	0.0007052	0.0004601
895.664	11164.9	0.0004292	0.0008812
896.241	11157.71	0.000527	0.0005908
896.818	11150.54	-0.0001136	-4.49E-05
897.394	11143.37	-3.14E-05	-0.0001477
897.971	11136.22	0.0004545	0.0002539
898.548	11129.07	0.0001929	-9.50E-06
899.125	11121.93	0.0001992	-0.0002225
899.701	11114.8	-0.0003285	-0.0004114
900.278	11107.68	-0.0001306	-0.0001883
900.855	11100.57	-0.000759	-0.0005944
901.431	11093.47	-8.73E-05	-0.0004259
902.008	11086.38	-0.0007397	-0.0003531
902.585	11079.29	-0.0002627	1.06E-05
903.161	11072.22	0.0005186	0.0004627
903.738	11065.15	0.000271	0.0004181
904.315	11058.09	0.0007167	0.0006185
904.892	11051.05	0.0005137	0.0007048
905.468	11044.01	0.000618	0.0005512
906.045	11036.98	0.0006082	0.0005131
906.622	11029.96	0.0003102	0.0002861
907.198	11022.95	0.0005552	0.0005663
907.775	11015.94	3.95E-05	8.84E-05
908.352	11008.95	-0.0003346	-0.0004722
908.929	11001.96	-4.58E-05	-0.0005341
909.505	10994.99	0.0001081	-0.0002648
910.082	10988.02	3.82E-05	2.74E-05
910.659	10981.06	0.0003325	0.0002461
911.235	10974.11	0.0002972	0.0002742
911.812	10967.17	0.0005875	0.0003309
912.389	10960.24	0.0005501	0.0003746
912.966	10953.32	0.0005637	0.0003927
913.542	10946.4	0.000917	0.0005838
914.119	10939.5	0.0009016	0.0004969
914.696	10932.6	0.0006196	0.0007189
915.272	10925.71	0.0005561	0.0004735
915.849	10918.83	0.0009473	0.0001494
916.426	10911.96	0.0004109	0.0002438
917.002	10905.1	0.0008197	0.0008336
917.579	10898.24	0.000971	0.0004611
918.156	10891.4	0.0009578	0.001088
918.733	10884.56	0.0008656	0.0005778
919.309	10877.73	0.0003467	0.000547
919.886	10870.91	0.001014	0.0007209
920.463	10864.1	0.0006716	0.0008587
921.039	10857.3	0.0008194	0.0008509
921.616	10850.5	0.000443	0.0004997
922.193	10843.72	0.0006642	0.0004563
922.77	10836.94	0.0006807	0.0005804
923.346	10830.17	0.0002919	0.0002147
923.923	10823.41	0.0005671	0.0001417
924.5	10816.66	0.0006732	0.0003552
925.076	10809.92	-3.25E-05	-0.0002159
925.653	10803.18	-7.76E-05	-0.0002628
926.23	10796.46	-7.03E-05	-0.0001194
926.807	10789.74	0.0002633	6.06E-05
927.383	10783.03	7.73E-05	0.0003182
927.96	10776.33	-0.0002399	-0.0003001
928.537	10769.63	-0.000305	-0.0005387
929.113	10762.95	-0.0006003	-0.0005954
929.69	10756.27	-0.0009209	-0.0009293
930.267	10749.6	-0.0009402	-0.001124
930.844	10742.94	-0.0006027	-0.000437
931.42	10736.29	-1.21E-05	-0.0003417
931.997	10729.65	-0.000106	-0.000389
932.574	10723.01	0.0005461	0.000528
933.15	10716.39	0.0007382	0.001003
933.727	10709.77	0.0005154	0.0004408
934.304	10703.16	0.0005343	0.0002059
934.88	10696.55	-0.000128	6.68E-05
935.457	10689.96	-0.0004464	-0.0002303
936.034	10683.37	0.0001212	-8.48E-05
936.611	10676.8	-0.0004051	-8.19E-05
937.187	10670.23	-0.0003929	-0.0001741
937.764	10663.66	0.0005014	-3.54E-05
938.341	10657.11	-0.0002027	-0.0003098
938.917	10650.56	0.0001648	9.60E-06
939.494	10644.03	0.001007	0.0003041
940.071	10637.5	0.0007423	0.0003593
940.648	10630.97	0.0007922	0.0005911
941.224	10624.46	0.000832	0.0007248
941.801	10617.95	0.0008181	0.0004021
942.378	10611.46	0.001542	0.00108
942.954	10604.97	0.001066	0.0009123
943.531	10598.48	0.0009183	0.0005386
944.108	10592.01	0.0009193	0.0005721
944.685	10585.54	0.0008735	0.0004613
945.261	10579.09	0.000244	6.29E-05
945.838	10572.64	0.0005796	0.0005927
946.415	10566.19	0.0007372	0.0006079
946.991	10559.76	0.000541	0.0003569
947.568	10553.33	0.001116	0.0008936
948.145	10546.91	0.001126	0.001101
948.721	10540.5	0.001428	0.001178
