Wavelength_nm,value
250,2377.2633999999998
250.09998999999999,2376.1628000000001
250.19999999999999,2373.0592000000001
250.29999000000001,2371.5828000000001
250.39999,2371.5061000000001
250.5,2369.2999
250.59998999999999,2366.7384000000002
250.69999999999999,2367.7667000000001
250.79999000000001,2367.2310000000002
250.89999,2364.7420000000002
251,2363.8694
251.09998999999999,2365.0142000000001
251.19999999999999,2363.9854999999998
251.29999000000001,2365.8285000000001
251.39999,2368.5718000000002
251.5,2367.6990999999998
251.59998999999999,2366.3108999999999
251.69999999999999,2369.0909999999999
251.79999000000001,2369.7993000000001
251.89999,2371.2865999999999
252,2373.7885000000001
252.09998999999999,2375.8498
252.19999999999999,2376.3586
252.29999000000001,2378.4434999999999
252.39999,2379.7993000000001
252.5,2382.6457
252.59998999999999,2384.518
252.69999999999999,2387.4083000000001
252.79999000000001,2390.7067000000002
252.89999,2390.3874000000001
253,2396.1442000000002
253.09998999999999,2399.4234000000001
253.19999999999999,2402.3312000000001
253.29999000000001,2406.5261999999998
253.39999,2411.4794000000002
253.5,2412.5882000000001
253.59998999999999,2415.7768999999998
253.69999999999999,2420.9585000000002
253.79999000000001,2425.9821999999999
253.89999,2430.1554999999998
254,2435.0587999999998
254.09998999999999,2439.6322
254.19999999999999,2442.1947
254.29999000000001,2446.9508000000001
254.39999,2453.7518
254.5,2458.6633000000002
254.59998999999999,2463.4465
254.69999999999999,2469.8622
254.79999000000001,2476.0101
254.89999,2479.3298
255,2484.9893999999999
255.09998999999999,2492.7453999999998
255.19999999999999,2497.0061000000001
255.29999000000001,2504.8706000000002
255.39999,2512.2593999999999
255.5,2518.5524999999998
255.59998999999999,2524.2096999999999
255.69999999999999,2531.4058
255.79999000000001,2536.7525000000001
255.89999,2543.3721999999998
256,2552.7784999999999
256.10001,2559.7561999999998
256.19997999999998,2565.0273000000002
256.29998999999998,2573.9063999999998
256.39999,2582.7276000000002
256.5,2589.8798000000002
256.60001,2597.0587999999998
256.69997999999998,2605.0297
256.79998999999998,2615.5700999999999
256.89999,2622.4175
257,2629.9893000000002
257.10001,2639.5196999999998
257.19997999999998,2645.8069999999998
257.29998999999998,2656.6003000000001
257.39999,2664.8339000000001
257.5,2674.0954000000002
257.60001,2682.4195
257.69997999999998,2692.143
257.79998999999998,2700.5102000000002
257.89999,2710.2073999999998
258,2720.1309000000001
258.10001,2732.0149999999999
258.19997999999998,2740.2188999999998
258.29998999999998,2749.7898
258.39999,2759.5324999999998
258.5,2769.9976000000001
258.60001,2780.1974
258.69997999999998,2790.6898000000001
258.79998999999998,2802.5378999999998
258.89999,2810.5025999999998
259,2822.2161000000001
259.10001,2833.8132000000001
259.19997999999998,2846.0129999999999
259.29998999999998,2856.9967000000001
259.39999,2869.7444
259.5,2880.6352999999999
259.60001,2892.2754
259.69997999999998,2904.0646000000002
259.79998999999998,2913.6622000000002
259.89999,2925.7424999999998
260,2938.9038999999998
260.10001,2952.7150999999999
260.19997999999998,2964.6743999999999
260.29998999999998,2976.0909000000001
260.39999,2990.7865999999999
260.5,3002.4776999999999
260.60001,3015.3753999999999
260.69997999999998,3030.377
260.79998999999998,3043.8874999999998
