Wavelength_nm,value
175.76400000000001,8.2759999999999998
176.33699999999999,33.890000000000001
176.91,12.58
177.483,46.229999999999997
178.05600000000001,23.5
178.62899999999999,17.66
179.202,26.550000000000001
179.77600000000001,30.18
180.34899999999999,38.920000000000002
180.922,29.09
181.495,21.550000000000001
182.06800000000001,37.039999999999999
182.64099999999999,31.800000000000001
183.214,10.869999999999999
183.78700000000001,15.66
184.36000000000001,17.91
184.93299999999999,34.409999999999997
185.506,55.960000000000001
186.07900000000001,39.689999999999998
186.65199999999999,14.91
187.226,26.989999999999998
187.79900000000001,42.829999999999998
188.37200000000001,40.729999999999997
188.94499999999999,24.629999999999999
189.518,8.2899999999999991
190.09100000000001,23.129999999999999
190.66399999999999,35.390000000000001
191.23699999999999,28.329999999999998
191.81,22.469999999999999
192.38300000000001,35.909999999999997
192.95599999999999,33.579999999999998
193.529,36.049999999999997
194.102,51.479999999999997
194.67500000000001,40.640000000000001
195.249,17.829999999999998
195.822,13.59
196.39500000000001,17.91
196.96799999999999,31.48
197.541,14.07
198.114,25.039999999999999
198.68700000000001,4.4710000000000001
199.25999999999999,38.020000000000003
199.833,7.827
200.40600000000001,30.859999999999999
200.97900000000001,24.170000000000002
201.55199999999999,25.149999999999999
202.125,42.119999999999997
202.69900000000001,53.530000000000001
203.27199999999999,26.260000000000002
203.845,8.8200000000000003
204.41800000000001,25.219999999999999
204.99100000000001,25.199999999999999
205.56399999999999,23.690000000000001
206.137,37.539999999999999
206.71000000000001,44.469999999999999
207.28299999999999,27.620000000000001
207.85599999999999,1.2649999999999999
208.429,-5.1699999999999999
209.00200000000001,9.7759999999999998
209.57499999999999,16.710000000000001
210.149,19.16
210.72200000000001,30.699999999999999
211.29499999999999,-2.9569999999999999
211.86799999999999,1.2869999999999999
212.441,34.299999999999997
213.01400000000001,-10.390000000000001
213.58699999999999,17.550000000000001
214.16,-1.6479999999999999
214.733,-0.75139999999999996
215.30600000000001,2.3919999999999999
215.87899999999999,-16.02
216.452,3.6760000000000002
217.02500000000001,7.681
217.59899999999999,7.2309999999999999
218.172,-9.0180000000000007
218.745,-9.7080000000000002
219.31800000000001,-5.4770000000000003
219.89099999999999,-18.710000000000001
220.464,-18.59
221.03700000000001,-12.869999999999999
221.61000000000001,-24.98
222.18299999999999,-24.649999999999999
222.756,-26.039999999999999
223.32900000000001,-10.24
223.90199999999999,-9.9149999999999991
224.47499999999999,-3.726
225.04900000000001,-14.039999999999999
225.62200000000001,16.079999999999998
226.19499999999999,-6.0860000000000003
226.768,-17.100000000000001
227.34100000000001,-27.809999999999999
227.91399999999999,-3.1930000000000001
228.48699999999999,-16.43
229.06,-17.280000000000001
229.63300000000001,-8.1460000000000008
230.20599999999999,-7.7800000000000002
230.779,-8.5429999999999993
231.352,-20.289999999999999
231.92500000000001,-31.239999999999998
232.49799999999999,-18.940000000000001
233.072,-27.699999999999999
233.64500000000001,-40.350000000000001
234.21799999999999,-21.25
234.791,-34.649999999999999
235.364,-34.259999999999998
235.93700000000001,-7.5039999999999996
236.50999999999999,-2.5990000000000002
237.083,-23.149999999999999
237.65600000000001,-11.09
238.22900000000001,-31.899999999999999
238.80199999999999,-32.159999999999997
239.375,-32.060000000000002
239.94800000000001,-22.579999999999998
240.52199999999999,-7.5129999999999999
241.095,-16.789999999999999
241.66800000000001,-42.200000000000003
242.24100000000001,-11.51
242.81399999999999,-11.99
243.387,1.903
243.96000000000001,-0.97799999999999998
244.53299999999999,2.1000000000000001
245.10599999999999,-6.0609999999999999
245.679,-12.69
246.25200000000001,-2.274
246.82499999999999,-8.4510000000000005
247.398,-13.83
247.97200000000001,-0.082309999999999994
248.54499999999999,-5.3940000000000001
249.11799999999999,-0.28510000000000002
249.691,3.4820000000000002
250.26400000000001,-3.4159999999999999
250.83699999999999,-6.4390000000000001
251.41,-12.42
251.983,-32.100000000000001
252.55600000000001,-16.550000000000001
253.12899999999999,-30.800000000000001
253.702,-7.4699999999999998
254.27500000000001,-18.91
254.84800000000001,-13.5
255.422,-11.48
255.995,-22.32
256.56799999999998,-4.3449999999999998
257.14100000000002,6.5869999999999997
