Measurement,Timestamp (s)
1,0.062
2,5.234
3,10.375
4,15.515
5,20.672
6,25.812
7,30.969
8,36.109
9,41.25
10,46.39
11,51.531
12,56.672
13,61.812
14,66.953
15,72.14
16,77.281
17,82.437
18,87.59399999999998
19,92.734
20,97.906
21,103.047
22,108.203
23,113.344
24,118.484
25,123.656
26,128.812
27,133.953
28,139.109
29,144.25
30,149.406
31,154.562
32,159.703
33,164.859
34,170.0
35,175.14
36,180.328
37,185.469
38,190.625
39,195.765
40,200.937
41,206.078
42,211.25
43,216.39
44,221.531
