Wavelength [nm]	Wavenumbers [1/cm]	Intensity
299.548	33383.63	243.5
300.121	33319.89	261.3
300.694	33256.38	286.3
301.267	33193.12	268.1
301.840	33130.10	242.5
302.413	33067.32	244.2
302.986	33004.78	254.3
303.560	32942.47	252.7
304.133	32880.39	252.8
304.706	32818.55	256.4
305.279	32756.95	249.1
305.852	32695.57	251.7
306.425	32634.42	241.3
306.998	32573.50	258.5
307.571	32512.81	257.2
308.144	32452.35	255.5
308.717	32392.10	259.1
309.290	32332.09	268.3
309.863	32272.29	241.6
310.436	32212.71	288.9
311.010	32153.36	258.6
311.583	32094.22	264.6
312.156	32035.30	253.2
312.729	31976.59	268.7
313.302	31918.10	257.1
313.875	31859.83	265.8
314.448	31801.76	256.1
315.021	31743.91	274.2
315.594	31686.27	256.1
316.167	31628.83	271.5
316.740	31571.61	271.9
317.313	31514.59	257.9
317.886	31457.78	254
318.460	31401.17	257.7
319.033	31344.76	258.6
319.606	31288.56	262.4
320.179	31232.56	272.1
320.752	31176.75	271.2
321.325	31121.15	270.6
321.898	31065.75	231
322.471	31010.54	244.1
323.044	30955.52	278
323.617	30900.71	272.4
324.190	30846.08	261.9
324.763	30791.65	266.3
325.336	30737.41	250.8
325.909	30683.37	264.8
326.483	30629.51	263.9
327.056	30575.84	271.4
327.629	30522.35	259
328.202	30469.06	276.4
328.775	30415.95	269.2
329.348	30363.02	255.2
329.921	30310.28	249.6
330.494	30257.73	243.7
331.067	30205.35	255.9
331.640	30153.16	263.5
332.213	30101.14	259.8
332.786	30049.30	262.4
333.359	29997.65	265.1
333.933	29946.17	269.3
334.506	29894.86	267.2
335.079	29843.73	261.1
335.652	29792.78	258.2
336.225	29742.00	252.5
336.798	29691.39	255
337.371	29640.96	255.1
337.944	29590.69	263.8
338.517	29540.60	285.6
339.090	29490.67	281.4
339.663	29440.92	264.2
340.236	29391.33	259.9
340.809	29341.91	256.2
341.383	29292.65	245.2
341.956	29243.56	236.4
342.529	29194.63	257.4
343.102	29145.87	252.8
343.675	29097.27	248.1
344.248	29048.83	251.8
344.821	29000.55	267.7
345.394	28952.44	258.1
345.967	28904.48	274.3
346.540	28856.68	274
347.113	28809.04	273.2
347.686	28761.55	257.4
348.259	28714.22	249.2
348.833	28667.05	263.6
349.406	28620.03	270.4
349.979	28573.17	267.7
350.552	28526.46	262.1
351.125	28479.90	261.2
351.698	28433.49	268.8
352.271	28387.24	259.1
352.844	28341.13	253.6
353.417	28295.18	281
353.990	28249.37	288.2
354.563	28203.71	287.3
355.136	28158.20	274.1
355.709	28112.83	273.6
356.283	28067.61	296.9
356.856	28022.54	290.6
357.429	27977.61	277.4
358.002	27932.82	282.4
358.575	27888.18	279
359.148	27843.68	295.9
359.721	27799.32	290.3
360.294	27755.11	273.5
360.867	27711.03	300.9
361.440	27667.09	304
362.013	27623.30	272.2
362.586	27579.64	274.3
363.159	27536.11	280
363.733	27492.73	290.8
364.306	27449.48	296.6
364.879	27406.37	322.3
365.452	27363.39	331
366.025	27320.55	331.3
366.598	27277.84	322.1
367.171	27235.27	321.7
367.744	27192.83	329.5
368.317	27150.52	331.7
368.890	27108.34	341.5
369.463	27066.29	354
370.036	27024.37	356.6
370.609	26982.58	372.8
371.183	26940.93	391.8
371.756	26899.39	394.6
372.329	26857.99	428.5
372.902	26816.72	424.1
373.475	26775.57	470.7
374.048	26734.55	505.1
374.621	26693.65	533.5
375.194	26652.88	572.1
375.767	26612.23	614.1
376.340	26571.70	673.7
376.913	26531.30	723.1
377.486	26491.02	811.9
378.059	26450.87	917.8
378.632	26410.83	999.6
379.206	26370.92	1140
379.779	26331.13	1307
380.352	26291.45	1488
380.925	26251.90	1694
381.498	26212.47	1950
382.071	26173.15	2255
382.644	26133.95	2627
