Wavelength_nm,Reactant_normalized,PSS_normalized_to_reactant,Reactant_reconstructed_M-1_cm-1,PSS_reconstructed_M-1_cm-1,Product_epsilon_M-1_cm-1,Product_epsilon_raw_M-1_cm-1,Product_lower_nonnegative_M-1_cm-1,Product_upper_nonnegative_M-1_cm-1,Product_error_lower_M-1_cm-1,Product_error_upper_M-1_cm-1
250,0.10363789700000001,0.16633205600000001,2378.64831,3817.57519,8919.2250499999991,8919.2250499999991,8548.4993099999992,9322.9925199999998,370.72574100000003,403.76746200000002
250.09999999999999,0.10361066400000001,0.165775162,2378.0232700000001,3804.7936399999999,8863.3431099999998,8863.3431099999998,8495.5546599999998,9263.8941300000006,367.78844500000002,400.551019
250.19999999999999,0.103590401,0.16522488699999999,2377.5582199999999,3792.1639799999998,8807.5843999999997,8807.5843999999997,8442.7335999999996,9204.9184399999995,364.85079999999999,397.33404100000001
250.30000000000001,0.10357702000000001,0.16468115799999999,2377.2510900000002,3779.6845600000001,8751.9486699999998,8751.9486699999998,8390.0357899999999,9146.0652800000007,361.91288100000003,394.11661199999998
250.40000000000001,0.10357042900000001,0.16414390200000001,2377.0998199999999,3767.3537099999999,8696.4356800000005,8696.4356800000005,8337.4609199999995,9087.3345000000008,358.97476399999999,390.898819
250.5,0.103570539,0.16361304600000001,2377.1023399999999,3755.16977,8641.0451900000007,8641.0451900000007,8285.0086599999995,9028.7259300000005,356.03652399999999,387.680744
250.59999999999999,0.10357726,0.16308851999999999,2377.2566000000002,3743.1310800000001,8585.77693,8585.77693,8232.6787000000004,8970.2394100000001,353.09823699999998,384.46247399999999
250.69999999999999,0.103590502,0.162570249,2377.5605399999999,3731.2359700000002,8530.6306800000002,8530.6306800000002,8180.4706999999999,8911.8747700000004,350.15998000000002,381.24409200000002
250.80000000000001,0.103610176,0.16205816200000001,2378.01208,3719.4827799999998,8475.6061800000007,8475.6061800000007,8128.38436,8853.6318699999993,347.22182600000002,378.02568500000001
250.90000000000001,0.103636191,0.16155218499999999,2378.6091700000002,3707.8698599999998,8420.7031900000002,8420.7031900000002,8076.4193299999997,8795.5105199999998,344.28385300000002,374.80733600000002
