Wavelength_nm,value
175.76400000000001,213
176.33699999999999,238.30000000000001
176.91,219.5
177.483,248.09999999999999
178.05600000000001,229.69999999999999
178.62899999999999,222.40000000000001
179.202,230.69999999999999
179.77500000000001,234
180.34800000000001,244.40000000000001
180.92099999999999,234.5
181.494,228.40000000000001
182.06700000000001,246
182.63999999999999,241.80000000000001
183.214,220.69999999999999
183.78700000000001,224.59999999999999
184.36000000000001,230.30000000000001
184.93299999999999,249
185.506,278.39999999999998
186.07900000000001,265.80000000000001
186.65199999999999,244.09999999999999
187.22499999999999,257.19999999999999
187.798,267.89999999999998
188.37100000000001,277
188.94399999999999,256.30000000000001
189.517,242.90000000000001
190.09,262.60000000000002
190.66399999999999,274.19999999999999
191.23699999999999,265.19999999999999
191.81,260.69999999999999
192.38300000000001,271.89999999999998
192.95599999999999,272.19999999999999
193.529,271.89999999999998
194.102,285.69999999999999
194.67500000000001,279.89999999999998
195.24799999999999,259.30000000000001
195.821,255.80000000000001
196.39400000000001,259.5
196.96700000000001,270.39999999999998
197.53999999999999,254
198.114,268.5
198.68700000000001,241
199.25999999999999,277.60000000000002
199.833,250.80000000000001
200.40600000000001,269.69999999999999
200.97900000000001,260.39999999999998
201.55199999999999,271.69999999999999
202.125,278
202.69800000000001,289.69999999999999
203.27099999999999,263.30000000000001
203.84399999999999,252.90000000000001
204.417,264.19999999999999
204.99000000000001,267.30000000000001
205.56399999999999,262.10000000000002
206.137,268.39999999999998
206.71000000000001,280.89999999999998
207.28299999999999,269
207.85599999999999,242.5
208.429,239.69999999999999
209.00200000000001,249.80000000000001
209.57499999999999,252.09999999999999
210.148,259.39999999999998
210.721,269.80000000000001
211.29400000000001,236.80000000000001
211.86699999999999,247.59999999999999
212.44,276.19999999999999
213.01400000000001,231.40000000000001
213.58699999999999,265.39999999999998
214.16,238.5
214.733,243.59999999999999
215.30600000000001,247.19999999999999
215.87899999999999,227.90000000000001
216.452,249.80000000000001
217.02500000000001,253.80000000000001
217.59800000000001,249.80000000000001
218.17099999999999,235.69999999999999
218.744,234.5
219.31700000000001,238.90000000000001
219.88999999999999,228.80000000000001
220.46299999999999,226.5
221.03700000000001,229.69999999999999
221.61000000000001,218.80000000000001
222.18299999999999,218.30000000000001
222.756,219.40000000000001
223.32900000000001,233.80000000000001
223.90199999999999,236
224.47499999999999,242
225.048,233.59999999999999
225.62100000000001,266.89999999999998
226.19399999999999,230.5
226.767,229.30000000000001
227.34,214.59999999999999
227.91300000000001,238
228.48699999999999,229.09999999999999
229.06,233.40000000000001
229.63300000000001,232.90000000000001
230.20599999999999,233.19999999999999
230.779,236.59999999999999
231.352,224.90000000000001
231.92500000000001,210.19999999999999
232.49799999999999,224.59999999999999
233.071,220
233.64400000000001,205.59999999999999
234.21700000000001,227.09999999999999
234.78999999999999,218.59999999999999
235.363,215.5
235.93700000000001,238.90000000000001
236.50999999999999,241.90000000000001
237.083,221.69999999999999
237.65600000000001,234.19999999999999
238.22900000000001,215.5
238.80199999999999,210.59999999999999
239.375,210.30000000000001
239.94800000000001,230.19999999999999
240.52099999999999,241.90000000000001
241.09399999999999,236.59999999999999
241.667,202.69999999999999
242.24000000000001,227.40000000000001
242.81299999999999,228.30000000000001
243.387,243.69999999999999
243.96000000000001,239.40000000000001
244.53299999999999,243.09999999999999
245.10599999999999,238.5
245.679,233.69999999999999
246.25200000000001,241.30000000000001
246.82499999999999,231.69999999999999
247.398,226
247.971,239.5
248.54400000000001,231.69999999999999
249.11699999999999,235.90000000000001
249.69,247
250.26300000000001,233.19999999999999
250.83699999999999,228.90000000000001
251.41,227.09999999999999
251.983,208.09999999999999
252.55600000000001,223.40000000000001
253.12899999999999,205.19999999999999
253.702,233.19999999999999
254.27500000000001,220.80000000000001
254.84800000000001,226
255.42099999999999,231.5
255.994,216.69999999999999
256.56700000000001,232.09999999999999
257.13999999999999,243
257.71300000000002,245.09999999999999
258.28699999999998,222
258.86000000000001,228.59999999999999
259.43299999999999,239.69999999999999
260.00599999999997,226
260.57900000000001,227.80000000000001
261.15199999999999,235.5
261.72500000000002,237
262.298,241.90000000000001
262.87099999999998,228.5
263.44400000000002,224.30000000000001
264.017,245.69999999999999
264.58999999999997,215.59999999999999
265.16300000000001,211.80000000000001
265.73700000000002,224.40000000000001
266.31,224.09999999999999
266.88299999999998,236.09999999999999
267.45600000000002,228.90000000000001
268.029,223.90000000000001
268.60199999999998,226.69999999999999
269.17500000000001,235
269.74799999999999,227
270.32100000000003,225.40000000000001
270.89400000000001,232.90000000000001
271.46699999999998,228.59999999999999
272.04000000000002,236.90000000000001
272.613,236
273.18599999999998,233.80000000000001
273.75999999999999,240.09999999999999
274.33300000000003,241
274.90600000000001,237.80000000000001
275.47899999999998,232.59999999999999
276.05200000000002,228.09999999999999
276.625,228
277.19799999999998,237.40000000000001
277.77100000000002,225.59999999999999
278.34399999999999,219.90000000000001
278.91699999999997,210.69999999999999
279.49000000000001,225.09999999999999
280.06299999999999,211.09999999999999
280.63600000000002,200.40000000000001
281.20999999999998,235
281.78300000000002,241.09999999999999
282.35599999999999,217.59999999999999
282.92899999999997,228.80000000000001
283.50200000000001,238.69999999999999
284.07499999999999,241.59999999999999
284.64800000000002,235
285.221,227.19999999999999
285.79399999999998,227.30000000000001
286.36700000000002,217.90000000000001
286.94,222.19999999999999
287.51299999999998,225.09999999999999
288.08600000000001,225.5
288.66000000000003,232.90000000000001
289.233,231.19999999999999
289.80599999999998,230.5
290.37900000000002,236.30000000000001
290.952,232.69999999999999
291.52499999999998,227.19999999999999
