Wavelength_nm,Absorbance__trans_azobenzene_epsilons_-_Copy,Concentration_M__trans_azobenzene_epsilons_-_Copy,Path_length_cm__trans_azobenzene_epsilons_-_Copy,Epsilon_M-1_cm-1__trans_azobenzene_epsilons_-_Copy,Absorbance__trans_azobenzene_epsilons,Concentration_M__trans_azobenzene_epsilons,Path_length_cm__trans_azobenzene_epsilons,Epsilon_M-1_cm-1__trans_azobenzene_epsilons,Absorbance__trans_azobenzene_epsilons_-_Copy__2,Concentration_M__trans_azobenzene_epsilons_-_Copy__2,Path_length_cm__trans_azobenzene_epsilons_-_Copy__2,Epsilon_M-1_cm-1__trans_azobenzene_epsilons_-_Copy__2,Epsilon_mean_M-1_cm-1,Epsilon_SD_M-1_cm-1,Epsilon_SEM_M-1_cm-1,Epsilon_lower_nonnegative_M-1_cm-1,Epsilon_upper_nonnegative_M-1_cm-1
250,2377,1.01,1,2353.4653499999999,2377,1,1,2377,2377,0.98999999999999999,1,2401.0101,2377.1584800000001,23.772773399999998,13.7252171,2353.38571,2400.9312599999998
250.09999999999999,2376,1.01,1,2352.47525,2376,1,1,2376,2376,0.98999999999999999,1,2400,2376.1584200000002,23.762772300000002,13.719443,2352.3956400000002,2399.92119
250.19999999999999,2373,1.01,1,2349.50495,2373,1,1,2373,2373,0.98999999999999999,1,2396.9697000000001,2373.1582199999998,23.732768799999999,13.7021204,2349.4254500000002,2396.8909800000001
250.30000000000001,2372,1.01,1,2348.51485,2372,1,1,2372,2372,0.98999999999999999,1,2395.9596000000001,2372.1581500000002,23.722767600000001,13.6963463,2348.4353799999999,2395.8809200000001
250.40000000000001,2372,1.01,1,2348.51485,2372,1,1,2372,2372,0.98999999999999999,1,2395.9596000000001,2372.1581500000002,23.722767600000001,13.6963463,2348.4353799999999,2395.8809200000001
250.5,2369,1.01,1,2345.5445500000001,2369,1,1,2369,2369,0.98999999999999999,1,2392.92929,2369.1579499999998,23.692764100000002,13.6790237,2345.4651899999999,2392.8507100000002
250.59999999999999,2367,1.01,1,2343.5643599999999,2367,1,1,2367,2367,0.98999999999999999,1,2390.9090900000001,2367.1578199999999,23.6727618,13.667475400000001,2343.4850499999998,2390.8305799999998
250.69999999999999,2368,1.01,1,2344.5544599999998,2368,1,1,2368,2368,0.98999999999999999,1,2391.9191900000001,2368.1578800000002,23.6827629,13.6732496,2344.4751200000001,2391.8406500000001
250.80000000000001,2367,1.01,1,2343.5643599999999,2367,1,1,2367,2367,0.98999999999999999,1,2390.9090900000001,2367.1578199999999,23.6727618,13.667475400000001,2343.4850499999998,2390.8305799999998
250.90000000000001,2365,1.01,1,2341.5841599999999,2365,1,1,2365,2365,0.98999999999999999,1,2388.8888900000002,2365.1576799999998,23.652759400000001,13.655927,2341.5049199999999,2388.8104400000002
251,2364,1.01,1,2340.5940599999999,2364,1,1,2364,2364,0.98999999999999999,1,2387.8787900000002,2364.15762,23.642758300000001,13.6501529,2340.5148600000002,2387.8003699999999
251.09999999999999,2365,1.01,1,2341.5841599999999,2365,1,1,2365,2365,0.98999999999999999,1,2388.8888900000002,2365.1576799999998,23.652759400000001,13.655927,2341.5049199999999,2388.8104400000002
251.19999999999999,2364,1.01,1,2340.5940599999999,2364,1,1,2364,2364,0.98999999999999999,1,2387.8787900000002,2364.15762,23.642758300000001,13.6501529,2340.5148600000002,2387.8003699999999
251.30000000000001,2366,1.01,1,2342.5742599999999,2366,1,1,2366,2366,0.98999999999999999,1,2389.8989900000001,2366.1577499999999,23.662760599999999,13.6617012,2342.4949900000001,2389.82051
251.40000000000001,2369,1.01,1,2345.5445500000001,2369,1,1,2369,2369,0.98999999999999999,1,2392.92929,2369.1579499999998,23.692764100000002,13.6790237,2345.4651899999999,2392.8507100000002
251.5,2368,1.01,1,2344.5544599999998,2368,1,1,2368,2368,0.98999999999999999,1,2391.9191900000001,2368.1578800000002,23.6827629,13.6732496,2344.4751200000001,2391.8406500000001
251.59999999999999,2366,1.01,1,2342.5742599999999,2366,1,1,2366,2366,0.98999999999999999,1,2389.8989900000001,2366.1577499999999,23.662760599999999,13.6617012,2342.4949900000001,2389.82051
251.69999999999999,2369,1.01,1,2345.5445500000001,2369,1,1,2369,2369,0.98999999999999999,1,2392.92929,2369.1579499999998,23.692764100000002,13.6790237,2345.4651899999999,2392.8507100000002
251.80000000000001,2370,1.01,1,2346.5346500000001,2370,1,1,2370,2370,0.98999999999999999,1,2393.93939,2370.1580199999999,23.702765299999999,13.6847979,2346.45525,2393.86078
251.90000000000001,2371,1.01,1,2347.52475,2371,1,1,2371,2371,0.98999999999999999,1,2394.94949,2371.1580800000002,23.7127664,13.690572100000001,2347.4453199999998,2394.8708499999998
252,2374,1.01,1,2350.49505,2374,1,1,2374,2374,0.98999999999999999,1,2397.9798000000001,2374.1582800000001,23.742769899999999,13.707894599999999,2350.4155099999998,2397.9010499999999
252.09999999999999,2376,1.01,1,2352.47525,2376,1,1,2376,2376,0.98999999999999999,1,2400,2376.1584200000002,23.762772300000002,13.719443,2352.3956400000002,2399.92119
252.19999999999999,2376,1.01,1,2352.47525,2376,1,1,2376,2376,0.98999999999999999,1,2400,2376.1584200000002,23.762772300000002,13.719443,2352.3956400000002,2399.92119
252.30000000000001,2378,1.01,1,2354.4554499999999,2378,1,1,2378,2378,0.98999999999999999,1,2402.0201999999999,2378.1585500000001,23.7827746,13.730991299999999,2354.3757700000001,2401.9413199999999
252.40000000000001,2380,1.01,1,2356.4356400000001,2380,1,1,2380,2380,0.98999999999999999,1,2404.0403999999999,2380.15868,23.802776900000001,13.7425397,2356.3559100000002,2403.96146
252.5,2383,1.01,1,2359.4059400000001,2383,1,1,2383,2383,0.98999999999999999,1,2407.07071,2383.15888,23.832780400000001,13.759862200000001,2359.3261000000002,2406.9916600000001
252.59999999999999,2385,1.01,1,2361.3861400000001,2385,1,1,2385,2385,0.98999999999999999,1,2409.0909099999999,2385.1590200000001,23.8527828,13.771410599999999,2361.3062300000001,2409.0118000000002
252.69999999999999,2387,1.01,1,2363.36634,2387,1,1,2387,2387,0.98999999999999999,1,2411.1111099999998,2387.15915,23.872785100000002,13.782958900000001,2363.2863600000001,2411.0319300000001
252.80000000000001,2391,1.01,1,2367.3267300000002,2391,1,1,2391,2391,0.98999999999999999,1,2415.1515199999999,2391.15942,23.912789799999999,13.806055600000001,2367.2466300000001,2415.0722099999998
252.90000000000001,2390,1.01,1,2366.3366299999998,2390,1,1,2390,2390,0.98999999999999999,1,2414.1414100000002,2390.1593499999999,23.902788600000001,13.800281399999999,2366.2565599999998,2414.06214
253,2396,1.01,1,2372.2772300000001,2396,1,1,2396,2396,0.98999999999999999,1,2420.2020200000002,2396.1597499999998,23.9627956,13.8349265,2372.19695,2420.1225399999998
253.09999999999999,2399,1.01,1,2375.2475199999999,2399,1,1,2399,2399,0.98999999999999999,1,2423.2323200000001,2399.1599500000002,23.992799099999999,13.852249,2375.1671500000002,2423.1527500000002
253.19999999999999,2402,1.01,1,2378.2178199999998,2402,1,1,2402,2402,0.98999999999999999,1,2426.2626300000002,2402.1601500000002,24.022802599999999,13.8695716,2378.13735,2426.1829499999999
253.30000000000001,2407,1.01,1,2383.1683200000002,2407,1,1,2407,2407,0.98999999999999999,1,2431.31313,2407.16048,24.0728084,13.8984424,2383.0876699999999,2431.2332900000001
253.40000000000001,2411,1.01,1,2387.12871,2411,1,1,2411,2411,0.98999999999999999,1,2435.3535400000001,2411.16075,24.1128131,13.9215391,2387.0479399999999,2435.2735600000001
253.5,2413,1.01,1,2389.1089099999999,2413,1,1,2413,2413,0.98999999999999999,1,2437.37374,2413.1608799999999,24.132815399999998,13.933087499999999,2389.0280699999998,2437.2937000000002
253.59999999999999,2416,1.01,1,2392.0792099999999,2416,1,1,2416,2416,0.98999999999999999,1,2440.4040399999999,2416.1610799999999,24.162818900000001,13.95041,2391.9982599999998,2440.3238999999999
253.69999999999999,2421,1.01,1,2397.0297,2421,1,1,2421,2421,0.98999999999999999,1,2445.4545499999999,2421.1614199999999,24.2128248,13.979280899999999,2396.94859,2445.3742400000001
253.80000000000001,2426,1.01,1,2401.9802,2426,1,1,2426,2426,0.98999999999999999,1,2450.5050500000002,2426.1617500000002,24.262830600000001,14.0081518,2401.8989200000001,2450.4245799999999
253.90000000000001,2430,1.01,1,2405.9405900000002,2430,1,1,2430,2430,0.98999999999999999,1,2454.5454500000001,2430.1620200000002,24.302835300000002,14.0312485,2405.8591799999999,2454.4648499999998
254,2435,1.01,1,2410.8910900000001,2435,1,1,2435,2435,0.98999999999999999,1,2459.5959600000001,2435.1623500000001,24.352841099999999,14.0601194,2410.80951,2459.5151900000001
254.09999999999999,2440,1.01,1,2415.8415799999998,2440,1,1,2440,2440,0.98999999999999999,1,2464.6464599999999,2440.1626799999999,24.4028469,14.088990300000001,2415.7598400000002,2464.5655299999999
254.19999999999999,2442,1.01,1,2417.8217800000002,2442,1,1,2442,2442,0.98999999999999999,1,2466.6666700000001,2442.16282,24.422849299999999,14.1005386,2417.7399700000001,2466.5856699999999
254.30000000000001,2447,1.01,1,2422.7722800000001,2447,1,1,2447,2447,0.98999999999999999,1,2471.7171699999999,2447.1631499999999,24.4728551,14.1294095,2422.69029,2471.636
254.40000000000001,2454,1.01,1,2429.7029699999998,2454,1,1,2454,2454,0.98999999999999999,1,2478.7878799999999,2454.1636199999998,24.5428633,14.1698287,2429.62075,2478.7064799999998
254.5,2459,1.01,1,2434.6534700000002,2459,1,1,2459,2459,0.98999999999999999,1,2483.8383800000001,2459.1639500000001,24.592869100000001,14.198699599999999,2434.5710800000002,2483.7568200000001
254.59999999999999,2463,1.01,1,2438.6138599999999,2463,1,1,2463,2463,0.98999999999999999,1,2487.8787900000002,2463.1642200000001,24.632873799999999,14.221796299999999,2438.53134,2487.79709
254.69999999999999,2470,1.01,1,2445.5445500000001,2470,1,1,2470,2470,0.98999999999999999,1,2494.94949,2470.1646799999999,24.702881999999999,14.2622155,2445.4618,2494.8675699999999
254.80000000000001,2476,1.01,1,2451.48515,2476,1,1,2476,2476,0.98999999999999999,1,2501.0101,2476.1650800000002,24.762889000000001,14.2968606,2451.4021899999998,2500.9279700000002
254.90000000000001,2479,1.01,1,2454.4554499999999,2479,1,1,2479,2479,0.98999999999999999,1,2504.0403999999999,2479.1652800000002,24.792892500000001,14.314183099999999,2454.37239,2503.9581800000001
255,2485,1.01,1,2460.3960400000001,2485,1,1,2485,2485,0.98999999999999999,1,2510.1010099999999,2485.1656800000001,24.852899499999999,14.3488282,2460.3127800000002,2510.0185799999999
255.09999999999999,2493,1.01,1,2468.3168300000002,2493,1,1,2493,2493,0.98999999999999999,1,2518.1818199999998,2493.1662200000001,24.9329088,14.3950216,2468.2333100000001,2518.0991300000001
255.19999999999999,2497,1.01,1,2472.2772300000001,2497,1,1,2497,2497,0.98999999999999999,1,2522.2222200000001,2497.1664799999999,24.972913500000001,14.4181183,2472.1935699999999,2522.1394
255.30000000000001,2505,1.01,1,2480.1980199999998,2505,1,1,2505,2505,0.98999999999999999,1,2530.30303,2505.1670199999999,25.052922800000001,14.4643117,2480.11409,2530.21994
255.40000000000001,2512,1.01,1,2487.12871,2512,1,1,2512,2512,0.98999999999999999,1,2537.37374,2512.1674800000001,25.122931000000001,14.504731,2487.0445500000001,2537.2904100000001
255.5,2519,1.01,1,2494.0594099999998,2519,1,1,2519,2519,0.98999999999999999,1,2544.4444400000002,2519.16795,25.1929391,14.5451502,2493.9750100000001,2544.3608899999999
255.59999999999999,2524,1.01,1,2499.0099,2524,1,1,2524,2524,0.98999999999999999,1,2549.4949499999998,2524.1682799999999,25.242944999999999,14.5740211,2498.9253399999998,2549.4112300000002
255.69999999999999,2531,1.01,1,2505.9405900000002,2531,1,1,2531,2531,0.98999999999999999,1,2556.5656600000002,2531.1687499999998,25.312953100000001,14.6144403,2505.8557999999998,2556.4816999999998
255.80000000000001,2537,1.01,1,2511.8811900000001,2537,1,1,2537,2537,0.98999999999999999,1,2562.62626,2537.1691500000002,25.3729601,14.649085400000001,2511.79619,2562.5421099999999
255.90000000000001,2543,1.01,1,2517.8217800000002,2543,1,1,2543,2543,0.98999999999999999,1,2568.68687,2543.1695500000001,25.432967099999999,14.6837304,2517.7365799999998,2568.6025199999999
256,2553,1.01,1,2527.7227699999999,2553,1,1,2553,2553,0.98999999999999999,1,2578.7878799999999,2553.17022,25.532978799999999,14.7414722,2527.63724,2578.7031999999999
256.10000000000002,2560,1.01,1,2534.6534700000002,2560,1,1,2560,2560,0.98999999999999999,1,2585.8585899999998,2560.1706800000002,25.602986999999999,14.781891399999999,2534.5677000000001,2585.77367
256.19999999999999,2565,1.01,1,2539.6039599999999,2565,1,1,2565,2565,0.98999999999999999,1,2590.9090900000001,2565.1710200000002,25.6529928,14.8107623,2539.51802,2590.8240099999998
256.30000000000001,2574,1.01,1,2548.51485,2574,1,1,2574,2574,0.98999999999999999,1,2600,2574.1716200000001,25.743003300000002,14.8627299,2548.4286099999999,2599.91462
256.39999999999998,2583,1.01,1,2557.4257400000001,2583,1,1,2583,2583,0.98999999999999999,1,2609.0909099999999,2583.1722199999999,25.8330138,14.914697500000001,2557.3391999999999,2609.0052300000002
256.5,2590,1.01,1,2564.35644,2590,1,1,2590,2590,0.98999999999999999,1,2616.1616199999999,2590.1726800000001,25.903022,14.9551167,2564.2696599999999,2616.0757100000001
256.60000000000002,2597,1.01,1,2571.2871300000002,2597,1,1,2597,2597,0.98999999999999999,1,2623.2323200000001,2597.1731500000001,25.973030099999999,14.9955359,2571.20012,2623.1461800000002
256.69999999999999,2605,1.01,1,2579.2079199999998,2605,1,1,2605,2605,0.98999999999999999,1,2631.31313,2605.1736799999999,26.053039500000001,15.0417293,2579.1206400000001,2631.2267200000001
256.80000000000001,2616,1.01,1,2590.0990099999999,2616,1,1,2616,2616,0.98999999999999999,1,2642.4242399999998,2616.1744199999998,26.1630523,15.1052453,2590.0113700000002,2642.3374699999999
256.89999999999998,2622,1.01,1,2596.0396000000001,2622,1,1,2622,2622,0.98999999999999999,1,2648.4848499999998,2622.1748200000002,26.223059299999999,15.139890299999999,2595.9517599999999,2648.39788
257,2630,1.01,1,2603.9603999999999,2630,1,1,2630,2630,0.98999999999999999,1,2656.5656600000002,2630.17535,26.3030686,15.1860838,2603.87228,2656.4784199999999
257.10000000000002,2640,1.01,1,2613.86139,2640,1,1,2640,2640,0.98999999999999999,1,2666.6666700000001,2640.1760199999999,26.403080299999999,15.2438255,2613.7729399999998,2666.5790999999999
257.19999999999999,2646,1.01,1,2619.8019800000002,2646,1,1,2646,2646,0.98999999999999999,1,2672.7272699999999,2646.1764199999998,26.463087300000002,15.2784706,2619.71333,2672.6395000000002
257.30000000000001,2657,1.01,1,2630.6930699999998,2657,1,1,2657,2657,0.98999999999999999,1,2683.8383800000001,2657.17715,26.573100100000001,15.341986500000001,2630.6040499999999,2683.7502500000001
257.39999999999998,2665,1.01,1,2638.6138599999999,2665,1,1,2665,2665,0.98999999999999999,1,2691.9191900000001,2665.1776799999998,26.653109499999999,15.388179900000001,2638.52457,2691.83079
257.5,2674,1.01,1,2647.52475,2674,1,1,2674,2674,0.98999999999999999,1,2701.0101,2674.1782800000001,26.743120000000001,15.4401475,2647.43516,2700.9214000000002
257.60000000000002,2682,1.01,1,2655.4455400000002,2682,1,1,2682,2682,0.98999999999999999,1,2709.0909099999999,2682.1788200000001,26.823129300000002,15.4863409,2655.3556899999999,2709.0019499999999
257.69999999999999,2692,1.01,1,2665.3465299999998,2692,1,1,2692,2692,0.98999999999999999,1,2719.1919200000002,2692.1794799999998,26.923141000000001,15.544082700000001,2665.2563399999999,2719.1026299999999
257.80000000000001,2701,1.01,1,2674.2574300000001,2701,1,1,2701,2701,0.98999999999999999,1,2728.2828300000001,2701.1800800000001,27.013151499999999,15.5960503,2674.1669299999999,2728.1932400000001
