Wavelength [nm]	Wavenumbers [1/cm]	trans_azobenzene_epsilons
349.500	28612.30	7401
349.600	28604.12	7321
349.700	28595.94	7248
349.800	28587.76	7166
349.900	28579.59	7091
350.000	28571.43	7011
350.100	28563.27	6927
350.200	28555.11	6851
350.300	28546.96	6768
350.400	28538.81	6693
350.500	28530.67	6602
350.600	28522.53	6524
350.700	28514.40	6434
350.800	28506.27	6359
350.900	28498.15	6272
351.000	28490.03	6195
351.100	28481.91	6110
351.200	28473.80	6030
351.300	28465.70	5948
351.400	28457.60	5864
351.500	28449.50	5784
351.600	28441.41	5702
351.700	28433.32	5623
351.800	28425.24	5533
351.900	28417.16	5454
352.000	28409.09	5373
352.100	28401.02	5290
352.200	28392.96	5203
352.300	28384.90	5129
352.400	28376.84	5046
352.500	28368.79	4967
352.600	28360.75	4893
352.700	28352.71	4808
352.800	28344.67	4731
352.900	28336.64	4651
353.000	28328.61	4582
353.100	28320.59	4496
353.200	28312.57	4423
353.300	28304.56	4343
353.400	28296.55	4268
353.500	28288.54	4191
353.600	28280.54	4120
353.700	28272.55	4046
353.800	28264.56	3974
353.900	28256.57	3906
354.000	28248.59	3831
354.100	28240.61	3763
354.200	28232.64	3693
354.300	28224.67	3625
354.400	28216.70	3555
354.500	28208.74	3489
354.600	28200.79	3418
354.700	28192.84	3355
354.800	28184.89	3289
354.900	28176.95	3226
355.000	28169.01	3160
355.100	28161.08	3100
355.200	28153.15	3042
355.300	28145.23	2979
355.400	28137.31	2923
355.500	28129.40	2858
355.600	28121.48	2807
355.700	28113.58	2747
355.800	28105.68	2695
355.900	28097.78	2633
356.000	28089.89	2583
356.100	28082.00	2524
356.200	28074.12	2475
356.300	28066.24	2424
356.400	28058.36	2374
356.500	28050.49	2324
356.600	28042.62	2276
356.700	28034.76	2227
356.800	28026.91	2184
356.900	28019.05	2138
357.000	28011.20	2090
357.100	28003.36	2046
357.200	27995.52	2002
357.300	27987.69	1959
357.400	27979.85	1911
357.500	27972.03	1872
357.600	27964.21	1830
357.700	27956.39	1793
357.800	27948.57	1756
357.900	27940.77	1716
358.000	27932.96	1681
358.100	27925.16	1645
358.200	27917.36	1611
358.300	27909.57	1574
358.400	27901.79	1539
358.500	27894.00	1507
358.600	27886.22	1471
358.700	27878.45	1438
358.800	27870.68	1407
358.900	27862.91	1356
359.000	27855.15	1326
359.100	27847.40	1298
359.200	27839.64	1270
359.300	27831.90	1241
359.400	27824.15	1213
359.500	27816.41	1191
359.600	27808.68	1164
359.700	27800.95	1138
359.800	27793.22	1115
359.900	27785.50	1085
360.000	27777.78	1036
360.100	27770.06	1014
360.200	27762.35	990.5
360.300	27754.65	970.7
360.400	27746.95	948.9
360.500	27739.25	928.7
360.600	27731.56	908
360.700	27723.87	889.5
360.800	27716.19	870.6
360.900	27708.51	851.9
361.000	27700.83	834.1
361.100	27693.16	815.9
361.200	27685.49	799.1
361.300	27677.83	781.8
361.400	27670.17	765.7
361.500	27662.52	748.5
361.600	27654.87	733.8
361.700	27647.22	717.8
361.800	27639.58	702.7
361.900	27631.94	687.6
362.000	27624.31	674
362.100	27616.68	660
362.200	27609.06	646.3
362.300	27601.44	633.2
362.400	27593.82	619.7
362.500	27586.21	607.6
362.600	27578.60	594.8
362.700	27571.00	583
362.800	27563.40	570.1
362.900	27555.80	559.1
363.000	27548.21	547.4
363.100	27540.62	536.5
363.200	27533.04	525.2
363.300	27525.46	515.1
363.400	27517.89	505
363.500	27510.32	494.7
363.600	27502.75	485
363.700	27495.19	475.2
363.800	27487.63	466.3
363.900	27480.08	456.6
364.000	27472.53	448.2
364.100	27464.98	438.5
364.200	27457.44	430.3
364.300	27449.90	421.8
364.400	27442.37	413.9
364.500	27434.84	405.9
364.600	27427.32	398
364.700	27419.80	390.3
364.800	27412.28	382.8
364.900	27404.77	375.9
365.000	27397.26	368.8
365.100	27389.76	362
365.200	27382.26	355.1
365.300	27374.76	348.8
365.400	27367.27	342
365.500	27359.78	335.8
365.600	27352.30	329.4
365.700	27344.82	323.8
365.800	27337.34	317.5
365.900	27329.87	312
366.000	27322.40	306.4
366.100	27314.94	301.1
366.200	27307.48	295.9
366.300	27300.03	290.6
366.400	27292.58	285.7
366.500	27285.13	280.5
366.600	27277.69	275.9
366.700	27270.25	270.9
366.800	27262.81	266.4
366.900	27255.38	261.9
367.000	27247.96	257.6
367.100	27240.53	253.4
367.200	27233.12	249.3
367.300	27225.70	245
367.400	27218.29	241.2
367.500	27210.88	237.5
367.600	27203.48	233.9
367.700	27196.08	230.3
367.800	27188.69	226.7
367.900	27181.30	223.2
368.000	27173.91	219.7
368.100	27166.53	216.6
368.200	27159.15	213.1
368.300	27151.78	209.9
368.400	27144.41	206.8
368.500	27137.04	203.9
368.600	27129.68	201.1
368.700	27122.32	198.2
368.800	27114.97	195.5
368.900	27107.62	192.9
369.000	27100.27	190.3
369.100	27092.93	187.7
369.200	27085.59	185.6
369.300	27078.26	183.1
369.400	27070.93	180.7
369.500	27063.60	178
369.600	27056.28	175.8
369.700	27048.96	173.4
369.800	27041.64	171.6
369.900	27034.33	169.5
370.000	27027.03	167.5
370.100	27019.72	165.7
370.200	27012.43	163.6
370.300	27005.13	162
370.400	26997.84	160.4
370.500	26990.55	158.5
370.600	26983.27	156.8
370.700	26975.99	155.2
370.800	26968.72	153.5
370.900	26961.45	152
371.000	26954.18	150.6
371.100	26946.91	149.2
371.200	26939.66	147.7
371.300	26932.40	146.5
371.400	26925.15	145
371.500	26917.90	143.6
371.600	26910.66	142.6
371.700	26903.42	141.4
371.800	26896.18	140.3
371.900	26888.95	138.9
372.000	26881.72	137.8
372.100	26874.50	136.7
372.200	26867.28	135.8
372.300	26860.06	134.8
372.400	26852.85	133.9
372.500	26845.64	132.8
372.600	26838.43	132
372.700	26831.23	131.1
372.800	26824.03	130.4
372.900	26816.84	129.5
373.000	26809.65	128.7
373.100	26802.47	127.9
373.200	26795.28	127.6
373.300	26788.11	126.7
373.400	26780.93	126
373.500	26773.76	125.4
373.600	26766.60	124.7
373.700	26759.43	124.3
373.800	26752.27	123.7
373.900	26745.12	123.2
374.000	26737.97	122.8
374.100	26730.82	122.3
374.200	26723.68	121.8
374.300	26716.54	121.3
374.400	26709.40	121.1
374.500	26702.27	120.5
374.600	26695.14	120.1
374.700	26688.02	119.7
374.800	26680.90	119.4
374.900	26673.78	119.3
375.000	26666.67	118.9
375.100	26659.56	118.8
375.200	26652.45	118.2
375.300	26645.35	117.9
375.400	26638.25	117.8
375.500	26631.16	117.6
375.600	26624.07	117.7
375.700	26616.98	117.4
375.800	26609.90	117.1
375.900	26602.82	116.9
376.000	26595.74	117
376.100	26588.67	116.7
376.200	26581.61	116.6
376.300	26574.54	116.6
376.400	26567.48	116.5
376.500	26560.42	116.4
376.600	26553.37	116.5
376.700	26546.32	116.3
376.800	26539.28	116.3
376.900	26532.24	116.3
377.000	26525.20	116.2
377.100	26518.16	116.2
377.200	26511.13	116.2
377.300	26504.11	116.3
377.400	26497.09	116.2
377.500	26490.07	116.3
377.600	26483.05	116.4
377.700	26476.04	116.5
377.800	26469.03	116.5
377.900	26462.03	116.7
378.000	26455.03	117
378.100	26448.03	117.4
378.200	26441.04	117.2
378.300	26434.05	117.2
378.400	26427.06	117.4
378.500	26420.08	117.6
378.600	26413.10	117.7
378.700	26406.13	118
378.800	26399.16	118.3
378.900	26392.19	118.5
379.000	26385.22	118.6
379.100	26378.26	118.8
379.200	26371.31	119
379.300	26364.36	119.4
379.400	26357.41	119.5
379.500	26350.46	119.6
379.600	26343.52	120.1
379.700	26336.58	120.3
379.800	26329.65	120.3
379.900	26322.72	120.7
380.000	26315.79	120.9
380.100	26308.87	121
380.200	26301.95	121.5
380.300	26295.03	121.9
380.400	26288.12	122.2
380.500	26281.21	122.4
380.600	26274.30	122.5
380.700	26267.40	122.9
380.800	26260.50	123.3
380.900	26253.61	123.6
381.000	26246.72	123.9
381.100	26239.83	124.3
381.200	26232.95	124.6
381.300	26226.07	124.9
381.400	26219.19	125.3
381.500	26212.32	125.9
381.600	26205.45	126
381.700	26198.59	126.5
381.800	26191.72	126.8
381.900	26184.87	127.2
382.000	26178.01	127.7
382.100	26171.16	128
382.200	26164.31	128.4
382.300	26157.47	128.8
382.400	26150.63	129
382.500	26143.79	129.6
382.600	26136.96	129.9
382.700	26130.13	130.3
382.800	26123.30	131.1
382.900	26116.48	131.4
383.000	26109.66	131.7
383.100	26102.85	132.2
383.200	26096.03	132.7
383.300	26089.23	133
383.400	26082.42	133.5
383.500	26075.62	134
383.600	26068.82	134.4
383.700	26062.03	134.7
383.800	26055.24	135.3
383.900	26048.45	135.7
384.000	26041.67	136.5
384.100	26034.89	136.9
384.200	26028.11	137.4
384.300	26021.34	137.8
384.400	26014.57	138.2
384.500	26007.80	138.7
384.600	26001.04	138.9
384.700	25994.28	139.8
384.800	25987.53	140.1
384.900	25980.77	140.6
385.000	25974.03	141
385.100	25967.28	141.7
385.200	25960.54	142.2
385.300	25953.80	142.7
385.400	25947.07	143.2
385.500	25940.34	143.6
385.600	25933.61	144.1
385.700	25926.89	144.7
385.800	25920.17	145.4
385.900	25913.45	145.8
386.000	25906.74	146.5
386.100	25900.03	146.7
386.200	25893.32	147.4
386.300	25886.62	148
386.400	25879.92	148.5
386.500	25873.22	149.1
386.600	25866.53	149.7
386.700	25859.84	150.2
386.800	25853.15	150.7
386.900	25846.47	151.3
387.000	25839.79	151.9
387.100	25833.12	152.5
387.200	25826.45	152.9
387.300	25819.78	153.6
387.400	25813.11	154.2
387.500	25806.45	155
387.600	25799.79	155.6
387.700	25793.14	156.1
387.800	25786.49	156.7
387.900	25779.84	157.3
388.000	25773.20	157.8
388.100	25766.56	158.5
388.200	25759.92	158.9
388.300	25753.28	159.5
388.400	25746.65	160.2
388.500	25740.03	160.8
388.600	25733.40	161.4
388.700	25726.78	162
388.800	25720.16	162.6
388.900	25713.55	163.2
389.000	25706.94	163.9
389.100	25700.33	164.4
389.200	25693.73	165
389.300	25687.13	165.8
389.400	25680.53	166.4
389.500	25673.94	167
389.600	25667.35	167.6
389.700	25660.76	168.1
389.800	25654.18	168.9
389.900	25647.60	169.7
390.000	25641.03	170.1
390.100	25634.45	170.8
390.200	25627.88	171.5
390.300	25621.32	172.1
390.400	25614.75	172.8
390.500	25608.19	173.5
390.600	25601.64	174.1
390.700	25595.09	174.8
390.800	25588.54	175.4
390.900	25581.99	176.3
391.000	25575.45	176.9
391.100	25568.91	177.4
391.200	25562.37	178
391.300	25555.84	178.8
391.400	25549.31	179.4
391.500	25542.78	180.1
391.600	25536.26	180.8
391.700	25529.74	181.5
391.800	25523.23	182.1
391.900	25516.71	182.9
392.000	25510.20	183.6
392.100	25503.70	184.1
392.200	25497.20	184.9
392.300	25490.70	185.7
392.400	25484.20	186.3
392.500	25477.71	187.1
392.600	25471.22	187.7
392.700	25464.73	188.5
392.800	25458.25	189.1
392.900	25451.77	189.8
393.000	25445.29	190.5
393.100	25438.82	191.3
393.200	25432.35	192
393.300	25425.88	192.8
393.400	25419.42	193.5
393.500	25412.96	194.3
393.600	25406.50	195
393.700	25400.05	195.6
393.800	25393.60	196.3
393.900	25387.15	197.2
394.000	25380.71	197.8
394.100	25374.27	198.4
394.200	25367.83	199.2
394.300	25361.40	199.6
394.400	25354.97	200.6
394.500	25348.54	201.4
394.600	25342.12	202.2
394.700	25335.70	202.8
394.800	25329.28	203.7
394.900	25322.87	204.4
395.000	25316.46	205.1
395.100	25310.05	206.1
395.200	25303.64	206.5
395.300	25297.24	207.4
395.400	25290.84	207.9
395.500	25284.45	208.8
395.600	25278.06	209.7
395.700	25271.67	210.3
395.800	25265.29	211
395.900	25258.90	211.2
396.000	25252.53	212.5
396.100	25246.15	213.3
396.200	25239.78	214.1
396.300	25233.41	214.8
396.400	25227.04	215.5
396.500	25220.68	216.3
396.600	25214.32	217
396.700	25207.97	217.8
396.800	25201.61	218.7
396.900	25195.26	219.3
397.000	25188.92	220.1
397.100	25182.57	221
397.200	25176.23	222.1
397.300	25169.90	222.8
397.400	25163.56	223.4
397.500	25157.23	224.2
397.600	25150.91	225
397.700	25144.58	225.7
397.800	25138.26	226.4
397.900	25131.94	227.3
398.000	25125.63	228
398.100	25119.32	228.8
398.200	25113.01	229.6
398.300	25106.70	230.4
398.400	25100.40	231.2
398.500	25094.10	231.9
398.600	25087.81	232.7
398.700	25081.51	233.6
398.800	25075.23	234.4
398.900	25068.94	235.2
399.000	25062.66	235.8
399.100	25056.38	236.8
399.200	25050.10	237.4
399.300	25043.83	238.3
399.400	25037.56	239
399.500	25031.29	239.8
399.600	25025.03	240.8
399.700	25018.76	241.4
399.800	25012.51	242.3
399.900	25006.25	243.1
400.000	25000.00	243.8
400.100	24993.75	244.6
400.200	24987.51	245.4
400.300	24981.26	246.1
400.400	24975.02	247.1
400.500	24968.79	247.9
400.600	24962.56	248.7
400.700	24956.33	249.6
400.800	24950.10	250.4
400.900	24943.88	251.2
401.000	24937.66	252
401.100	24931.44	253
401.200	24925.22	253.7
401.300	24919.01	254.6
401.400	24912.81	255.2
401.500	24906.60	255.9
401.600	24900.40	256.7
401.700	24894.20	257.7
401.800	24888.00	258.5
401.900	24881.81	259.2
402.000	24875.62	260
402.100	24869.44	261
402.200	24863.25	261.8
402.300	24857.07	262.6
402.400	24850.89	263.5
402.500	24844.72	264.4
402.600	24838.55	265.1
402.700	24832.38	265.9
402.800	24826.22	266.8
402.900	24820.05	267.8
403.000	24813.90	268.7
403.100	24807.74	269.3
403.200	24801.59	270.1
403.300	24795.44	271
403.400	24789.29	271.7
403.500	24783.15	272.4
403.600	24777.01	273.4
403.700	24770.87	274.3
403.800	24764.74	275.1
403.900	24758.60	276
404.000	24752.48	276.8
404.100	24746.35	278
404.200	24740.23	278.5
404.300	24734.11	279.3
404.400	24727.99	280.1
404.500	24721.88	280.9
404.600	24715.77	281.8
404.700	24709.66	282.5
404.800	24703.56	283.5
404.900	24697.46	284.3
405.000	24691.36	285.4
405.100	24685.26	285.9
405.200	24679.17	286.8
405.300	24673.08	287.7
405.400	24667.00	288.5
405.500	24660.91	289.3
405.600	24654.83	290.2
405.700	24648.76	290.8
405.800	24642.68	291.7
405.900	24636.61	292.5
406.000	24630.54	293.4
406.100	24624.48	294.3
406.200	24618.41	295.2
406.300	24612.36	296
406.400	24606.30	296.7
406.500	24600.25	297.7
406.600	24594.20	298.5
406.700	24588.15	299.4
406.800	24582.10	300.1
406.900	24576.06	301.1
407.000	24570.02	301.9
407.100	24563.99	302.8
407.200	24557.96	303.7
407.300	24551.93	304.5
407.400	24545.90	305.1
407.500	24539.88	306
407.600	24533.86	306.9
407.700	24527.84	307.6
407.800	24521.82	308.6
407.900	24515.81	309.3
408.000	24509.80	310.2
408.100	24503.80	311
408.200	24497.80	311.9
408.300	24491.80	312.7
408.400	24485.80	313.5
408.500	24479.80	314.4
408.600	24473.81	315.2
408.700	24467.82	316
408.800	24461.84	316.8
408.900	24455.86	317.9
409.000	24449.88	318.6
409.100	24443.90	319.6
409.200	24437.93	320.3
409.300	24431.96	321.3
409.400	24425.99	321.8
409.500	24420.02	322.7
409.600	24414.06	324
409.700	24408.10	324.6
409.800	24402.15	325.3
409.900	24396.19	326.1
410.000	24390.24	327
410.100	24384.30	327.6
410.200	24378.35	328.7
410.300	24372.41	329.4
410.400	24366.47	330.2
410.500	24360.54	331.2
410.600	24354.60	332
410.700	24348.67	332.8
410.800	24342.75	333.7
410.900	24336.82	334.3
411.000	24330.90	335.5
411.100	24324.98	335.9
411.200	24319.07	337
411.300	24313.15	338
411.400	24307.24	338.7
411.500	24301.34	339.3
411.600	24295.43	340.2
411.700	24289.53	341
411.800	24283.63	341.8
411.900	24277.74	342.7
412.000	24271.84	343.4
412.100	24265.95	344.2
412.200	24260.07	345
412.300	24254.18	345.9
412.400	24248.30	346.7
412.500	24242.42	347.6
412.600	24236.55	348.4
412.700	24230.68	349.1
412.800	24224.81	350
412.900	24218.94	351
413.000	24213.08	351.6
413.100	24207.21	352.5
413.200	24201.36	353.4
413.300	24195.50	354
413.400	24189.65	355.1
413.500	24183.80	355.8
413.600	24177.95	356.6
413.700	24172.11	357.4
413.800	24166.26	358.1
413.900	24160.43	359
414.000	24154.59	359.9
414.100	24148.76	360.6
414.200	24142.93	361.3
414.300	24137.10	362
414.400	24131.27	362.8
414.500	24125.45	363.7
414.600	24119.63	364.5
414.700	24113.82	365.1
414.800	24108.00	365.9
414.900	24102.19	366.7
415.000	24096.39	367.6
415.100	24090.58	368.2
415.200	24084.78	369.1
415.300	24078.98	369.9
415.400	24073.18	370.7
415.500	24067.39	371.4
415.600	24061.60	372.4
415.700	24055.81	373.1
415.800	24050.02	373.8
415.900	24044.24	374.6
416.000	24038.46	375.3
416.100	24032.68	376.2
416.200	24026.91	376.9
416.300	24021.14	377.7
416.400	24015.37	378.3
416.500	24009.60	379.2
416.600	24003.84	379.9
416.700	23998.08	380.9
416.800	23992.32	381.5
416.900	23986.57	382.4
417.000	23980.82	383.1
417.100	23975.07	383.9
417.200	23969.32	384.5
417.300	23963.58	385.3
417.400	23957.83	386.3
417.500	23952.10	387.1
417.600	23946.36	387.8
417.700	23940.63	388.5
417.800	23934.90	389
417.900	23929.17	389.8
418.000	23923.44	390.6
418.100	23917.72	391.4
418.200	23912.00	392.1
418.300	23906.29	392.9
418.400	23900.57	393.5
418.500	23894.86	394.3
418.600	23889.15	395.1
418.700	23883.45	395.7
418.800	23877.75	396.3
418.900	23872.05	397.3
419.000	23866.35	397.9
419.100	23860.65	398.8
419.200	23854.96	399.4
419.300	23849.27	400.1
419.400	23843.59	400.8
419.500	23837.90	401.8
419.600	23832.22	402.4
419.700	23826.54	403
419.800	23820.87	403.7
419.900	23815.19	404.5
420.000	23809.52	405.1
420.100	23803.86	405.8
420.200	23798.19	406.5
420.300	23792.53	407.1
420.400	23786.87	407.8
420.500	23781.21	408.5
420.600	23775.56	409.2
420.700	23769.91	409.9
420.800	23764.26	410.6
420.900	23758.61	411.2
421.000	23752.97	412
421.100	23747.33	412.6
421.200	23741.69	413.5
421.300	23736.06	414
421.400	23730.42	414.6
421.500	23724.79	415.4
421.600	23719.17	416
421.700	23713.54	416.6
421.800	23707.92	417.3
421.900	23702.30	418
422.000	23696.68	418.6
422.100	23691.07	419.4
422.200	23685.46	420.1
422.300	23679.85	420.7
422.400	23674.24	421.3
422.500	23668.64	421.9
422.600	23663.04	422.5
422.700	23657.44	423.2
422.800	23651.84	423.9
422.900	23646.25	424.4
423.000	23640.66	425.1
423.100	23635.07	425.6
423.200	23629.49	426.4
423.300	23623.91	427
423.400	23618.33	427.8
423.500	23612.75	428.2
423.600	23607.18	428.9
423.700	23601.60	429.5
423.800	23596.04	430.1
423.900	23590.47	430.8
424.000	23584.91	431.5
424.100	23579.34	432
424.200	23573.79	432.6
424.300	23568.23	433.2
424.400	23562.68	433.8
424.500	23557.13	434.4
424.600	23551.58	435
424.700	23546.03	435.7
424.800	23540.49	436.1
424.900	23534.95	436.9
425.000	23529.41	437.5
425.100	23523.88	438
425.200	23518.34	438.6
425.300	23512.81	439.1
425.400	23507.29	439.7
425.500	23501.76	440.4
425.600	23496.24	440.9
425.700	23490.72	441.4
425.800	23485.20	442
425.900	23479.69	442.6
426.000	23474.18	443.1
426.100	23468.67	443.6
426.200	23463.16	444.3
426.300	23457.66	444.8
426.400	23452.16	445.3
426.500	23446.66	445.8
426.600	23441.16	446.3
426.700	23435.67	447
426.800	23430.18	447.5
426.900	23424.69	448
427.000	23419.20	448.5
427.100	23413.72	449
427.200	23408.24	449.6
427.300	23402.76	450.3
427.400	23397.29	450.7
427.500	23391.81	451.2
427.600	23386.34	451.5
427.700	23380.87	452.1
427.800	23375.41	452.6
427.900	23369.95	453.2
428.000	23364.49	453.7
428.100	23359.03	454.3
428.200	23353.57	454.7
428.300	23348.12	455.1
428.400	23342.67	455.7
428.500	23337.22	456.3
428.600	23331.78	456.6
428.700	23326.34	457.1
428.800	23320.90	457.6
428.900	23315.46	458
429.000	23310.02	458.4
429.100	23304.59	458.9
429.200	23299.16	459.4
429.300	23293.73	459.9
429.400	23288.31	460.3
429.500	23282.89	460.8
429.600	23277.47	461.2
429.700	23272.05	461.6
429.800	23266.64	462
429.900	23261.22	462.5
430.000	23255.81	463.1
430.100	23250.41	463.5
430.200	23245.00	463.9
430.300	23239.60	464.5
430.400	23234.20	465.2
430.500	23228.80	465.3
430.600	23223.41	465.6
430.700	23218.02	465.8
430.800	23212.63	466.3
430.900	23207.24	466.7
431.000	23201.86	467.3
431.100	23196.47	467.7
431.200	23191.09	468.2
431.300	23185.72	468.6
431.400	23180.34	469
431.500	23174.97	469.2
431.600	23169.60	469.7
431.700	23164.23	469.9
431.800	23158.87	470.3
431.900	23153.51	470.7
432.000	23148.15	471.3
432.100	23142.79	471.5
432.200	23137.44	471.8
432.300	23132.08	472.2
432.400	23126.73	472.6
432.500	23121.39	473.1
432.600	23116.04	473.3
432.700	23110.70	473.5
432.800	23105.36	474
432.900	23100.02	474.2
433.000	23094.69	474.6
433.100	23089.36	474.9
433.200	23084.03	475.3
433.300	23078.70	475.6
433.400	23073.37	475.8
433.500	23068.05	476.2
433.600	23062.73	476.5
433.700	23057.41	476.8
433.800	23052.10	477.1
433.900	23046.78	477.5
434.000	23041.47	477.9
434.100	23036.17	478.2
434.200	23030.86	478.3
434.300	23025.56	478.6
434.400	23020.26	479
434.500	23014.96	479.4
434.600	23009.66	479.5
434.700	23004.37	479.8
434.800	22999.08	480.2
434.900	22993.79	480.4
435.000	22988.51	480.6
435.100	22983.22	480.9
435.200	22977.94	481.1
435.300	22972.66	481.4
435.400	22967.39	481.7
435.500	22962.11	482.2
435.600	22956.84	482.5
435.700	22951.57	482.6
435.800	22946.31	482.8
435.900	22941.04	483.2
436.000	22935.78	483.6
436.100	22930.52	483.6
436.200	22925.26	483.8
436.300	22920.01	483.9
436.400	22914.76	484.1
436.500	22909.51	484.3
436.600	22904.26	484.6
436.700	22899.02	484.6
436.800	22893.77	484.9
436.900	22888.53	485.1
437.000	22883.30	485.2
437.100	22878.06	485.6
437.200	22872.83	485.7
437.300	22867.60	485.9
437.400	22862.37	486.1
437.500	22857.14	486.2
437.600	22851.92	486.5
437.700	22846.70	486.5
437.800	22841.48	487
437.900	22836.26	487
438.000	22831.05	487.2
438.100	22825.84	487.3
438.200	22820.63	487.6
438.300	22815.42	487.6
438.400	22810.22	487.7
438.500	22805.02	487.9
438.600	22799.82	488
438.700	22794.62	488
438.800	22789.43	488.3
438.900	22784.23	488.5
439.000	22779.04	488.5
439.100	22773.86	488.5
439.200	22768.67	488.8
439.300	22763.49	489
439.400	22758.31	489.3
439.500	22753.13	489.3
439.600	22747.95	489.3
439.700	22742.78	489.3
439.800	22737.61	489.4
439.900	22732.44	489.6
440.000	22727.27	490
440.100	22722.11	489.7
440.200	22716.95	489.8
440.300	22711.79	489.9
440.400	22706.63	489.9
440.500	22701.48	490.1
440.600	22696.32	489.8
440.700	22691.17	490
440.800	22686.03	490.1
440.900	22680.88	490.3
441.000	22675.74	490.3
441.100	22670.60	490.4
441.200	22665.46	490.4
441.300	22660.32	490.3
441.400	22655.19	490.3
441.500	22650.06	490.3
441.600	22644.93	490.4
441.700	22639.80	490.5
441.800	22634.68	490.4
441.900	22629.55	490.4
442.000	22624.43	490.5
442.100	22619.32	490.6
442.200	22614.20	490.8
442.300	22609.09	490.7
442.400	22603.98	490.7
442.500	22598.87	490.6
442.600	22593.76	490.5
442.700	22588.66	490.4
442.800	22583.56	490.4
442.900	22578.46	490.5
443.000	22573.36	490.5
443.100	22568.27	490.7
443.200	22563.18	490.5
443.300	22558.09	490.7
443.400	22553.00	490.4
443.500	22547.91	490.4
443.600	22542.83	490.3
443.700	22537.75	490.2
443.800	22532.67	490.1
443.900	22527.60	490
444.000	22522.52	490
444.100	22517.45	490.1
444.200	22512.38	489.9
444.300	22507.31	489.7
444.400	22502.25	489.8
444.500	22497.19	489.8
444.600	22492.13	489.7
444.700	22487.07	489.6
444.800	22482.01	489.5
444.900	22476.96	489.3
445.000	22471.91	489.3
445.100	22466.86	489.3
445.200	22461.81	489.1
445.300	22456.77	488.9
445.400	22451.73	488.8
445.500	22446.69	488.7
445.600	22441.65	488.6
445.700	22436.62	488.5
445.800	22431.58	488.4
445.900	22426.55	488.1
446.000	22421.52	488.1
446.100	22416.50	488.1
446.200	22411.47	487.9
446.300	22406.45	487.8
446.400	22401.43	487.7
446.500	22396.42	487.5
446.600	22391.40	487.3
446.700	22386.39	487.2
446.800	22381.38	487
446.900	22376.37	486.8
447.000	22371.36	486.6
447.100	22366.36	486.5
447.200	22361.36	486.2
447.300	22356.36	486.5
447.400	22351.36	486.3
447.500	22346.37	485.7
447.600	22341.38	485.5
447.700	22336.39	485.3
447.800	22331.40	485.5
447.900	22326.41	485
448.000	22321.43	484.8
448.100	22316.45	484.5
448.200	22311.47	484.4
448.300	22306.49	484
448.400	22301.52	483.8
448.500	22296.54	483.5
448.600	22291.57	483.4
448.700	22286.61	483.2
448.800	22281.64	482.9
448.900	22276.68	482.7
449.000	22271.71	482.4
449.100	22266.76	482.3
449.200	22261.80	481.9
449.300	22256.84	481.7
449.400	22251.89	481.5
449.500	22246.94	481.3
449.600	22241.99	480.9
449.700	22237.05	480.7
449.800	22232.10	480.5
449.900	22227.16	480.4
450.000	22222.22	480.1
450.100	22217.29	479.7
450.200	22212.35	479.6
450.300	22207.42	479.5
450.400	22202.49	479
450.500	22197.56	478.5
450.600	22192.63	478.4
450.700	22187.71	477.9
450.800	22182.79	477.7
450.900	22177.87	477.3
451.000	22172.95	477.1
451.100	22168.03	476.9
451.200	22163.12	476.8
451.300	22158.21	476.3
451.400	22153.30	476
451.500	22148.39	475.7
451.600	22143.49	475.3
451.700	22138.59	474.9
451.800	22133.69	474.5
451.900	22128.79	474.2
452.000	22123.89	473.8
452.100	22119.00	473.5
452.200	22114.11	473.2
452.300	22109.22	472.9
452.400	22104.33	472.7
452.500	22099.45	472.3
452.600	22094.56	471.7
452.700	22089.68	471.4
452.800	22084.81	471.1
452.900	22079.93	470.6
453.000	22075.06	470.2
453.100	22070.18	469.9
453.200	22065.31	469.6
453.300	22060.45	469.2
453.400	22055.58	469
453.500	22050.72	468.5
453.600	22045.86	468
453.700	22041.00	467.7
453.800	22036.14	467.2
453.900	22031.28	466.9
454.000	22026.43	466.3
454.100	22021.58	466
454.200	22016.73	465.7
454.300	22011.89	465.3
454.400	22007.04	464.9
454.500	22002.20	464.5
454.600	21997.36	464
454.700	21992.52	463.6
454.800	21987.69	463.3
454.900	21982.85	462.9
455.000	21978.02	462.3
455.100	21973.19	461.9
455.200	21968.37	461.3
455.300	21963.54	461.1
455.400	21958.72	460.6
455.500	21953.90	460
455.600	21949.08	459.6
455.700	21944.26	459.1
455.800	21939.45	458.8
455.900	21934.63	458.2
456.000	21929.82	457.8
456.100	21925.02	457.4
456.200	21920.21	457.1
456.300	21915.41	456.7
456.400	21910.60	456.1
456.500	21905.81	455.7
456.600	21901.01	455.2
456.700	21896.21	454.6
456.800	21891.42	454.1
456.900	21886.63	453.5
457.000	21881.84	453.1
457.100	21877.05	452.8
457.200	21872.27	452.2
457.300	21867.48	451.9
457.400	21862.70	451.3
457.500	21857.92	450.8
457.600	21853.15	450.2
457.700	21848.37	449.8
457.800	21843.60	449.1
457.900	21838.83	448.7
458.000	21834.06	448.3
458.100	21829.29	447.7
458.200	21824.53	447.1
458.300	21819.77	446.6
458.400	21815.01	446
458.500	21810.25	445.6
458.600	21805.49	445
458.700	21800.74	444.6
458.800	21795.99	444.2
458.900	21791.24	443.6
459.000	21786.49	443.1
459.100	21781.75	442.4
459.200	21777.00	441.8
