Wavelength [nm]	Wavenumbers [1/cm]	trans_azobenzene_epsilons
276.300	36192.54	6728
276.400	36179.45	6763
276.500	36166.37	6798
276.600	36153.29	6830
276.700	36140.22	6872
276.800	36127.17	6905
276.900	36114.12	6939
277.000	36101.08	6976
277.100	36088.05	7013
277.200	36075.04	7050
277.300	36062.03	7083
277.400	36049.03	7121
277.500	36036.04	7152
277.600	36023.05	7190
277.700	36010.08	7228
277.800	35997.12	7266
277.900	35984.17	7302
278.000	35971.22	7341
278.100	35958.29	7377
278.200	35945.36	7414
278.300	35932.45	7454
278.400	35919.54	7489
278.500	35906.64	7529
278.600	35893.75	7565
278.700	35880.88	7602
278.800	35868.01	7639
278.900	35855.15	7678
279.000	35842.29	7717
279.100	35829.45	7758
279.200	35816.62	7793
279.300	35803.80	7838
279.400	35790.98	7877
279.500	35778.18	7914
279.600	35765.38	7953
279.700	35752.59	7992
279.800	35739.81	8032
279.900	35727.05	8071
280.000	35714.29	8112
280.100	35701.54	8149
280.200	35688.79	8188
280.300	35676.06	8228
280.400	35663.34	8273
280.500	35650.62	8311
280.600	35637.92	8356
280.700	35625.22	8395
280.800	35612.54	8436
280.900	35599.86	8474
281.000	35587.19	8517
281.100	35574.53	8557
281.200	35561.88	8595
281.300	35549.24	8641
281.400	35536.60	8681
281.500	35523.98	8721
281.600	35511.36	8763
281.700	35498.76	8810
281.800	35486.16	8846
281.900	35473.57	8892
282.000	35460.99	8935
282.100	35448.42	8977
282.200	35435.86	9017
282.300	35423.31	9061
282.400	35410.76	9103
282.500	35398.23	9142
282.600	35385.70	9190
282.700	35373.19	9232
282.800	35360.68	9273
282.900	35348.18	9316
283.000	35335.69	9364
283.100	35323.21	9407
283.200	35310.73	9454
283.300	35298.27	9498
283.400	35285.82	9542
283.500	35273.37	9585
283.600	35260.93	9632
283.700	35248.50	9673
283.800	35236.08	9717
283.900	35223.67	9760
284.000	35211.27	9808
284.100	35198.87	9853
284.200	35186.49	9895
284.300	35174.11	9944
284.400	35161.74	9988
284.500	35149.38	1.004E4
284.600	35137.03	1.008E4
284.700	35124.69	1.013E4
284.800	35112.36	1.017E4
284.900	35100.04	1.022E4
285.000	35087.72	1.026E4
285.100	35075.41	1.031E4
285.200	35063.11	1.035E4
285.300	35050.82	1.04E4
285.400	35038.54	1.045E4
285.500	35026.27	1.049E4
285.600	35014.01	1.054E4
285.700	35001.75	1.059E4
285.800	34989.50	1.064E4
285.900	34977.26	1.068E4
286.000	34965.03	1.073E4
286.100	34952.81	1.078E4
286.200	34940.60	1.083E4
286.300	34928.40	1.088E4
286.400	34916.20	1.092E4
286.500	34904.01	1.097E4
286.600	34891.84	1.101E4
286.700	34879.67	1.107E4
286.800	34867.50	1.111E4
286.900	34855.35	1.116E4
287.000	34843.21	1.121E4
287.100	34831.07	1.126E4
287.200	34818.94	1.131E4
287.300	34806.82	1.136E4
287.400	34794.71	1.14E4
287.500	34782.61	1.145E4
287.600	34770.51	1.15E4
287.700	34758.43	1.155E4
287.800	34746.35	1.16E4
287.900	34734.28	1.164E4
288.000	34722.22	1.17E4
288.100	34710.17	1.174E4
