Wavelength [nm]	Wavenumbers [1/cm]	Epsilons ITI-E
445.001	22471.84	1295
446.001	22421.46	1178
447.001	22371.30	1078
448.001	22321.36	962.7
449.001	22271.65	862.1
450.001	22222.16	786.8
451.001	22172.89	703.4
452.001	22123.83	633.8
453.001	22074.99	555
454.001	22026.37	491
455.001	21977.96	445.4
456.001	21929.77	400.1
457.001	21881.78	345.5
458.001	21834.00	306.7
459.001	21786.44	270.8
460.001	21739.07	235.7
461.001	21691.92	209
462.001	21644.97	189.4
463.001	21598.22	173.7
464.001	21551.67	162.6
465.001	21505.32	141.4
466.001	21459.18	136.2
467.001	21413.22	122.9
468.001	21367.47	119.6
469.001	21321.91	108.7
470.001	21276.55	108
471.001	21231.37	101.4
472.001	21186.39	92.49
473.001	21141.60	95.78
474.001	21097.00	89.59
475.001	21052.58	83.65
476.001	21008.36	84.05
477.001	20964.32	83.69
478.001	20920.46	80.11
479.001	20876.78	73.61
480.001	20833.29	80.95
481.001	20789.98	76.17
482.001	20746.85	77.26
483.001	20703.89	82.5
484.001	20661.12	73.88
485.001	20618.52	72.8
486.001	20576.09	76.97
487.001	20533.84	77.26
488.001	20491.76	75.27
489.001	20449.86	76.7
490.001	20408.13	70.32
491.001	20366.56	77.7
492.001	20325.17	71.38
493.001	20283.94	73.34
494.001	20242.88	71.4
495.001	20201.98	80.84
496.001	20161.26	77.65
497.001	20120.69	77.17
498.001	20080.29	69.31
499.001	20040.05	72.95
500.001	19999.97	70.71
501.001	19960.05	73.35
502.001	19920.29	73.72
503.001	19880.68	67.88
504.001	19841.24	71.36
505.001	19801.95	78.37
506.001	19762.82	69.31
507.001	19723.84	70.17
508.001	19685.01	64.49
509.001	19646.34	72.38
510.001	19607.81	70.55
511.001	19569.44	65.12
512.001	19531.22	66.97
513.001	19493.15	63.49
514.001	19455.23	73.45
515.001	19417.45	65.62
516.001	19379.82	75.04
517.001	19342.33	63.22
518.001	19304.99	69.71
519.001	19267.80	64.82
520.001	19230.75	62.94
521.001	19193.83	68.8
522.001	19157.06	67.29
523.001	19120.44	70.32
524.001	19083.95	65.87
525.001	19047.60	60.22
526.001	19011.39	61.79
527.001	18975.31	62.49
528.001	18939.37	62.89
529.001	18903.57	64.98
530.001	18867.90	64.68
531.001	18832.37	60.44
532.001	18796.97	63.18
533.001	18761.71	60.48
534.001	18726.57	65.48
535.001	18691.57	56.39
536.001	18656.70	61.2
537.001	18621.96	65.32
538.000	18587.34	61.87
539.000	18552.86	57.84
540.000	18518.50	60.15
541.000	18484.27	66.73
542.000	18450.17	63.1
543.000	18416.19	63.78
544.000	18382.34	60.35
545.000	18348.61	62.97
546.000	18315.00	58.84
547.000	18281.52	61.79
548.000	18248.16	61.89
549.000	18214.92	55.22
550.000	18181.81	57.73
551.000	18148.81	64.13
552.000	18115.93	52.15
553.000	18083.17	55.31
554.000	18050.53	61.42
555.000	18018.01	58.46
556.000	17985.60	55.6
557.000	17953.31	58.26
558.000	17921.14	60.91
559.000	17889.08	54.7
560.000	17857.13	61.9
561.000	17825.30	50.53
562.000	17793.59	59.09
563.000	17761.98	59.29
564.000	17730.49	53.15
565.000	17699.11	66.5
566.000	17667.84	55.93
567.000	17636.68	56.39
568.000	17605.63	58.07
569.000	17574.69	56.4
570.000	17543.85	56.2
571.000	17513.13	62.89
572.000	17482.51	51.04
573.000	17452.00	59.96
574.000	17421.60	54.62
575.000	17391.30	54.9
576.000	17361.11	56.13
577.000	17331.02	52.34
578.000	17301.03	55.8
