Wavelength [nm]	Wavenumbers [1/cm]	Intensity
300.121	33319.89	232
300.694	33256.38	256.9
301.267	33193.12	238.5
301.840	33130.10	212.8
302.413	33067.32	215.4
302.986	33004.78	224.9
303.560	32942.47	221.8
304.133	32880.39	222.9
304.706	32818.55	226.7
305.279	32756.95	219.1
305.852	32695.57	222.7
306.425	32634.42	212.7
306.998	32573.50	227.9
307.571	32512.81	229.8
308.144	32452.35	226.3
308.717	32392.10	228.5
309.290	32332.09	238
309.863	32272.29	211.8
310.436	32212.71	259.1
311.010	32153.36	227.3
311.583	32094.22	233.5
312.156	32035.30	223.5
312.729	31976.59	240.3
313.302	31918.10	226.5
313.875	31859.83	233.5
314.448	31801.76	226.4
315.021	31743.91	245.5
315.594	31686.27	226.6
316.167	31628.83	241.7
316.740	31571.61	242.9
317.313	31514.59	227.9
317.886	31457.78	224.7
318.460	31401.17	228.5
319.033	31344.76	228.1
319.606	31288.56	232
320.179	31232.56	241
320.752	31176.75	240.8
321.325	31121.15	239.9
321.898	31065.75	201.3
322.471	31010.54	214.1
323.044	30955.52	247.8
323.617	30900.71	242.2
324.190	30846.08	231
324.763	30791.65	235.1
325.336	30737.41	221.2
325.909	30683.37	233.7
326.483	30629.51	233.5
327.056	30575.84	238.5
327.629	30522.35	226.7
328.202	30469.06	245.5
328.775	30415.95	238.5
329.348	30363.02	223.5
329.921	30310.28	218.7
330.494	30257.73	213.2
331.067	30205.35	224
331.640	30153.16	230.3
332.213	30101.14	228
332.786	30049.30	231.7
333.359	29997.65	233.6
333.933	29946.17	237
334.506	29894.86	235
335.079	29843.73	228.9
335.652	29792.78	226.1
336.225	29742.00	221
336.798	29691.39	222.7
337.371	29640.96	222.3
337.944	29590.69	229.5
338.517	29540.60	250
339.090	29490.67	247
339.663	29440.92	231.2
340.236	29391.33	229.4
340.809	29341.91	224.9
341.383	29292.65	211.3
341.956	29243.56	205.1
342.529	29194.63	223.2
343.102	29145.87	218.7
343.675	29097.27	212.9
344.248	29048.83	215.4
344.821	29000.55	231.4
345.394	28952.44	220.3
345.967	28904.48	240.2
346.540	28856.68	240.1
347.113	28809.04	238.3
347.686	28761.55	220.6
348.259	28714.22	211.7
348.833	28667.05	225.2
349.406	28620.03	231.5
349.979	28573.17	228.8
350.552	28526.46	222.4
351.125	28479.90	220.2
351.698	28433.49	228
352.271	28387.24	218.4
352.844	28341.13	210.7
353.417	28295.18	237.3
353.990	28249.37	243.7
354.563	28203.71	240.8
355.136	28158.20	229.7
355.709	28112.83	228.4
356.283	28067.61	250
356.856	28022.54	243.1
357.429	27977.61	226
358.002	27932.82	229.4
358.575	27888.18	226.1
359.148	27843.68	240
359.721	27799.32	232.9
360.294	27755.11	214.3
360.867	27711.03	240.8
361.440	27667.09	242.7
362.013	27623.30	206.5
362.586	27579.64	207.8
363.159	27536.11	209.8
363.733	27492.73	217.1
364.306	27449.48	220.6
364.879	27406.37	243.4
365.452	27363.39	248.2
