Cycle,CurrentTime (YYYYMMDDHHMISS),ElapsedTime (s),Event
47,20240817135010,241.422,LEDoff
47,20240817135010,241.953,Measure
48,20240817135011,243.0,LEDon
48,20240817135015,246.56299999999999,LEDoff
48,20240817135015,247.09399999999999,Measure
49,20240817135016,248.14099999999999,LEDon
49,20240817135020,251.703,LEDoff
49,20240817135021,252.23500000000001,Measure
50,20240817135022,253.28200000000001,LEDon
50,20240817135025,256.84399999999999,LEDoff
50,20240817135026,257.375,Measure
51,20240817135027,258.42200000000003,LEDon
51,20240817135030,261.98500000000001,LEDoff
51,20240817135031,262.51600000000002,Measure
52,20240817135032,263.56299999999999,LEDon
52,20240817135035,267.125,LEDoff
52,20240817135036,267.65699999999998,Measure
53,20240817135037,268.70299999999997,LEDon
53,20240817135041,272.26600000000002,LEDoff
53,20240817135041,272.81299999999999,Measure
54,20240817135042,273.86000000000001,LEDon
54,20240817135046,277.42200000000003,LEDoff
54,20240817135046,277.95299999999997,Measure
55,20240817135047,279.0,LEDon
55,20240817135051,282.56299999999999,LEDoff
55,20240817135051,283.09399999999999,Measure
56,20240817135052,284.14100000000002,LEDon
56,20240817135056,287.70299999999997,LEDoff
56,20240817135057,288.23500000000001,Measure
57,20240817135058,289.28199999999998,LEDon
57,20240817135101,292.84399999999999,LEDoff
57,20240817135102,293.375,Measure
58,20240817135103,294.42200000000003,LEDon
58,20240817135106,297.98500000000001,LEDoff
58,20240817135107,298.51600000000002,Measure
59,20240817135108,299.56299999999999,LEDon
59,20240817135111,303.125,LEDoff
59,20240817135112,303.65699999999998,Measure
60,20240817135113,304.70299999999997,LEDon
60,20240817135117,308.26600000000002,LEDoff
60,20240817135117,308.79700000000003,Measure
61,20240817135118,309.84399999999999,LEDon
61,20240817135122,313.40699999999998,LEDoff
61,20240817135122,313.93799999999999,Measure
62,20240817135123,314.98500000000001,LEDon
62,20240817135127,318.54700000000003,LEDoff
62,20240817135127,319.07799999999997,Measure
63,20240817135128,320.125,LEDon
63,20240817135132,323.68799999999999,LEDoff
63,20240817135133,324.21899999999999,Measure
64,20240817135134,325.26600000000002,LEDon
64,20240817135137,328.82799999999997,LEDoff
64,20240817135138,329.36000000000001,Measure
65,20240817135139,330.40699999999998,LEDon
65,20240817135142,333.96899999999999,LEDoff
65,20240817135143,334.5,Measure
66,20240817135144,335.54700000000003,LEDon
66,20240817135147,339.11000000000001,LEDoff
66,20240817135148,339.64100000000002,Measure
67,20240817135149,340.68799999999999,LEDon
67,20240817135153,344.26600000000002,LEDoff
67,20240817135153,344.79700000000003,Measure
68,20240817135154,345.84399999999999,LEDon
68,20240817135158,349.40699999999998,LEDoff
68,20240817135158,349.93799999999999,Measure
69,20240817135159,350.98500000000001,LEDon
69,20240817135203,354.54700000000003,LEDoff
69,20240817135203,355.07799999999997,Measure
70,20240817135204,356.14100000000002,LEDon
70,20240817135208,359.70299999999997,LEDoff
70,20240817135209,360.23500000000001,Measure
71,20240817135210,361.29700000000003,LEDon
71,20240817135213,364.86000000000001,LEDoff
71,20240817135214,365.39100000000002,Measure
72,20240817135215,366.43799999999999,LEDon
72,20240817135218,370.04700000000003,LEDoff
72,20240817135219,370.57799999999997,Measure
73,20240817135220,371.625,LEDon
