Wavelength [nm]	Wavenumbers [1/cm]	LED395nm_Intensity_baselined
290.379	34437.73	-9.046
290.952	34369.90	-13.25
291.525	34302.34	-16.65
292.098	34235.04	-22.02
292.671	34168.01	-2.66
293.245	34101.23	-13.13
293.818	34034.72	-10.57
294.391	33968.47	-38.69
294.964	33902.47	-7.677
295.537	33836.73	-23.06
296.110	33771.24	-32.54
296.683	33706.01	-20.04
297.256	33641.03	-10.54
297.829	33576.30	-20.94
298.402	33511.82	-9.159
298.975	33447.58	-31.44
299.548	33383.59	-29.62
300.121	33319.85	-11.81
300.695	33256.34	13.12
301.268	33193.08	-5.056
301.841	33130.06	-30.62
302.414	33067.28	-28.93
302.987	33004.74	-18.85
303.560	32942.43	-20.44
304.133	32880.36	-20.34
304.706	32818.52	-16.74
305.279	32756.91	-24.04
305.852	32695.53	-21.45
306.425	32634.38	-31.83
306.998	32573.47	-14.64
307.571	32512.77	-15.94
308.144	32452.31	-17.64
308.718	32392.07	-14.03
309.291	32332.05	-4.879
309.864	32272.25	-31.48
310.437	32212.68	15.69
311.010	32153.32	-14.53
311.583	32094.18	-8.545
312.156	32035.26	-19.94
312.729	31976.56	-4.448
313.302	31918.07	-16.04
313.875	31859.79	-7.352
314.448	31801.73	-17.02
315.021	31743.87	1.031
315.594	31686.23	-17.02
316.168	31628.80	-1.655
316.741	31571.57	-1.259
317.314	31514.55	-15.24
317.887	31457.74	-19.14
318.460	31401.13	-15.44
319.033	31344.73	-14.54
319.606	31288.52	-10.74
320.179	31232.52	-1.044
320.752	31176.72	-1.944
321.325	31121.12	-2.575
321.898	31065.71	-42.13
322.471	31010.50	-29
323.044	30955.49	4.847
323.618	30900.67	-0.7489
324.191	30846.05	-11.23
324.764	30791.62	-6.864
325.337	30737.38	-22.32
325.910	30683.33	-8.349
326.483	30629.47	-9.244
327.056	30575.80	-1.744
327.629	30522.32	-14.14
328.202	30469.03	3.253
328.775	30415.92	-3.954
329.348	30362.99	-17.95
329.921	30310.25	-23.55
330.494	30257.69	-29.42
331.068	30205.32	-17.25
331.641	30153.12	-9.653
332.214	30101.11	-13.34
332.787	30049.27	-10.74
333.360	29997.62	-8.039
333.933	29946.14	-3.846
334.506	29894.83	-5.944
335.079	29843.70	-12.04
335.652	29792.75	-14.94
336.225	29741.97	-20.64
336.798	29691.36	-18.14
337.371	29640.93	-18.03
337.944	29590.66	-9.312
338.518	29540.57	12.45
339.091	29490.64	8.242
339.664	29440.89	-8.939
340.237	29391.30	-13.25
340.810	29341.88	-16.96
341.383	29292.62	-27.94
341.956	29243.53	-36.74
342.529	29194.61	-15.74
343.102	29145.84	-20.34
343.675	29097.24	-25.04
344.248	29048.80	-21.33
344.821	29000.53	-5.455
345.394	28952.41	-15.02
345.967	28904.45	1.156
346.541	28856.65	0.8557
347.114	28809.01	0.0394
347.687	28761.52	-15.74
348.260	28714.20	-23.92
348.833	28667.02	-9.55
349.406	28620.01	-2.746
349.979	28573.14	-5.444
350.552	28526.43	-11.04
351.125	28479.87	-11.94
351.698	28433.47	-4.352
352.271	28387.21	-14.05
352.844	28341.10	-19.51
353.417	28295.15	7.868
353.991	28249.34	15.05
354.564	28203.68	14.14
355.137	28158.17	0.9624
355.710	28112.81	0.4875
356.283	28067.59	23.74
356.856	28022.51	17.46
357.429	27977.58	4.256
358.002	27932.80	9.256
358.575	27888.16	5.865
359.148	27843.66	22.75
359.721	27799.30	17.14
360.294	27755.08	0.3923
360.867	27711.00	27.76
361.441	27667.07	30.83
362.014	27623.27	-0.9201
362.587	27579.61	1.162
363.160	27536.09	6.868
363.733	27492.71	17.65
364.306	27449.46	23.46
364.879	27406.35	49.16
