Wavelength [nm]	Wavenumbers [1/cm]	LED395nm_Intensity_baselined
748.840	13353.99	-26.33
749.413	13343.78	-0.8632
749.986	13333.58	9.151
750.559	13323.40	0.2583
751.132	13313.24	6.056
751.705	13303.09	5.157
752.278	13292.95	7.741
752.851	13282.84	-19.54
753.424	13272.73	-21.02
753.997	13262.65	0.6565
754.570	13252.57	0.8601
755.144	13242.52	3.244
755.717	13232.47	-8.229
756.290	13222.45	9.037
756.863	13212.43	-27.92
757.436	13202.44	-21.35
758.009	13192.46	-20.94
758.582	13182.49	-2.745
759.155	13172.54	4.458
759.728	13162.60	7.846
760.301	13152.68	-11.63
760.874	13142.78	0.457
761.447	13132.88	1.252
762.020	13123.01	-2.191
762.594	13113.15	-32.43
763.167	13103.30	-24.36
763.740	13093.47	-9.661
764.313	13083.65	-7.046
764.886	13073.85	-24.74
765.459	13064.06	-13.75
766.032	13054.28	-2.445
766.605	13044.53	-3.944
767.178	13034.78	-2.247
767.751	13025.05	-9.744
768.324	13015.34	-9.142
768.897	13005.64	-7.846
769.470	12995.95	-9.755
770.044	12986.28	-17.24
770.617	12976.62	-14.25
771.190	12966.98	-5.454
771.763	12957.35	-15.64
772.336	12947.74	-21.44
772.909	12938.14	-24.04
773.482	12928.55	-24.44
774.055	12918.98	-13.54
774.628	12909.42	-12.85
775.201	12899.88	-25.24
775.774	12890.35	-17.43
776.347	12880.83	-3.345
776.920	12871.33	-4.54
777.494	12861.84	-2.547
778.067	12852.37	-4.541
778.640	12842.91	-5.942
779.213	12833.47	-1.848
779.786	12824.03	-10.44
780.359	12814.62	-17.54
780.932	12805.21	-8.945
781.505	12795.82	-11.74
782.078	12786.45	-0.3465
782.651	12777.08	-8.344
783.224	12767.74	-8.615
783.797	12758.40	24.85
784.370	12749.08	17.12
784.944	12739.77	-7.47
785.517	12730.48	-23.32
786.090	12721.20	-8.763
786.663	12711.93	-4.948
787.236	12702.67	-8.941
787.809	12693.43	9.147
788.382	12684.21	-1.341
788.955	12674.99	-0.6446
789.528	12665.79	-16.14
790.101	12656.61	-14.94
790.674	12647.43	-5.063
791.247	12638.27	-28.39
791.820	12629.13	21.32
792.393	12619.99	-0.6532
792.967	12610.87	-6.544
793.540	12601.76	-12.34
794.113	12592.67	-3.354
794.686	12583.59	-6.241
795.259	12574.52	-21.24
795.832	12565.47	2.15
796.405	12556.43	0.2564
796.978	12547.40	2.055
797.551	12538.38	-6.644
798.124	12529.38	-7.135
798.697	12520.39	4.347
799.270	12511.41	-4.96
799.843	12502.45	-17.71
800.417	12493.49	6.039
800.990	12484.56	-3.531
801.563	12475.63	0.951
802.136	12466.72	8.949
802.709	12457.82	9.056
803.282	12448.93	10.66
803.855	12440.05	18.26
804.428	12431.19	2.558
805.001	12422.34	11.86
805.574	12413.51	19.84
806.147	12404.68	3.952
806.720	12395.87	-0.2188
807.293	12387.07	20.04
807.867	12378.28	12.36
808.440	12369.51	11.86
809.013	12360.75	10.16
809.586	12352.00	6.759
810.159	12343.26	5.057
810.732	12334.53	-0.7414
811.305	12325.82	8.155
811.878	12317.12	14.86
812.451	12308.43	16.86
813.024	12299.76	10.55
813.597	12291.09	3.364
814.170	12282.44	11.55
814.743	12273.80	7.658
815.317	12265.18	9.375
815.890	12256.56	20.34
816.463	12247.96	19.76
817.036	12239.37	17.06
817.609	12230.79	16.36
818.182	12222.22	10.76
818.755	12213.67	-2.541
819.328	12205.12	4.257
819.901	12196.59	23.56
820.474	12188.07	16.46
821.047	12179.57	14.36
821.620	12171.07	20.94
822.193	12162.59	11.36
822.766	12154.12	16.47
823.340	12145.66	24.14
823.913	12137.21	19.26
824.486	12128.77	4.472
825.059	12120.35	18.94
825.632	12111.94	33.55
826.205	12103.53	-6.834
826.778	12095.14	23.35
827.351	12086.77	13.16
827.924	12078.40	20.16
828.497	12070.05	20.54
829.070	12061.70	-5.925
829.643	12053.37	11.56
830.216	12045.05	13.05
830.790	12036.74	9.961
831.363	12028.45	4.663
831.936	12020.16	-15.62
832.509	12011.89	17.63
833.082	12003.62	12.16
833.655	11995.37	7.957
834.228	11987.13	2.557
834.801	11978.90	-2.844
835.374	11970.68	-0.1491
835.947	11962.48	-11.34
836.520	11954.28	-4.038
837.093	11946.10	1.774
837.666	11937.93	15.76
838.240	11929.76	17.44
838.813	11921.61	10.86
839.386	11913.47	-4.326
839.959	11905.35	-1.846
840.532	11897.23	3.453
841.105	11889.12	-6.84
841.678	11881.03	-15.84
842.251	11872.94	-7.244
842.824	11864.87	-4.548
843.397	11856.81	-14.33
843.970	11848.76	1.062
844.543	11840.72	7.056
845.116	11832.69	6.53
845.690	11824.67	-10.66
846.263	11816.66	-20.93
846.836	11808.67	-10.56
847.409	11800.68	1.745
847.982	11792.71	-9.336
848.555	11784.74	-12.64
849.128	11776.79	4.453
849.701	11768.84	8.953
850.274	11760.91	-19.44
850.847	11752.99	-10.23
851.420	11745.08	13.55
851.993	11737.18	5.664
852.566	11729.29	12.02
853.140	11721.41	-11.13
853.713	11713.54	-0.7597
854.286	11705.69	6.347
854.859	11697.84	-23.22
855.432	11690.00	7.333
856.005	11682.18	17.25
856.578	11674.36	14.46
857.151	11666.56	-2.743
857.724	11658.76	1.056
858.297	11650.98	1.968
858.870	11643.20	21.94
859.443	11635.44	2.86
860.016	11627.68	5.748
860.589	11619.94	-0.2334
861.163	11612.21	6.146
861.736	11604.49	6.456
862.309	11596.77	15.75
862.882	11589.07	13.16
863.455	11581.38	11.56
864.028	11573.70	8.257
864.601	11566.03	3.256
865.174	11558.37	10.66
865.747	11550.72	16.76
866.320	11543.08	17.76
866.893	11535.44	18.04
867.466	11527.82	9.334
868.039	11520.21	-7.24
868.613	11512.61	-4.324
869.186	11505.02	17.93
869.759	11497.44	1.076
870.332	11489.87	5.052
870.905	11482.31	3.757
871.478	11474.76	-2.641
872.051	11467.22	24.95
872.624	11459.69	1.055
873.197	11452.17	-4.239
873.770	11444.66	6.348
874.343	11437.15	-5.033
874.916	11429.66	6.038
875.489	11422.18	-8.038
876.063	11414.71	-4.327
876.636	11407.25	16.63
877.209	11399.80	-9.513
877.782	11392.35	5.043
878.355	11384.92	12.35
878.928	11377.50	17.95
879.501	11370.08	5.658
880.074	11362.68	8.256
880.647	11355.29	7.658
881.220	11347.90	10.25
881.793	11340.53	4.563
882.366	11333.16	12.04
882.939	11325.80	0.2787
883.513	11318.46	15.54
884.086	11311.12	16.96
884.659	11303.79	2.174
885.232	11296.48	2.656
885.805	11289.17	5.454
886.378	11281.87	-1.541
886.951	11274.58	7.755
887.524	11267.30	2.355
888.097	11260.03	-5.242
888.670	11252.77	-1.244
889.243	11245.52	-0.3522
889.816	11238.27	-9.818
890.389	11231.04	12.54
890.963	11223.82	5.364
891.536	11216.60	9.55
892.109	11209.40	-4.226
892.682	11202.20	0.4515
893.255	11195.01	11.75
893.828	11187.84	6.159
894.401	11180.67	-5.641
894.974	11173.51	16.96
895.547	11166.36	-2.044
896.120	11159.22	0.06309
896.693	11152.09	12.16
897.266	11144.96	10.94
897.839	11137.85	-4.416
898.412	11130.74	15.42
898.986	11123.65	-2.316
899.559	11116.56	10.64
900.132	11109.49	5.861
900.705	11102.42	-12.03
901.278	11095.36	-16.84
901.851	11088.31	-2.548
902.424	11081.27	22.75
902.997	11074.23	12.16
903.570	11067.21	-2.241
904.143	11060.19	3.758
904.716	11053.19	6.552
905.289	11046.19	2.443
905.862	11039.20	-7.639
906.436	11032.22	-4.648
907.009	11025.25	-6.741
907.582	11018.29	-17.13
908.155	11011.34	-13.15
908.728	11004.39	-15.74
909.301	10997.46	7.748
909.874	10990.53	21.95
910.447	10983.61	3.857
911.020	10976.71	7.664
911.593	10969.80	24.52
912.166	10962.91	-12.72
912.739	10956.03	13.85
913.312	10949.16	6.852
913.886	10942.29	3.95
914.459	10935.43	-5.43
915.032	10928.58	17.33
915.605	10921.74	-4.324
916.178	10914.91	-8.641
916.751	10908.09	-6.444
917.324	10901.27	5.755
917.897	10894.47	14.26
918.470	10887.67	-11.04
919.043	10880.88	6.456
919.616	10874.10	6.76
920.189	10867.33	11.17
920.762	10860.56	20.66
921.336	10853.81	23.34
921.909	10847.06	16.07
922.482	10840.32	7.867
923.055	10833.59	15.95
923.628	10826.87	-0.7319
924.201	10820.16	14.55
924.774	10813.45	27.65
925.347	10806.76	15.26
925.920	10800.07	-22.04
926.493	10793.39	-6.032
927.066	10786.72	12.46
927.639	10780.05	17.44
928.212	10773.40	7.877
928.786	10766.75	22.53
929.359	10760.11	12.97
929.932	10753.48	0.6722
930.505	10746.86	19.04
931.078	10740.24	-3.726
931.651	10733.63	-1.644
932.224	10727.04	13.55
932.797	10720.45	-1.344
933.370	10713.86	-10.33
933.943	10707.29	15.46
934.516	10700.72	12.54
935.089	10694.17	-2.443
935.662	10687.62	-1.838
936.235	10681.07	2.363
936.809	10674.54	15.34
937.382	10668.01	6.568
937.955	10661.50	3.559
938.528	10654.99	7.952
939.101	10648.48	27.45
939.674	10641.99	15.56
940.247	10635.50	17.06
940.820	10629.02	4.059
941.393	10622.55	13.64
941.966	10616.09	-14.23
942.539	10609.64	9.551
943.112	10603.19	5.063
943.685	10596.75	10.54
944.259	10590.32	2.197
944.832	10583.90	36.91
945.405	10577.48	5.792
945.978	10571.07	8.754
946.551	10564.67	10.66
947.124	10558.28	4.759
947.697	10551.90	24.55
948.270	10545.52	-0.6426
948.843	10539.15	5.855
949.416	10532.79	2.554
949.989	10526.43	-0.1407
950.562	10520.09	3.062
951.135	10513.75	8.041
951.709	10507.42	-2.337
952.282	10501.10	-5.739
952.855	10494.78	-7.841
953.428	10488.47	4.445
954.001	10482.17	-0.3406
954.574	10475.88	2.855
955.147	10469.59	8.755
955.720	10463.31	11.36
956.293	10457.04	15.75
956.866	10450.78	1.851
957.439	10444.53	-5.433
958.012	10438.28	7.175
958.585	10432.04	23.1
959.159	10425.81	-12.21
959.732	10419.58	-7.052
960.305	10413.36	27.01
960.878	10407.15	19.06
961.451	10400.95	-4.427
962.024	10394.75	-10.84
962.597	10388.56	16.85
963.170	10382.38	7.456
963.743	10376.21	2.758
964.316	10370.04	9.456
964.889	10363.88	9.465
965.462	10357.73	18.85
966.035	10351.59	12.75
966.609	10345.45	6.859
967.182	10339.32	2.963
967.755	10333.20	1.958
968.328	10327.08	13.34
968.901	10320.97	20.35
969.474	10314.87	-2.831
970.047	10308.78	-0.7442
970.620	10302.69	7.155
971.193	10296.61	-5.844
971.766	10290.54	-3.342
972.339	10284.48	0.7624
972.912	10278.42	8.429
973.485	10272.37	-16.81
974.058	10266.32	12.91
974.632	10260.29	-6.812
975.205	10254.26	21.42
975.778	10248.24	13.46
976.351	10242.22	14.36
976.924	10236.21	-0.5353
977.497	10230.21	12.35
978.070	10224.22	24.26
978.643	10218.23	17.56
979.216	10212.25	9.653
979.789	10206.28	3.961
980.362	10200.31	10.06
980.935	10194.35	14.66
981.508	10188.40	19.85
982.082	10182.45	17.26
982.655	10176.52	18.36
983.228	10170.58	1.276
983.801	10164.66	13.45
984.374	10158.74	18.35
984.947	10152.83	10.96
985.520	10146.93	5.757
986.093	10141.03	11.76
986.666	10135.14	7.066
987.239	10129.26	27.74
987.812	10123.38	8.878
988.385	10117.51	31.44
988.958	10111.65	16.68
989.532	10105.79	31.03
990.105	10099.94	24.46
990.678	10094.10	34.64
991.251	10088.26	38.65
991.824	10082.44	33.26
992.397	10076.61	14.16
992.970	10070.80	-4.641
993.543	10064.99	6.259
994.116	10059.19	34.86
994.689	10053.39	32.86
995.262	10047.60	29.56
995.835	10041.82	29.66
996.408	10036.05	34.94
996.982	10030.28	23.88
997.555	10024.51	31.64
998.128	10018.76	44.64
998.701	10013.01	13.18
999.274	10007.27	35.14
999.847	10001.53	40.75
1000.420	9995.80	17.26
1000.993	9990.08	31.06
1001.566	9984.36	26.96
1002.139	9978.65	41.06
1002.712	9972.95	40.86
1003.285	9967.25	48.15
1003.858	9961.56	43.04
1004.432	9955.88	35.26
1005.005	9950.20	30.66
1005.578	9944.53	23.16
1006.151	9938.87	30.85
1006.724	9933.21	22.06
1007.297	9927.56	26.25
1007.870	9921.91	19.96
1008.443	9916.28	20.26
1009.016	9910.64	20.96
1009.589	9905.02	16.26
1010.162	9899.40	30.35
1010.735	9893.79	22.87
1011.308	9888.18	34
1011.881	9882.58	-1.978
1012.455	9876.99	31.54
1013.028	9871.40	36.65
1013.601	9865.82	14.38
1014.174	9860.24	12.46
1014.747	9854.67	16.55
1015.320	9849.11	35.95
1015.893	9843.56	22.56
1016.466	9838.01	19.96
1017.039	9832.46	35.56
1017.612	9826.93	43.94
1018.185	9821.39	14.46
1018.758	9815.87	13.37
1019.331	9810.35	28.64
1019.905	9804.84	24.46
1020.478	9799.33	20.56
1021.051	9793.83	37.24
1021.624	9788.34	39.26
1022.197	9782.85	18.47
1022.770	9777.37	15.36
1023.343	9771.89	17.36
1023.916	9766.43	19.26
1024.489	9760.96	36.84
1025.062	9755.51	15.45
1025.635	9750.05	7.263
1026.208	9744.61	14.46
1026.781	9739.17	21.25
1027.355	9733.74	24.26
1027.928	9728.31	32.44
1028.501	9722.89	26.56
1029.074	9717.48	16.46
1029.647	9712.07	19.95
1030.220	9706.67	21.06
1030.793	9701.27	32.25
1031.366	9695.88	27.16
1031.939	9690.49	15.97
1032.512	9685.12	48.24
1033.085	9679.74	17.06
1033.658	9674.38	26.05
1034.231	9669.02	22.56
1034.805	9663.66	16.76
1035.378	9658.31	15.36
1035.951	9652.97	20.35
1036.524	9647.63	17.56
1037.097	9642.30	20.55
1037.670	9636.98	6.762
1038.243	9631.66	17.85
1038.816	9626.34	22.46
1039.389	9621.04	16.85
1039.962	9615.73	2.453
1040.535	9610.44	-2.924
1041.108	9605.15	20.84
1041.681	9599.86	5.673
1042.255	9594.59	17.93
1042.828	9589.31	6.474
1043.401	9584.05	21.14
1043.974	9578.79	12.06
1044.547	9573.53	-1.532
1045.120	9568.28	10.05
1045.693	9563.04	10.86
1046.266	9557.80	10.76
1046.839	9552.57	-0.3439
1047.412	9547.34	-1.04
1047.985	9542.12	5.86
1048.558	9536.90	11.06
1049.131	9531.69	13.06
1049.704	9526.49	18.75
1050.278	9521.29	23.24
1050.851	9516.10	12.37
1051.424	9510.91	18.05
1051.997	9505.73	23.65
1052.570	9500.56	1.369
1053.143	9495.39	2.856
1053.716	9490.22	-12.84
1054.289	9485.06	27.36
1054.862	9479.91	5.458
1055.435	9474.76	9.17
1056.008	9469.62	28.45
1056.581	9464.49	25.34
1057.154	9459.36	17.06
1057.728	9454.23	14.26
1058.301	9449.11	10.76
1058.874	9444.00	9.758
1059.447	9438.89	9.057
1060.020	9433.79	21.95
1060.593	9428.69	30.45
1061.166	9423.60	14.66
1061.739	9418.51	16.46
1062.312	9413.43	26.26
1062.885	9408.35	17.94
1063.458	9403.28	4.667
1064.031	9398.22	15.69
1064.604	9393.16	48.09
1065.178	9388.11	14.7
1065.751	9383.06	24.24
1066.324	9378.02	21.66
1066.897	9372.98	19.46
1067.470	9367.95	27.65
1068.043	9362.92	19.36
1068.616	9357.90	16.26
1069.189	9352.88	19.36
1069.762	9347.87	17.26
1070.335	9342.87	12.06
1070.908	9337.87	11.66
1071.481	9332.87	13.15
1072.054	9327.88	8.663
1072.628	9322.90	11.16
1073.201	9317.92	23.14
1073.774	9312.95	45.73
1074.347	9307.98	31.57
1074.920	9303.02	33.86
1075.493	9298.06	27.16
1076.066	9293.11	28.06
1076.639	9288.16	32.56
1077.212	9283.22	23.56
1077.785	9278.29	21.66
1078.358	9273.36	32.65
1078.931	9268.43	23.86
1079.504	9263.51	23.76
1080.078	9258.59	23.06
1080.651	9253.68	22.56
1081.224	9248.78	52.71
1081.797	9243.88	23.58
1082.370	9238.99	12.76
1082.943	9234.10	22.55
1083.516	9229.21	33.25
1084.089	9224.33	24.06
1084.662	9219.46	21.66
1085.235	9214.59	20.16
1085.808	9209.73	27.96
1086.381	9204.87	29.97
1086.954	9200.02	40.83
1087.527	9195.17	30.37
1088.101	9190.33	34.25
1088.674	9185.49	29.56
1089.247	9180.66	24.06
1089.820	9175.83	5.173
1090.393	9171.01	33.14
1090.966	9166.19	40.65
1091.539	9161.38	14.36
1092.112	9156.57	15.76
1092.685	9151.77	30.54
1093.258	9146.97	8.859
1093.831	9142.18	13.06
1094.404	9137.39	17.46
1094.977	9132.61	16.96
1095.551	9127.83	19.85
1096.124	9123.06	18.06
1096.697	9118.29	20.15
1097.270	9113.53	31.05
1097.843	9108.77	25.16
1098.416	9104.02	8.163
